price,quantity,date,unix timestamp
164.95,4,Mar 21 2024 03: +0,1710990000
214.502,6,Mar 21 2024 04: +0,1710993600
210.681,17,Mar 21 2024 05: +0,1710997200
218.6,12,Mar 21 2024 06: +0,1711000800
255.454,7,Mar 21 2024 07: +0,1711004400
235.087,1,Mar 21 2024 08: +0,1711008000
232.699,1,Mar 21 2024 09: +0,1711011600
213.492,4,Mar 21 2024 10: +0,1711015200
165.084,4,Mar 21 2024 11: +0,1711018800
149.93,3,Mar 21 2024 13: +0,1711026000
148.355,6,Mar 21 2024 14: +0,1711029600
153.184,5,Mar 21 2024 15: +0,1711033200
149.157,5,Mar 21 2024 16: +0,1711036800
150.503,4,Mar 21 2024 17: +0,1711040400
146.25,4,Mar 21 2024 18: +0,1711044000
155.482,1,Mar 21 2024 19: +0,1711047600
142.782,2,Mar 21 2024 21: +0,1711054800
156.21,1,Mar 22 2024 01: +0,1711069200
154.728,2,Mar 22 2024 02: +0,1711072800
162.729,2,Mar 22 2024 03: +0,1711076400
159.697,4,Mar 22 2024 05: +0,1711083600
170.344,3,Mar 22 2024 06: +0,1711087200
195.33,2,Mar 22 2024 07: +0,1711090800
164.008,2,Mar 22 2024 12: +0,1711108800
160.737,2,Mar 22 2024 14: +0,1711116000
151.501,1,Mar 22 2024 17: +0,1711126800
149.836,1,Mar 22 2024 18: +0,1711130400
150.704,1,Mar 23 2024 00: +0,1711152000
158.098,1,Mar 23 2024 03: +0,1711162800
151.446,1,Mar 23 2024 04: +0,1711166400
152.972,1,Mar 23 2024 09: +0,1711184400
153.734,1,Mar 23 2024 15: +0,1711206000
152.181,1,Mar 23 2024 16: +0,1711209600
152.29,1,Mar 23 2024 21: +0,1711227600
152.101,1,Mar 24 2024 03: +0,1711249200
157.192,2,Mar 24 2024 14: +0,1711288800
162.73,2,Mar 24 2024 15: +0,1711292400
171.804,3,Mar 25 2024 00: +0,1711324800
194.948,1,Mar 25 2024 06: +0,1711346400
197.684,2,Mar 25 2024 10: +0,1711360800
207.168,1,Mar 25 2024 12: +0,1711368000
197.929,1,Mar 27 2024 11: +0,1711537200
180.602,1,Mar 27 2024 12: +0,1711540800
185.632,1,Mar 28 2024 08: +0,1711612800
166.881,1,Mar 28 2024 09: +0,1711616400
165.53,1,Mar 28 2024 14: +0,1711634400
154.602,1,Mar 29 2024 00: +0,1711670400
142.855,3,Mar 29 2024 09: +0,1711702800
107.741,2,Mar 29 2024 13: +0,1711717200
100.87,2,Mar 29 2024 16: +0,1711728000
85.219,1,Mar 30 2024 10: +0,1711792800
85.156,1,Mar 30 2024 15: +0,1711810800
93.832,1,Mar 31 2024 20: +0,1711911600
100.44,1,Mar 31 2024 22: +0,1711918800
94.162,2,Apr 01 2024 02: +0,1711933200
103.565,1,Apr 02 2024 03: +0,1712023200
106.229,1,Apr 02 2024 12: +0,1712055600
145.03,1,Apr 02 2024 13: +0,1712059200
144.967,1,Apr 02 2024 21: +0,1712088000
111.732,1,Apr 03 2024 12: +0,1712142000
122.764,1,Apr 03 2024 23: +0,1712181600
122.234,1,Apr 04 2024 00: +0,1712185200
127.04,1,Apr 04 2024 03: +0,1712196000
122.297,1,Apr 04 2024 06: +0,1712206800
120.072,1,Apr 05 2024 16: +0,1712329200
120.325,1,Apr 05 2024 17: +0,1712332800
116.195,1,Apr 05 2024 23: +0,1712354400
125.426,1,Apr 06 2024 02: +0,1712365200
126.984,1,Apr 06 2024 11: +0,1712397600
110.029,1,Apr 07 2024 22: +0,1712523600
109.226,1,Apr 08 2024 15: +0,1712584800
109.24,2,Apr 11 2024 19: +0,1712858400
110.109,1,Apr 13 2024 04: +0,1712977200
107.194,1,Apr 14 2024 16: +0,1713106800
107.138,1,Apr 14 2024 17: +0,1713110400
107.347,1,Apr 16 2024 13: +0,1713268800
107.258,1,Apr 16 2024 19: +0,1713290400
135.296,1,Apr 17 2024 08: +0,1713337200
119.739,1,Apr 22 2024 17: +0,1713801600
