price,quantity,date,unix timestamp
0.685,54,Jun 16 2016 01: +0,1466035200
0.57,40,Jun 17 2016 01: +0,1466121600
0.41,39,Jun 18 2016 01: +0,1466208000
0.389,57,Jun 19 2016 01: +0,1466294400
0.347,68,Jun 20 2016 01: +0,1466380800
0.384,28,Jun 21 2016 01: +0,1466467200
0.279,44,Jun 22 2016 01: +0,1466553600
0.263,24,Jun 23 2016 01: +0,1466640000
0.259,40,Jun 24 2016 01: +0,1466726400
0.244,34,Jun 25 2016 01: +0,1466812800
0.231,28,Jun 26 2016 01: +0,1466899200
0.219,33,Jun 27 2016 01: +0,1466985600
0.207,36,Jun 28 2016 01: +0,1467072000
0.189,38,Jun 29 2016 01: +0,1467158400
0.197,35,Jun 30 2016 01: +0,1467244800
0.217,59,Jul 01 2016 01: +0,1467331200
0.191,37,Jul 02 2016 01: +0,1467417600
0.182,36,Jul 03 2016 01: +0,1467504000
0.167,48,Jul 04 2016 01: +0,1467590400
0.165,51,Jul 05 2016 01: +0,1467676800
0.194,51,Jul 06 2016 01: +0,1467763200
0.177,37,Jul 07 2016 01: +0,1467849600
0.18,56,Jul 08 2016 01: +0,1467936000
0.188,47,Jul 09 2016 01: +0,1468022400
0.157,52,Jul 10 2016 01: +0,1468108800
0.163,48,Jul 11 2016 01: +0,1468195200
0.179,45,Jul 12 2016 01: +0,1468281600
0.198,37,Jul 13 2016 01: +0,1468368000
0.182,39,Jul 14 2016 01: +0,1468454400
0.176,38,Jul 15 2016 01: +0,1468540800
0.172,45,Jul 16 2016 01: +0,1468627200
0.176,57,Jul 17 2016 01: +0,1468713600
0.18,51,Jul 18 2016 01: +0,1468800000
0.17,48,Jul 19 2016 01: +0,1468886400
0.179,62,Jul 20 2016 01: +0,1468972800
0.169,35,Jul 21 2016 01: +0,1469059200
0.164,37,Jul 22 2016 01: +0,1469145600
0.15,29,Jul 23 2016 01: +0,1469232000
0.148,50,Jul 24 2016 01: +0,1469318400
0.142,50,Jul 25 2016 01: +0,1469404800
0.14,58,Jul 26 2016 01: +0,1469491200
0.155,69,Jul 27 2016 01: +0,1469577600
0.151,45,Jul 28 2016 01: +0,1469664000
0.149,44,Jul 29 2016 01: +0,1469750400
0.161,52,Jul 30 2016 01: +0,1469836800
0.145,62,Jul 31 2016 01: +0,1469923200
0.156,81,Aug 01 2016 01: +0,1470009600
0.167,54,Aug 02 2016 01: +0,1470096000
0.167,47,Aug 03 2016 01: +0,1470182400
0.15,47,Aug 04 2016 01: +0,1470268800
0.134,51,Aug 05 2016 01: +0,1470355200
0.138,62,Aug 06 2016 01: +0,1470441600
0.142,57,Aug 07 2016 01: +0,1470528000
0.117,53,Aug 08 2016 01: +0,1470614400
0.128,62,Aug 09 2016 01: +0,1470700800
0.124,70,Aug 10 2016 01: +0,1470787200
0.132,61,Aug 11 2016 01: +0,1470873600
0.13,45,Aug 12 2016 01: +0,1470960000
0.119,33,Aug 13 2016 01: +0,1471046400
0.122,60,Aug 14 2016 01: +0,1471132800
0.116,72,Aug 15 2016 01: +0,1471219200
0.114,65,Aug 16 2016 01: +0,1471305600
0.115,56,Aug 17 2016 01: +0,1471392000
0.118,42,Aug 18 2016 01: +0,1471478400
0.116,62,Aug 19 2016 01: +0,1471564800
0.108,69,Aug 20 2016 01: +0,1471651200
0.118,73,Aug 21 2016 01: +0,1471737600
0.117,61,Aug 22 2016 01: +0,1471824000
0.117,52,Aug 23 2016 01: +0,1471910400
0.102,52,Aug 24 2016 01: +0,1471996800
0.106,57,Aug 25 2016 01: +0,1472083200
0.102,57,Aug 26 2016 01: +0,1472169600
0.1,44,Aug 27 2016 01: +0,1472256000
0.115,84,Aug 28 2016 01: +0,1472342400
0.114,44,Aug 29 2016 01: +0,1472428800
0.104,56,Aug 30 2016 01: +0,1472515200
0.164,45,Aug 31 2016 01: +0,1472601600
0.096,57,Sep 01 2016 01: +0,1472688000
0.119,58,Sep 02 2016 01: +0,1472774400
0.111,85,Sep 03 2016 01: +0,1472860800
0.102,58,Sep 04 2016 01: +0,1472947200
0.096,56,Sep 05 2016 01: +0,1473033600
0.092,42,Sep 06 2016 01: +0,1473120000
0.083,53,Sep 07 2016 01: +0,1473206400
0.093,44,Sep 08 2016 01: +0,1473292800
0.083,44,Sep 09 2016 01: +0,1473379200
0.093,88,Sep 10 2016 01: +0,1473465600
0.087,60,Sep 11 2016 01: +0,1473552000
0.09,44,Sep 12 2016 01: +0,1473638400
0.088,52,Sep 13 2016 01: +0,1473724800
0.092,64,Sep 14 2016 01: +0,1473811200
0.094,39,Sep 15 2016 01: +0,1473897600
0.103,47,Sep 16 2016 01: +0,1473984000
0.089,68,Sep 17 2016 01: +0,1474070400
0.083,59,Sep 18 2016 01: +0,1474156800
0.087,54,Sep 19 2016 01: +0,1474243200
0.094,60,Sep 20 2016 01: +0,1474329600
0.077,39,Sep 21 2016 01: +0,1474416000
0.091,42,Sep 22 2016 01: +0,1474502400
0.074,34,Sep 23 2016 01: +0,1474588800
0.086,49,Sep 24 2016 01: +0,1474675200
0.075,44,Sep 25 2016 01: +0,1474761600
0.078,51,Sep 26 2016 01: +0,1474848000
0.076,48,Sep 27 2016 01: +0,1474934400
0.077,44,Sep 28 2016 01: +0,1475020800
0.077,55,Sep 29 2016 01: +0,1475107200
0.08,60,Sep 30 2016 01: +0,1475193600
0.084,69,Oct 01 2016 01: +0,1475280000
0.079,63,Oct 02 2016 01: +0,1475366400
0.08,57,Oct 03 2016 01: +0,1475452800
0.082,39,Oct 04 2016 01: +0,1475539200
0.081,57,Oct 05 2016 01: +0,1475625600
0.086,39,Oct 06 2016 01: +0,1475712000
0.082,38,Oct 07 2016 01: +0,1475798400
0.079,53,Oct 08 2016 01: +0,1475884800
0.077,32,Oct 09 2016 01: +0,1475971200
0.073,44,Oct 10 2016 01: +0,1476057600
0.073,42,Oct 11 2016 01: +0,1476144000
0.079,26,Oct 12 2016 01: +0,1476230400
0.109,71,Oct 13 2016 01: +0,1476316800
0.092,33,Oct 14 2016 01: +0,1476403200
0.101,61,Oct 15 2016 01: +0,1476489600
0.084,41,Oct 16 2016 01: +0,1476576000
0.077,34,Oct 17 2016 01: +0,1476662400
0.075,25,Oct 18 2016 01: +0,1476748800
0.073,28,Oct 19 2016 01: +0,1476835200
0.074,29,Oct 20 2016 01: +0,1476921600
0.072,36,Oct 21 2016 01: +0,1477008000
0.077,40,Oct 22 2016 01: +0,1477094400
0.076,57,Oct 23 2016 01: +0,1477180800
0.076,26,Oct 24 2016 01: +0,1477267200
0.073,45,Oct 25 2016 01: +0,1477353600
0.067,33,Oct 26 2016 01: +0,1477440000
0.068,36,Oct 27 2016 01: +0,1477526400
0.066,45,Oct 28 2016 01: +0,1477612800
0.078,44,Oct 29 2016 01: +0,1477699200
0.068,22,Oct 30 2016 01: +0,1477785600
0.073,33,Oct 31 2016 01: +0,1477875600
0.066,41,Nov 01 2016 01: +0,1477962000
0.071,59,Nov 02 2016 01: +0,1478048400
0.076,31,Nov 03 2016 01: +0,1478134800
0.079,50,Nov 04 2016 01: +0,1478221200
0.085,34,Nov 05 2016 01: +0,1478307600
0.087,35,Nov 06 2016 01: +0,1478394000
0.078,34,Nov 07 2016 01: +0,1478480400
0.075,22,Nov 08 2016 01: +0,1478566800
0.082,19,Nov 09 2016 01: +0,1478653200
0.081,28,Nov 10 2016 01: +0,1478739600
