price,quantity,date,unix timestamp
117.108,1,Jul 01 2022 01: +0,1656633600
130.994,12,Jul 02 2022 01: +0,1656720000
80.033,14,Jul 03 2022 01: +0,1656806400
70.922,20,Jul 04 2022 01: +0,1656892800
70.053,21,Jul 05 2022 01: +0,1656979200
72.676,14,Jul 06 2022 01: +0,1657065600
75.301,8,Jul 07 2022 01: +0,1657152000
68.673,21,Jul 08 2022 01: +0,1657238400
65.393,14,Jul 09 2022 01: +0,1657324800
66.599,22,Jul 10 2022 01: +0,1657411200
66.436,16,Jul 11 2022 01: +0,1657497600
61.537,17,Jul 12 2022 01: +0,1657584000
63.756,12,Jul 13 2022 01: +0,1657670400
67.554,17,Jul 14 2022 01: +0,1657756800
66.833,19,Jul 15 2022 01: +0,1657843200
70.412,16,Jul 16 2022 01: +0,1657929600
68.963,20,Jul 17 2022 01: +0,1658016000
69.434,16,Jul 18 2022 01: +0,1658102400
64.665,22,Jul 19 2022 01: +0,1658188800
64.511,14,Jul 20 2022 01: +0,1658275200
64.612,22,Jul 21 2022 01: +0,1658361600
64.378,25,Jul 22 2022 01: +0,1658448000
65.585,14,Jul 23 2022 01: +0,1658534400
58.454,23,Jul 24 2022 01: +0,1658620800
63.684,26,Jul 25 2022 01: +0,1658707200
66.385,15,Jul 26 2022 01: +0,1658793600
63.373,26,Jul 27 2022 01: +0,1658880000
63.02,19,Jul 28 2022 01: +0,1658966400
60.115,23,Jul 29 2022 01: +0,1659052800
60.977,18,Jul 30 2022 01: +0,1659139200
65.339,19,Jul 31 2022 01: +0,1659225600
65.184,19,Aug 01 2022 01: +0,1659312000
65.497,14,Aug 02 2022 01: +0,1659398400
65.461,16,Aug 03 2022 01: +0,1659484800
65.894,17,Aug 04 2022 01: +0,1659571200
66.836,17,Aug 05 2022 01: +0,1659657600
64.286,18,Aug 06 2022 01: +0,1659744000
64.561,17,Aug 07 2022 01: +0,1659830400
66.461,14,Aug 08 2022 01: +0,1659916800
61.027,14,Aug 09 2022 01: +0,1660003200
64.715,18,Aug 10 2022 01: +0,1660089600
62.501,25,Aug 11 2022 01: +0,1660176000
61.318,13,Aug 12 2022 01: +0,1660262400
62.503,12,Aug 13 2022 01: +0,1660348800
58.046,27,Aug 14 2022 01: +0,1660435200
58.192,13,Aug 15 2022 01: +0,1660521600
58.339,26,Aug 16 2022 01: +0,1660608000
55.31,19,Aug 17 2022 01: +0,1660694400
55.074,19,Aug 18 2022 01: +0,1660780800
55.764,33,Aug 19 2022 01: +0,1660867200
56.308,19,Aug 20 2022 01: +0,1660953600
57.288,19,Aug 21 2022 01: +0,1661040000
58.411,23,Aug 22 2022 01: +0,1661126400
60.247,22,Aug 23 2022 01: +0,1661212800
56.528,21,Aug 24 2022 01: +0,1661299200
58.66,22,Aug 25 2022 01: +0,1661385600
57.685,23,Aug 26 2022 01: +0,1661472000
56.299,17,Aug 27 2022 01: +0,1661558400
55.667,26,Aug 28 2022 01: +0,1661644800
56.247,25,Aug 29 2022 01: +0,1661731200
59.242,19,Aug 30 2022 01: +0,1661817600
59.476,26,Aug 31 2022 01: +0,1661904000
60.952,18,Sep 01 2022 01: +0,1661990400
58.406,17,Sep 02 2022 01: +0,1662076800
60.109,13,Sep 03 2022 01: +0,1662163200
58.473,16,Sep 04 2022 01: +0,1662249600
59.353,22,Sep 05 2022 01: +0,1662336000
