price,quantity,date,unix timestamp
2.115,180,Sep 22 2021 01: +0,1632268800
2.454,108,Sep 23 2021 01: +0,1632355200
2.672,74,Sep 24 2021 01: +0,1632441600
3.16,78,Sep 25 2021 01: +0,1632528000
3.064,68,Sep 26 2021 01: +0,1632614400
2.916,43,Sep 27 2021 01: +0,1632700800
3.085,44,Sep 28 2021 01: +0,1632787200
2.836,56,Sep 29 2021 01: +0,1632873600
3.147,68,Sep 30 2021 01: +0,1632960000
2.495,39,Oct 01 2021 01: +0,1633046400
2.345,37,Oct 02 2021 01: +0,1633132800
2.577,39,Oct 03 2021 01: +0,1633219200
2.713,47,Oct 04 2021 01: +0,1633305600
2.981,38,Oct 05 2021 01: +0,1633392000
2.931,47,Oct 06 2021 01: +0,1633478400
2.875,20,Oct 07 2021 01: +0,1633564800
2.909,27,Oct 08 2021 01: +0,1633651200
2.703,21,Oct 09 2021 01: +0,1633737600
2.624,30,Oct 10 2021 01: +0,1633824000
2.87,21,Oct 11 2021 01: +0,1633910400
2.504,9,Oct 12 2021 01: +0,1633996800
2.244,22,Oct 13 2021 01: +0,1634083200
2.516,34,Oct 14 2021 01: +0,1634169600
2.17,19,Oct 15 2021 01: +0,1634256000
2.107,41,Oct 16 2021 01: +0,1634342400
2.054,14,Oct 17 2021 01: +0,1634428800
2.129,12,Oct 18 2021 01: +0,1634515200
2.163,23,Oct 19 2021 01: +0,1634601600
2.157,39,Oct 20 2021 01: +0,1634688000
2.2,27,Oct 21 2021 01: +0,1634774400
1.943,25,Oct 22 2021 01: +0,1634860800
1.814,21,Oct 23 2021 01: +0,1634947200
1.815,15,Oct 24 2021 01: +0,1635033600
1.828,19,Oct 25 2021 01: +0,1635120000
1.802,25,Oct 26 2021 01: +0,1635206400
1.734,39,Oct 27 2021 01: +0,1635292800
1.771,34,Oct 28 2021 01: +0,1635379200
1.826,16,Oct 29 2021 01: +0,1635465600
1.994,51,Oct 30 2021 01: +0,1635552000
2.093,19,Oct 31 2021 01: +0,1635638400
