price,quantity,date,unix timestamp
123.662,1,Dec 04 2016 01: +0,1480813200
81.072,1,Dec 09 2016 01: +0,1481245200
56.392,3,Dec 10 2016 01: +0,1481331600
83.018,2,Dec 11 2016 01: +0,1481418000
83.71,1,Dec 15 2016 01: +0,1481763600
70.521,2,Dec 18 2016 01: +0,1482022800
69.441,1,Dec 21 2016 01: +0,1482282000
79.826,2,Dec 24 2016 01: +0,1482541200
74.106,1,Jan 03 2017 01: +0,1483405200
95.125,1,Jan 06 2017 01: +0,1483664400
78.168,2,Jan 11 2017 01: +0,1484096400
77.91,2,Jan 12 2017 01: +0,1484182800
88.053,1,Jan 13 2017 01: +0,1484269200
71.152,1,Jan 19 2017 01: +0,1484787600
90.915,1,Jan 21 2017 01: +0,1484960400
70.31,1,Jan 22 2017 01: +0,1485046800
84.269,1,Jan 24 2017 01: +0,1485219600
84.281,1,Jan 25 2017 01: +0,1485306000
84.07,2,Jan 30 2017 01: +0,1485738000
90.989,1,Feb 02 2017 01: +0,1485997200
82.73,1,Feb 04 2017 01: +0,1486170000
109.386,1,Feb 05 2017 01: +0,1486256400
70.392,1,Feb 06 2017 01: +0,1486342800
99.881,1,Feb 07 2017 01: +0,1486429200
101.52,1,Feb 10 2017 01: +0,1486688400
100.892,2,Feb 11 2017 01: +0,1486774800
131.327,1,Feb 14 2017 01: +0,1487034000
106.609,1,Feb 15 2017 01: +0,1487120400
86.992,1,Feb 16 2017 01: +0,1487206800
103.391,1,Feb 18 2017 01: +0,1487379600
110.008,1,Feb 19 2017 01: +0,1487466000
92.528,1,Feb 20 2017 01: +0,1487552400
118.06,2,Feb 21 2017 01: +0,1487638800
106.216,1,Feb 22 2017 01: +0,1487725200
106.097,1,Feb 23 2017 01: +0,1487811600
90.226,2,Feb 24 2017 01: +0,1487898000
97.99,3,Feb 26 2017 01: +0,1488070800
105.883,1,Mar 02 2017 01: +0,1488416400
90.675,1,Mar 03 2017 01: +0,1488502800
105.136,1,Mar 04 2017 01: +0,1488589200
104.653,1,Mar 06 2017 01: +0,1488762000
102.475,1,Mar 08 2017 01: +0,1488934800
105.408,1,Mar 09 2017 01: +0,1489021200
92.382,2,Mar 15 2017 01: +0,1489539600
104.11,1,Mar 18 2017 01: +0,1489798800
89.227,1,Mar 19 2017 01: +0,1489885200
102.582,1,Mar 22 2017 01: +0,1490144400
92.875,1,Mar 25 2017 01: +0,1490403600
104.637,1,Mar 30 2017 01: +0,1490832000
89.016,1,Mar 31 2017 01: +0,1490918400
109.847,1,Apr 01 2017 01: +0,1491004800
87.18,2,Apr 10 2017 01: +0,1491782400
87.456,2,Apr 22 2017 01: +0,1492819200
113.339,1,Apr 23 2017 01: +0,1492905600
98.394,2,Apr 24 2017 01: +0,1492992000
113.246,1,Apr 25 2017 01: +0,1493078400
100.171,3,Apr 27 2017 01: +0,1493251200
115.279,2,Apr 28 2017 01: +0,1493337600
96.779,1,Apr 30 2017 01: +0,1493510400
109.973,2,May 02 2017 01: +0,1493683200
111.668,1,May 06 2017 01: +0,1494028800
98.861,1,May 07 2017 01: +0,1494115200
116.744,1,May 08 2017 01: +0,1494201600
87.282,1,May 11 2017 01: +0,1494460800
129.573,1,May 13 2017 01: +0,1494633600
94.414,1,May 14 2017 01: +0,1494720000
96.847,2,May 15 2017 01: +0,1494806400
95.481,1,May 16 2017 01: +0,1494892800
110.361,1,May 17 2017 01: +0,1494979200
111.271,2,May 18 2017 01: +0,1495065600
123.51,1,May 23 2017 01: +0,1495497600
95.629,1,May 24 2017 01: +0,1495584000
93.756,2,May 30 2017 01: +0,1496102400
100.85,2,Jun 04 2017 01: +0,1496534400
99.016,2,Jun 06 2017 01: +0,1496707200
