price,quantity,date,unix timestamp
21.021,2,Aug 22 2013 01: +0,1377129600
33.026,1,Sep 01 2013 01: +0,1377993600
27.597,1,Sep 02 2013 01: +0,1378080000
44.04,1,Sep 04 2013 01: +0,1378252800
46.279,2,Sep 05 2013 01: +0,1378339200
38.05,1,Sep 07 2013 01: +0,1378512000
42.806,1,Sep 11 2013 01: +0,1378857600
47.562,1,Sep 16 2013 01: +0,1379289600
45.071,1,Sep 19 2013 01: +0,1379548800
44.949,1,Sep 22 2013 01: +0,1379808000
59.883,1,Sep 23 2013 01: +0,1379894400
41.441,1,Sep 29 2013 01: +0,1380412800
52.255,1,Sep 30 2013 01: +0,1380499200
51.445,2,Oct 01 2013 01: +0,1380585600
56.734,1,Oct 09 2013 01: +0,1381276800
51.388,2,Oct 10 2013 01: +0,1381363200
49.465,1,Oct 18 2013 01: +0,1382054400
53.492,2,Oct 20 2013 01: +0,1382227200
52.319,1,Oct 21 2013 01: +0,1382313600
56.21,1,Oct 22 2013 01: +0,1382400000
61.95,2,Oct 27 2013 01: +0,1382832000
76.356,1,Oct 28 2013 01: +0,1382922000
71.344,1,Oct 30 2013 01: +0,1383094800
64.637,1,Nov 07 2013 01: +0,1383786000
62.04,2,Nov 10 2013 01: +0,1384045200
95.125,1,Nov 11 2013 01: +0,1384131600
64.499,1,Nov 13 2013 01: +0,1384304400
66.429,1,Nov 14 2013 01: +0,1384390800
66.174,1,Nov 16 2013 01: +0,1384563600
63.365,1,Nov 19 2013 01: +0,1384822800
65.796,2,Nov 21 2013 01: +0,1384995600
69.882,1,Nov 22 2013 01: +0,1385082000
57.072,1,Nov 23 2013 01: +0,1385168400
66.904,1,Nov 27 2013 01: +0,1385514000
64.561,1,Nov 28 2013 01: +0,1385600400
72.732,2,Dec 01 2013 01: +0,1385859600
57.833,1,Dec 03 2013 01: +0,1386032400
69.574,1,Dec 04 2013 01: +0,1386118800
67.766,2,Dec 08 2013 01: +0,1386464400
82.164,1,Dec 10 2013 01: +0,1386637200
71.344,1,Dec 11 2013 01: +0,1386723600
72.142,2,Dec 13 2013 01: +0,1386896400
71.771,4,Dec 15 2013 01: +0,1387069200
78.61,1,Dec 17 2013 01: +0,1387242000
73.344,1,Dec 19 2013 01: +0,1387414800
53.881,1,Dec 20 2013 01: +0,1387501200
63.601,2,Dec 21 2013 01: +0,1387587600
57.427,3,Dec 22 2013 01: +0,1387674000
58.026,1,Dec 24 2013 01: +0,1387846800
71.33,1,Dec 25 2013 01: +0,1387933200
66.213,2,Dec 26 2013 01: +0,1388019600
75.408,3,Dec 27 2013 01: +0,1388106000
78.093,1,Dec 28 2013 01: +0,1388192400
70.926,3,Dec 30 2013 01: +0,1388365200
71.268,1,Dec 31 2013 01: +0,1388451600
71.73,3,Jan 01 2014 01: +0,1388538000
53.766,1,Jan 04 2014 01: +0,1388797200
70.316,1,Jan 05 2014 01: +0,1388883600
71.645,2,Jan 06 2014 01: +0,1388970000
67.593,1,Jan 07 2014 01: +0,1389056400
72.82,2,Jan 08 2014 01: +0,1389142800
62.09,2,Jan 09 2014 01: +0,1389229200
76.1,1,Jan 10 2014 01: +0,1389315600
73.712,3,Jan 11 2014 01: +0,1389402000
66.639,2,Jan 13 2014 01: +0,1389574800
71.227,2,Jan 14 2014 01: +0,1389661200
62.443,1,Jan 15 2014 01: +0,1389747600
71.894,3,Jan 16 2014 01: +0,1389834000
78.581,1,Jan 17 2014 01: +0,1389920400
72.893,1,Jan 18 2014 01: +0,1390006800
60.411,2,Jan 19 2014 01: +0,1390093200
72.124,1,Jan 21 2014 01: +0,1390266000
71.385,2,Jan 22 2014 01: +0,1390352400
64.915,1,Jan 23 2014 01: +0,1390438800
61.508,2,Jan 24 2014 01: +0,1390525200
7.172,1,Jan 25 2014 01: +0,1390611600
61.607,3,Jan 26 2014 01: +0,1390698000
60.275,4,Jan 27 2014 01: +0,1390784400
68.988,2,Jan 28 2014 01: +0,1390870800
64.288,3,Jan 29 2014 01: +0,1390957200
32.702,2,Jan 30 2014 01: +0,1391043600
66.274,4,Jan 31 2014 01: +0,1391130000
67.499,2,Feb 01 2014 01: +0,1391216400
67.761,2,Feb 02 2014 01: +0,1391302800
64.703,2,Feb 03 2014 01: +0,1391389200
44.565,1,Feb 04 2014 01: +0,1391475600
56.967,1,Feb 05 2014 01: +0,1391562000
59.279,3,Feb 06 2014 01: +0,1391648400
59.741,2,Feb 07 2014 01: +0,1391734800
77.353,1,Feb 08 2014 01: +0,1391821200
62.143,5,Feb 10 2014 01: +0,1391994000
68.271,3,Feb 11 2014 01: +0,1392080400
58.279,5,Feb 14 2014 01: +0,1392339600
62.898,2,Feb 15 2014 01: +0,1392426000
69.401,6,Feb 16 2014 01: +0,1392512400
66.728,1,Feb 18 2014 01: +0,1392685200
64.483,2,Feb 19 2014 01: +0,1392771600
61.13,4,Feb 20 2014 01: +0,1392858000
65.416,2,Feb 21 2014 01: +0,1392944400
60.17,7,Feb 22 2014 01: +0,1393030800
64.365,2,Feb 23 2014 01: +0,1393117200
58.989,4,Feb 24 2014 01: +0,1393203600
58.981,3,Feb 25 2014 01: +0,1393290000
57.299,1,Feb 26 2014 01: +0,1393376400
62.383,7,Mar 01 2014 01: +0,1393635600
63.502,1,Mar 02 2014 01: +0,1393722000
58.88,2,Mar 03 2014 01: +0,1393808400
41.474,3,Mar 04 2014 01: +0,1393894800
59.641,2,Mar 05 2014 01: +0,1393981200
56.988,2,Mar 06 2014 01: +0,1394067600
63.647,3,Mar 07 2014 01: +0,1394154000
60.794,7,Mar 08 2014 01: +0,1394240400
64.809,5,Mar 09 2014 01: +0,1394326800
58.378,1,Mar 10 2014 01: +0,1394413200
61.295,7,Mar 11 2014 01: +0,1394499600
56.223,1,Mar 12 2014 01: +0,1394586000
61.115,4,Mar 13 2014 01: +0,1394672400
47.563,1,Mar 14 2014 01: +0,1394758800
66.207,3,Mar 15 2014 01: +0,1394845200
60.127,4,Mar 16 2014 01: +0,1394931600
62.709,4,Mar 17 2014 01: +0,1395018000
64.463,2,Mar 18 2014 01: +0,1395104400
67.947,2,Mar 19 2014 01: +0,1395190800
68.601,1,Mar 20 2014 01: +0,1395277200
64.274,2,Mar 21 2014 01: +0,1395363600
65.625,4,Mar 22 2014 01: +0,1395450000
65.725,2,Mar 23 2014 01: +0,1395536400
69.302,1,Mar 24 2014 01: +0,1395622800
65.405,1,Mar 25 2014 01: +0,1395709200
70.431,2,Mar 26 2014 01: +0,1395795600
69.532,1,Mar 27 2014 01: +0,1395882000
68.07,2,Mar 28 2014 01: +0,1395968400
62.971,4,Mar 29 2014 01: +0,1396054800
66.714,3,Mar 30 2014 01: +0,1396141200
69.477,3,Mar 31 2014 01: +0,1396224000
67.361,4,Apr 01 2014 01: +0,1396310400
70.057,3,Apr 02 2014 01: +0,1396396800
68.685,1,Apr 03 2014 01: +0,1396483200
70.301,2,Apr 04 2014 01: +0,1396569600
70.897,1,Apr 06 2014 01: +0,1396742400
68.669,5,Apr 07 2014 01: +0,1396828800
63.76,6,Apr 08 2014 01: +0,1396915200
68.42,1,Apr 09 2014 01: +0,1397001600
66.381,5,Apr 10 2014 01: +0,1397088000
68.127,4,Apr 11 2014 01: +0,1397174400
69.867,3,Apr 12 2014 01: +0,1397260800
72.37,4,Apr 14 2014 01: +0,1397433600
74.446,1,Apr 15 2014 01: +0,1397520000
63.334,3,Apr 16 2014 01: +0,1397606400
70.101,2,Apr 17 2014 01: +0,1397692800
64.564,2,Apr 18 2014 01: +0,1397779200
66.334,3,Apr 19 2014 01: +0,1397865600
71.131,3,Apr 20 2014 01: +0,1397952000
66.147,4,Apr 21 2014 01: +0,1398038400
66.427,3,Apr 22 2014 01: +0,1398124800
72.604,3,Apr 23 2014 01: +0,1398211200
74.716,3,Apr 24 2014 01: +0,1398297600
70.364,2,Apr 25 2014 01: +0,1398384000
72.387,3,Apr 26 2014 01: +0,1398470400
74.94,1,Apr 27 2014 01: +0,1398556800
77.256,2,Apr 28 2014 01: +0,1398643200
73.716,4,Apr 30 2014 01: +0,1398816000
64.958,3,May 01 2014 01: +0,1398902400
74.518,3,May 02 2014 01: +0,1398988800
69.581,4,May 03 2014 01: +0,1399075200
67.953,3,May 04 2014 01: +0,1399161600
70.383,4,May 05 2014 01: +0,1399248000
35.056,2,May 06 2014 01: +0,1399334400
62.806,4,May 07 2014 01: +0,1399420800
67.006,1,May 08 2014 01: +0,1399507200
65.439,5,May 09 2014 01: +0,1399593600
62.177,9,May 10 2014 01: +0,1399680000
63.482,7,May 11 2014 01: +0,1399766400
62.885,1,May 12 2014 01: +0,1399852800
67.098,2,May 13 2014 01: +0,1399939200
62.886,3,May 15 2014 01: +0,1400112000
65.726,4,May 16 2014 01: +0,1400198400
62.995,3,May 17 2014 01: +0,1400284800
52.1,2,May 18 2014 01: +0,1400371200
56.772,4,May 19 2014 01: +0,1400457600
62.133,5,May 20 2014 01: +0,1400544000
66.017,1,May 21 2014 01: +0,1400630400
63.651,2,May 22 2014 01: +0,1400716800
62.926,3,May 23 2014 01: +0,1400803200
61.918,2,May 24 2014 01: +0,1400889600
61.298,4,May 25 2014 01: +0,1400976000
58.712,7,May 26 2014 01: +0,1401062400
59.976,2,May 27 2014 01: +0,1401148800
59.545,4,May 28 2014 01: +0,1401235200
60.846,4,May 29 2014 01: +0,1401321600
59.429,3,May 30 2014 01: +0,1401408000
58.433,5,May 31 2014 01: +0,1401494400
61.909,4,Jun 01 2014 01: +0,1401580800
58.916,3,Jun 02 2014 01: +0,1401667200
58.808,3,Jun 03 2014 01: +0,1401753600
61.36,2,Jun 04 2014 01: +0,1401840000
61.829,1,Jun 05 2014 01: +0,1401926400
63.264,2,Jun 06 2014 01: +0,1402012800
62.19,1,Jun 07 2014 01: +0,1402099200
65.603,1,Jun 08 2014 01: +0,1402185600
61.564,2,Jun 09 2014 01: +0,1402272000
54.241,5,Jun 10 2014 01: +0,1402358400
58.952,4,Jun 11 2014 01: +0,1402444800
57.42,5,Jun 12 2014 01: +0,1402531200
58.921,2,Jun 13 2014 01: +0,1402617600
61.88,3,Jun 14 2014 01: +0,1402704000
60.389,4,Jun 15 2014 01: +0,1402790400
62.565,2,Jun 17 2014 01: +0,1402963200
55.59,3,Jun 18 2014 01: +0,1403049600
57.573,4,Jun 19 2014 01: +0,1403136000
44.687,5,Jun 20 2014 01: +0,1403222400
58.362,1,Jun 21 2014 01: +0,1403308800
54.196,5,Jun 22 2014 01: +0,1403395200
56.001,3,Jun 23 2014 01: +0,1403481600
56.279,4,Jun 24 2014 01: +0,1403568000
57.905,1,Jun 25 2014 01: +0,1403654400
51.284,9,Jun 26 2014 01: +0,1403740800
53.329,6,Jun 27 2014 01: +0,1403827200
53.203,3,Jun 28 2014 01: +0,1403913600
52.876,7,Jun 29 2014 01: +0,1404000000
54.308,4,Jun 30 2014 01: +0,1404086400
56.596,5,Jul 01 2014 01: +0,1404172800
46.994,11,Jul 02 2014 01: +0,1404259200
52.432,6,Jul 03 2014 01: +0,1404345600
52.675,4,Jul 04 2014 01: +0,1404432000
58.385,3,Jul 05 2014 01: +0,1404518400
54.832,3,Jul 06 2014 01: +0,1404604800
54.523,4,Jul 07 2014 01: +0,1404691200
53.707,4,Jul 08 2014 01: +0,1404777600
53.514,6,Jul 09 2014 01: +0,1404864000
47.558,7,Jul 10 2014 01: +0,1404950400
55.659,5,Jul 11 2014 01: +0,1405036800
55.678,2,Jul 12 2014 01: +0,1405123200
59.715,5,Jul 13 2014 01: +0,1405209600
55.206,9,Jul 14 2014 01: +0,1405296000
58.85,8,Jul 15 2014 01: +0,1405382400
57.393,2,Jul 16 2014 01: +0,1405468800
53.606,18,Jul 17 2014 01: +0,1405555200
54.411,9,Jul 18 2014 01: +0,1405641600
57.342,4,Jul 19 2014 01: +0,1405728000
55.929,2,Jul 20 2014 01: +0,1405814400
54.956,2,Jul 21 2014 01: +0,1405900800
57.671,5,Jul 22 2014 01: +0,1405987200
55.225,4,Jul 23 2014 01: +0,1406073600
56.349,5,Jul 24 2014 01: +0,1406160000
56.329,5,Jul 25 2014 01: +0,1406246400
54.855,8,Jul 26 2014 01: +0,1406332800
55.884,12,Jul 27 2014 01: +0,1406419200
57.563,11,Jul 28 2014 01: +0,1406505600
55.692,4,Jul 29 2014 01: +0,1406592000
58.787,4,Jul 30 2014 01: +0,1406678400
60.18,9,Jul 31 2014 01: +0,1406764800
61.755,6,Aug 01 2014 01: +0,1406851200
59.867,2,Aug 02 2014 01: +0,1406937600
58.16,5,Aug 03 2014 01: +0,1407024000
57.56,7,Aug 04 2014 01: +0,1407110400
58.097,5,Aug 05 2014 01: +0,1407196800
62.514,4,Aug 06 2014 01: +0,1407283200
64.573,2,Aug 07 2014 01: +0,1407369600
54.026,5,Aug 08 2014 01: +0,1407456000
61.967,5,Aug 09 2014 01: +0,1407542400
60.165,7,Aug 10 2014 01: +0,1407628800
57.864,7,Aug 11 2014 01: +0,1407715200
61.134,5,Aug 12 2014 01: +0,1407801600
59.272,4,Aug 13 2014 01: +0,1407888000
59.562,1,Aug 14 2014 01: +0,1407974400
57.392,5,Aug 15 2014 01: +0,1408060800
58.395,5,Aug 16 2014 01: +0,1408147200
57.727,10,Aug 17 2014 01: +0,1408233600
57.772,11,Aug 18 2014 01: +0,1408320000
57.843,7,Aug 19 2014 01: +0,1408406400
62.654,8,Aug 20 2014 01: +0,1408492800
61.167,3,Aug 21 2014 01: +0,1408579200
58.888,2,Aug 22 2014 01: +0,1408665600
56.783,7,Aug 23 2014 01: +0,1408752000
61.164,4,Aug 24 2014 01: +0,1408838400
47.744,6,Aug 25 2014 01: +0,1408924800
61.112,11,Aug 26 2014 01: +0,1409011200
60.052,8,Aug 27 2014 01: +0,1409097600
60.473,4,Aug 28 2014 01: +0,1409184000
59.266,7,Aug 29 2014 01: +0,1409270400
61.931,7,Aug 30 2014 01: +0,1409356800
61.256,12,Aug 31 2014 01: +0,1409443200
60.447,10,Sep 01 2014 01: +0,1409529600
64.293,6,Sep 02 2014 01: +0,1409616000
63.992,6,Sep 03 2014 01: +0,1409702400
59.706,4,Sep 04 2014 01: +0,1409788800
59.939,7,Sep 05 2014 01: +0,1409875200
60.308,7,Sep 06 2014 01: +0,1409961600
57.286,5,Sep 07 2014 01: +0,1410048000
63.326,5,Sep 08 2014 01: +0,1410134400
63.464,7,Sep 09 2014 01: +0,1410220800
62.543,1,Sep 10 2014 01: +0,1410307200
59.057,4,Sep 11 2014 01: +0,1410393600
63.541,4,Sep 12 2014 01: +0,1410480000
63.87,5,Sep 13 2014 01: +0,1410566400
61.812,3,Sep 14 2014 01: +0,1410652800
61.478,4,Sep 15 2014 01: +0,1410739200
55.589,4,Sep 16 2014 01: +0,1410825600
61.192,1,Sep 17 2014 01: +0,1410912000
57.215,8,Sep 18 2014 01: +0,1410998400
60.933,4,Sep 19 2014 01: +0,1411084800
60.086,6,Sep 20 2014 01: +0,1411171200
58.213,9,Sep 21 2014 01: +0,1411257600
58.895,5,Sep 22 2014 01: +0,1411344000
49.986,3,Sep 23 2014 01: +0,1411430400
54.398,7,Sep 24 2014 01: +0,1411516800
54.989,4,Sep 25 2014 01: +0,1411603200
58.236,5,Sep 26 2014 01: +0,1411689600
56.931,5,Sep 27 2014 01: +0,1411776000
56.44,3,Sep 28 2014 01: +0,1411862400
55.518,5,Sep 29 2014 01: +0,1411948800
