price,quantity,date,unix timestamp
91.8,1,Sep 01 2013 01: +0,1377993600
150.107,1,Sep 13 2013 01: +0,1379030400
136.98,1,Sep 15 2013 01: +0,1379203200
138.609,1,Sep 16 2013 01: +0,1379289600
115.727,1,Sep 24 2013 01: +0,1379980800
133.894,1,Sep 27 2013 01: +0,1380240000
190.362,2,Sep 30 2013 01: +0,1380499200
125.253,1,Oct 06 2013 01: +0,1381017600
169.799,3,Oct 17 2013 01: +0,1381968000
179.35,2,Oct 20 2013 01: +0,1382227200
251.237,1,Oct 24 2013 01: +0,1382572800
259.691,1,Oct 29 2013 01: +0,1383008400
223.328,1,Oct 30 2013 01: +0,1383094800
320.695,1,Nov 03 2013 01: +0,1383440400
306.054,1,Nov 05 2013 01: +0,1383613200
330.555,1,Nov 09 2013 01: +0,1383958800
312.186,1,Nov 18 2013 01: +0,1384736400
306.054,1,Nov 24 2013 01: +0,1385254800
304.05,1,Nov 30 2013 01: +0,1385773200
331.841,1,Dec 06 2013 01: +0,1386291600
309.156,1,Dec 07 2013 01: +0,1386378000
343.665,1,Dec 08 2013 01: +0,1386464400
330.176,1,Dec 13 2013 01: +0,1386896400
345.601,1,Dec 17 2013 01: +0,1387242000
339.902,1,Dec 19 2013 01: +0,1387414800
302.733,2,Dec 20 2013 01: +0,1387501200
285.375,1,Dec 21 2013 01: +0,1387587600
285.375,1,Dec 31 2013 01: +0,1388451600
300.268,2,Jan 04 2014 01: +0,1388797200
324.094,2,Jan 09 2014 01: +0,1389229200
330.042,1,Jan 10 2014 01: +0,1389315600
295.905,3,Jan 12 2014 01: +0,1389488400
338.81,1,Jan 13 2014 01: +0,1389574800
335.882,1,Jan 16 2014 01: +0,1389834000
336.808,1,Jan 17 2014 01: +0,1389920400
340.464,1,Jan 19 2014 01: +0,1390093200
336.138,1,Jan 24 2014 01: +0,1390525200
327.42,1,Jan 27 2014 01: +0,1390784400
282.306,1,Feb 02 2014 01: +0,1391302800
330.869,1,Feb 05 2014 01: +0,1391562000
225.868,1,Feb 06 2014 01: +0,1391648400
19.844,1,Feb 08 2014 01: +0,1391821200
213.799,1,Feb 11 2014 01: +0,1392080400
171.225,1,Feb 12 2014 01: +0,1392166800
291.81,1,Feb 13 2014 01: +0,1392253200
291.578,1,Feb 15 2014 01: +0,1392426000
285.375,1,Feb 21 2014 01: +0,1392944400
289.637,1,Feb 22 2014 01: +0,1393030800
245.106,1,Feb 28 2014 01: +0,1393549200
277.996,2,Mar 03 2014 01: +0,1393808400
283.116,1,Mar 06 2014 01: +0,1394067600
342.044,1,Mar 07 2014 01: +0,1394154000
303.408,2,Mar 08 2014 01: +0,1394240400
319.001,1,Mar 15 2014 01: +0,1394845200
316.09,2,Mar 20 2014 01: +0,1395277200
331.37,2,Mar 21 2014 01: +0,1395363600
331.74,1,Mar 22 2014 01: +0,1395450000
330.861,1,Mar 23 2014 01: +0,1395536400
289.014,1,Mar 29 2014 01: +0,1396054800
330.869,1,Mar 31 2014 01: +0,1396224000
261.423,1,Apr 02 2014 01: +0,1396396800
221.728,1,Apr 03 2014 01: +0,1396483200
327.744,1,Apr 16 2014 01: +0,1397606400
350.478,1,Apr 17 2014 01: +0,1397692800
330.292,1,Apr 18 2014 01: +0,1397779200
308.02,2,Apr 21 2014 01: +0,1398038400
326.081,1,Apr 22 2014 01: +0,1398124800
328.677,1,Apr 26 2014 01: +0,1398470400
322.11,1,Apr 27 2014 01: +0,1398556800
338.977,2,Apr 28 2014 01: +0,1398643200
347.793,1,Apr 29 2014 01: +0,1398729600
342.628,1,May 05 2014 01: +0,1399248000
340.869,2,May 06 2014 01: +0,1399334400
349.993,1,May 07 2014 01: +0,1399420800
294.675,2,May 09 2014 01: +0,1399593600
343.996,2,May 10 2014 01: +0,1399680000
304.966,2,May 11 2014 01: +0,1399766400
339.847,2,May 12 2014 01: +0,1399852800
335.404,2,May 15 2014 01: +0,1400112000
337.599,2,May 16 2014 01: +0,1400198400
338.767,1,May 19 2014 01: +0,1400457600
298.535,1,May 20 2014 01: +0,1400544000
292.78,1,May 24 2014 01: +0,1400889600
292.77,1,May 25 2014 01: +0,1400976000
330.869,1,May 26 2014 01: +0,1401062400
330.116,1,May 31 2014 01: +0,1401494400
274.449,2,Jun 01 2014 01: +0,1401580800
342.674,1,Jun 03 2014 01: +0,1401753600
251.578,2,Jun 05 2014 01: +0,1401926400
342.955,1,Jun 07 2014 01: +0,1402099200
330.078,1,Jun 13 2014 01: +0,1402617600
323.425,1,Jun 17 2014 01: +0,1402963200
166.229,1,Jun 18 2014 01: +0,1403049600
310.794,1,Jun 19 2014 01: +0,1403136000
337.577,1,Jun 25 2014 01: +0,1403654400
330.05,1,Jun 30 2014 01: +0,1404086400
338.15,1,Jul 02 2014 01: +0,1404259200
338.148,1,Jul 03 2014 01: +0,1404345600
336.246,1,Jul 06 2014 01: +0,1404604800
337.255,1,Jul 14 2014 01: +0,1405296000
330.876,1,Jul 17 2014 01: +0,1405555200
290.764,2,Jul 20 2014 01: +0,1405814400
