price,quantity,date,unix timestamp
66.5,1,Sep 14 2013 01: +0,1379116800
103.852,1,Jan 25 2014 01: +0,1390611600
195.96,1,Jan 29 2014 01: +0,1390957200
93.966,2,Feb 22 2014 01: +0,1393030800
95.125,1,Mar 19 2014 01: +0,1395190800
80.864,1,Mar 22 2014 01: +0,1395450000
107.599,1,Mar 23 2014 01: +0,1395536400
107.657,1,Mar 25 2014 01: +0,1395709200
137.666,1,Mar 28 2014 01: +0,1395968400
134.571,1,Jun 05 2014 01: +0,1401926400
150.328,1,Sep 15 2014 01: +0,1410739200
177.447,1,Sep 16 2014 01: +0,1410825600
165.426,1,Oct 27 2014 01: +0,1414371600
94.703,1,Jan 18 2015 01: +0,1421542800
157.163,1,Feb 05 2015 01: +0,1423098000
111.652,1,Feb 23 2015 01: +0,1424653200
92.547,1,Mar 01 2015 01: +0,1425171600
136.244,1,Apr 28 2015 01: +0,1430179200
95.125,1,May 08 2015 01: +0,1431043200
125.563,1,May 10 2015 01: +0,1431216000
145.541,1,May 27 2015 01: +0,1432684800
83.134,1,Jun 28 2015 01: +0,1435449600
118.134,1,Jul 08 2015 01: +0,1436313600
107.748,1,Jul 20 2015 01: +0,1437350400
115.81,1,Jul 26 2015 01: +0,1437868800
100.222,1,Jul 29 2015 01: +0,1438128000
104.921,1,Aug 08 2015 01: +0,1438992000
94.758,1,Aug 16 2015 01: +0,1439683200
103.815,1,Aug 18 2015 01: +0,1439856000
129.974,1,Aug 20 2015 01: +0,1440028800
155.348,1,Aug 22 2015 01: +0,1440201600
134.13,1,Aug 28 2015 01: +0,1440720000
110.926,1,Sep 04 2015 01: +0,1441324800
123.861,1,Sep 16 2015 01: +0,1442361600
151.786,1,Sep 18 2015 01: +0,1442534400
81.893,1,Sep 20 2015 01: +0,1442707200
141.777,1,Sep 26 2015 01: +0,1443225600
108.607,1,Oct 02 2015 01: +0,1443744000
128.228,1,Oct 08 2015 01: +0,1444262400
128.819,1,Oct 16 2015 01: +0,1444953600
158.289,1,Oct 23 2015 01: +0,1445558400
146.456,1,Oct 29 2015 01: +0,1446080400
87.432,1,Nov 29 2015 01: +0,1448758800
151.464,1,Dec 01 2015 01: +0,1448931600
143.878,1,Dec 16 2015 01: +0,1450227600
149.872,1,Dec 22 2015 01: +0,1450746000
144.755,1,Jan 02 2016 01: +0,1451696400
139.867,1,Jan 09 2016 01: +0,1452301200
115.785,3,Jan 13 2016 01: +0,1452646800
124.074,1,Jan 26 2016 01: +0,1453770000
118.901,1,Mar 04 2016 01: +0,1457053200
86.424,1,Mar 05 2016 01: +0,1457139600
148.071,1,May 10 2016 01: +0,1462838400
178.355,1,Jul 13 2016 01: +0,1468368000
149.043,1,Aug 18 2016 01: +0,1471478400
143.636,1,Nov 27 2016 01: +0,1480208400
210.368,1,Jul 18 2017 01: +0,1500336000
134.665,1,Aug 11 2017 01: +0,1502409600
194.727,1,Aug 21 2017 01: +0,1503273600
195.367,1,Jan 17 2018 01: +0,1516150800
190.25,1,Feb 02 2018 01: +0,1517533200
180.588,1,May 10 2018 01: +0,1525910400
178.413,1,Jun 16 2019 01: +0,1560643200
136.376,1,Sep 25 2019 01: +0,1569369600
131.529,1,Apr 10 2020 01: +0,1586476800
112.677,1,Aug 04 2020 01: +0,1596499200
206.716,1,Aug 07 2020 01: +0,1596758400
190.25,1,Aug 13 2020 01: +0,1597276800
136.914,1,Sep 15 2020 01: +0,1600128000
200.267,1,Jan 20 2021 01: +0,1611104400
253.073,1,Jan 25 2021 01: +0,1611536400
210.933,1,Mar 18 2021 01: +0,1616029200
316.355,1,Apr 10 2021 01: +0,1618012800
