price,quantity,date,unix timestamp
31.019,2,Aug 17 2013 01: +0,1376697600
36.859,1,Aug 30 2013 01: +0,1377820800
36.842,1,Aug 31 2013 01: +0,1377907200
47.301,1,Sep 03 2013 01: +0,1378166400
42.9,1,Sep 08 2013 01: +0,1378598400
43.378,1,Sep 09 2013 01: +0,1378684800
47.12,1,Sep 10 2013 01: +0,1378771200
49.22,2,Sep 15 2013 01: +0,1379203200
67.291,1,Sep 19 2013 01: +0,1379548800
61.211,1,Sep 24 2013 01: +0,1379980800
65.967,1,Sep 25 2013 01: +0,1380067200
60.523,2,Sep 27 2013 01: +0,1380240000
51.285,1,Sep 29 2013 01: +0,1380412800
57.483,2,Sep 30 2013 01: +0,1380499200
57.99,5,Oct 01 2013 01: +0,1380585600
57.675,1,Oct 03 2013 01: +0,1380758400
66.844,2,Oct 05 2013 01: +0,1380931200
71.345,1,Oct 06 2013 01: +0,1381017600
74.67,2,Oct 08 2013 01: +0,1381190400
58.069,1,Oct 10 2013 01: +0,1381363200
75.852,1,Oct 11 2013 01: +0,1381449600
64.784,1,Oct 12 2013 01: +0,1381536000
61.815,2,Oct 14 2013 01: +0,1381708800
64.426,3,Oct 15 2013 01: +0,1381795200
61.358,4,Oct 16 2013 01: +0,1381881600
81.956,1,Oct 20 2013 01: +0,1382227200
65.545,2,Oct 22 2013 01: +0,1382400000
73.707,1,Oct 23 2013 01: +0,1382486400
73.436,1,Oct 24 2013 01: +0,1382572800
77.864,1,Oct 25 2013 01: +0,1382659200
77.248,2,Oct 28 2013 01: +0,1382922000
77.515,2,Oct 29 2013 01: +0,1383008400
77.314,2,Oct 30 2013 01: +0,1383094800
75.228,1,Nov 01 2013 01: +0,1383267600
77.731,3,Nov 02 2013 01: +0,1383354000
89.8,1,Nov 03 2013 01: +0,1383440400
76.166,2,Nov 06 2013 01: +0,1383699600
74.029,1,Nov 07 2013 01: +0,1383786000
76.622,3,Nov 09 2013 01: +0,1383958800
77.291,1,Nov 16 2013 01: +0,1384563600
78.584,1,Nov 17 2013 01: +0,1384650000
69.441,1,Nov 18 2013 01: +0,1384736400
72.201,1,Nov 19 2013 01: +0,1384822800
69.532,4,Nov 28 2013 01: +0,1385600400
80.431,1,Nov 29 2013 01: +0,1385686800
85.515,3,Nov 30 2013 01: +0,1385773200
97.265,1,Dec 02 2013 01: +0,1385946000
88.52,2,Dec 03 2013 01: +0,1386032400
92.563,1,Dec 05 2013 01: +0,1386205200
101.728,1,Dec 06 2013 01: +0,1386291600
112.727,1,Dec 07 2013 01: +0,1386378000
88.468,1,Dec 08 2013 01: +0,1386464400
96.101,1,Dec 10 2013 01: +0,1386637200
85.073,2,Dec 11 2013 01: +0,1386723600
85.541,1,Dec 12 2013 01: +0,1386810000
96.501,2,Dec 14 2013 01: +0,1386982800
98.882,2,Dec 16 2013 01: +0,1387155600
112.438,1,Dec 17 2013 01: +0,1387242000
89.133,3,Dec 20 2013 01: +0,1387501200
90.369,1,Dec 21 2013 01: +0,1387587600
99.27,1,Dec 22 2013 01: +0,1387674000
82.177,2,Dec 23 2013 01: +0,1387760400
91.786,3,Dec 25 2013 01: +0,1387933200
89.694,3,Dec 27 2013 01: +0,1388106000
97.622,1,Dec 28 2013 01: +0,1388192400
75.885,1,Dec 29 2013 01: +0,1388278800
88.036,1,Dec 30 2013 01: +0,1388365200
104.897,1,Dec 31 2013 01: +0,1388451600
105.318,1,Jan 01 2014 01: +0,1388538000
88.909,1,Jan 03 2014 01: +0,1388710800
94.76,2,Jan 04 2014 01: +0,1388797200
99.885,1,Jan 05 2014 01: +0,1388883600
98.173,2,Jan 06 2014 01: +0,1388970000
84.414,3,Jan 07 2014 01: +0,1389056400
103.759,2,Jan 08 2014 01: +0,1389142800
91.755,2,Jan 09 2014 01: +0,1389229200
95.77,1,Jan 10 2014 01: +0,1389315600
94.633,2,Jan 11 2014 01: +0,1389402000
73.186,4,Jan 12 2014 01: +0,1389488400
100.414,2,Jan 13 2014 01: +0,1389574800
80.414,3,Jan 16 2014 01: +0,1389834000
101.584,4,Jan 17 2014 01: +0,1389920400
99.303,1,Jan 18 2014 01: +0,1390006800
84.992,1,Jan 19 2014 01: +0,1390093200
98.132,2,Jan 20 2014 01: +0,1390179600
100.542,1,Jan 21 2014 01: +0,1390266000
85.759,1,Jan 22 2014 01: +0,1390352400
95.961,1,Jan 23 2014 01: +0,1390438800
97.414,2,Jan 24 2014 01: +0,1390525200
95.915,2,Jan 25 2014 01: +0,1390611600
93.194,3,Jan 27 2014 01: +0,1390784400
88.063,1,Jan 28 2014 01: +0,1390870800
91.695,3,Jan 29 2014 01: +0,1390957200
91.598,3,Jan 30 2014 01: +0,1391043600
88.749,3,Jan 31 2014 01: +0,1391130000
98.803,2,Feb 01 2014 01: +0,1391216400
94.9,1,Feb 02 2014 01: +0,1391302800
92.254,6,Feb 03 2014 01: +0,1391389200
87.989,2,Feb 04 2014 01: +0,1391475600
93.499,2,Feb 06 2014 01: +0,1391648400
102.671,2,Feb 07 2014 01: +0,1391734800
49.417,3,Feb 10 2014 01: +0,1391994000
99.24,2,Feb 12 2014 01: +0,1392166800
95.923,2,Feb 13 2014 01: +0,1392253200
99.252,1,Feb 14 2014 01: +0,1392339600
105.004,1,Feb 16 2014 01: +0,1392512400
18.198,1,Feb 17 2014 01: +0,1392598800
95.57,1,Feb 18 2014 01: +0,1392685200
95.095,2,Feb 19 2014 01: +0,1392771600
89.177,3,Feb 20 2014 01: +0,1392858000
84.134,5,Feb 22 2014 01: +0,1393030800
95.089,1,Feb 24 2014 01: +0,1393203600
94.789,3,Feb 25 2014 01: +0,1393290000
90.797,2,Feb 26 2014 01: +0,1393376400
93.852,3,Feb 27 2014 01: +0,1393462800
92.224,5,Feb 28 2014 01: +0,1393549200
101.141,2,Mar 01 2014 01: +0,1393635600
104.637,1,Mar 02 2014 01: +0,1393722000
99.03,3,Mar 03 2014 01: +0,1393808400
98.312,1,Mar 04 2014 01: +0,1393894800
97.081,3,Mar 05 2014 01: +0,1393981200
94.684,3,Mar 06 2014 01: +0,1394067600
101.294,2,Mar 07 2014 01: +0,1394154000
