price,quantity,date,unix timestamp
242.855,1,Mar 07 2020 01: +0,1583542800
418.947,1,Mar 15 2020 01: +0,1584234000
165.307,1,Mar 17 2020 01: +0,1584406800
242.369,1,Apr 07 2020 01: +0,1586217600
165.826,1,Apr 10 2020 01: +0,1586476800
171.422,1,May 01 2020 01: +0,1588291200
253.048,1,May 04 2020 01: +0,1588550400
281.239,1,May 22 2020 01: +0,1590105600
263.14,1,May 25 2020 01: +0,1590364800
176.386,1,May 31 2020 01: +0,1590883200
176.684,1,Jun 04 2020 01: +0,1591228800
227.895,1,Jun 21 2020 01: +0,1592697600
173.706,1,Sep 29 2020 01: +0,1601337600
190.25,1,Oct 22 2020 01: +0,1603324800
216.015,1,Nov 19 2020 01: +0,1605747600
202.57,2,Nov 20 2020 01: +0,1605834000
206.777,1,Nov 26 2020 01: +0,1606352400
216.347,1,Jan 01 2021 01: +0,1609462800
178.992,1,Jan 13 2021 01: +0,1610499600
175.22,1,Mar 03 2021 01: +0,1614733200
190.25,1,Apr 07 2021 01: +0,1617753600
188.645,1,Apr 11 2021 01: +0,1618099200
189.373,1,Apr 19 2021 01: +0,1618790400
190.076,1,May 09 2021 01: +0,1620518400
190.266,1,May 10 2021 01: +0,1620604800
197.186,1,May 24 2021 01: +0,1621814400
185.221,1,Jun 23 2021 01: +0,1624406400
224.56,1,Jul 18 2021 01: +0,1626566400
145.345,1,Jul 28 2021 01: +0,1627430400
186.804,1,Jul 31 2021 01: +0,1627689600
156.236,1,Aug 18 2021 01: +0,1629244800
142.935,1,Aug 30 2021 01: +0,1630281600
145.649,1,Sep 04 2021 01: +0,1630713600
151.712,1,Sep 09 2021 01: +0,1631145600
168.752,1,Sep 10 2021 01: +0,1631232000
146.336,1,Sep 21 2021 01: +0,1632182400
176.797,1,Oct 26 2021 01: +0,1635206400
201.412,1,Nov 05 2021 01: +0,1636074000
153.014,1,Nov 12 2021 01: +0,1636678800
167.101,1,Nov 30 2021 01: +0,1638234000
118.964,1,Dec 09 2021 01: +0,1639011600
161.301,1,Dec 12 2021 01: +0,1639270800
179.318,2,Dec 18 2021 01: +0,1639789200
135.562,1,Dec 22 2021 01: +0,1640134800
207.048,1,Jan 01 2022 01: +0,1640998800
224.28,1,Jan 05 2022 01: +0,1641344400
180.535,1,Jan 30 2022 01: +0,1643504400
177.106,1,Feb 05 2022 01: +0,1644022800
334.65,1,Feb 19 2022 01: +0,1645232400
231.774,1,Mar 05 2022 01: +0,1646442000
289.51,1,Mar 13 2022 01: +0,1647133200
311.149,1,Mar 27 2022 01: +0,1648342800
400.39,1,Apr 19 2022 01: +0,1650326400
355.362,1,May 03 2022 01: +0,1651536000
347.429,1,May 15 2022 01: +0,1652572800
301.116,1,Jul 04 2022 01: +0,1656892800
294.829,1,Jul 08 2022 01: +0,1657238400
299.584,1,Jul 31 2022 01: +0,1659225600
302.754,2,Aug 02 2022 01: +0,1659398400
310.438,1,Sep 01 2022 01: +0,1661990400
229.441,1,Sep 21 2022 01: +0,1663718400
301.008,1,Nov 27 2022 01: +0,1669510800
347.892,1,Dec 20 2022 01: +0,1671498000
346.569,1,Jan 05 2023 01: +0,1672880400
347.777,1,Feb 19 2023 04: +0,1676779200
342.375,1,Feb 23 2023 03: +0,1677121200
380.078,1,Feb 25 2023 15: +0,1677337200
385.958,1,Feb 27 2023 08: +0,1677484800
385.314,1,Mar 14 2023 12: +0,1678795200
351.954,1,Mar 24 2023 08: +0,1679644800
443.538,1,Apr 08 2023 04: +0,1680922800
534.928,1,Apr 14 2023 12: +0,1681470000
567.942,1,Apr 26 2023 16: +0,1682521200
596.321,1,May 06 2023 16: +0,1683385200
457.13,1,May 09 2023 17: +0,1683648000
386.609,1,May 13 2023 14: +0,1683982800
452.672,1,May 19 2023 02: +0,1684458000
449.404,1,Jun 04 2023 12: +0,1685876400
457.477,1,Jun 25 2023 05: +0,1687665600
447.259,1,Jul 05 2023 20: +0,1688583600
400.51,1,Jul 14 2023 17: +0,1689350400
570.388,1,Jul 15 2023 17: +0,1689436800
