price,quantity,date,unix timestamp
361.035,1,Feb 18 2018 01: +0,1518915600
747.342,1,Feb 19 2018 01: +0,1519002000
542.202,1,Feb 20 2018 01: +0,1519088400
456.655,2,Feb 23 2018 01: +0,1519347600
360.788,4,Feb 27 2018 01: +0,1519693200
347.305,3,Feb 28 2018 01: +0,1519779600
412.798,1,Mar 01 2018 01: +0,1519866000
390.039,3,Mar 02 2018 01: +0,1519952400
348.928,1,Mar 04 2018 01: +0,1520125200
325.326,2,Mar 06 2018 01: +0,1520298000
355.153,2,Mar 07 2018 01: +0,1520384400
435.618,2,Mar 08 2018 01: +0,1520470800
354.18,2,Mar 09 2018 01: +0,1520557200
362.887,2,Mar 11 2018 01: +0,1520730000
452.538,1,Mar 12 2018 01: +0,1520816400
392.913,1,Mar 13 2018 01: +0,1520902800
348.209,2,Mar 16 2018 01: +0,1521162000
414.27,1,Mar 19 2018 01: +0,1521421200
413.475,1,Mar 21 2018 01: +0,1521594000
328.098,2,Mar 22 2018 01: +0,1521680400
367.038,2,Mar 23 2018 01: +0,1521766800
270.486,1,Mar 24 2018 01: +0,1521853200
403.68,1,Mar 25 2018 01: +0,1521939600
363.221,2,Mar 28 2018 01: +0,1522195200
398.168,1,Mar 29 2018 01: +0,1522281600
398.586,1,Mar 30 2018 01: +0,1522368000
331.159,1,Mar 31 2018 01: +0,1522454400
264.707,1,Apr 01 2018 01: +0,1522540800
244.562,1,Apr 02 2018 01: +0,1522627200
329.55,2,Apr 03 2018 01: +0,1522713600
349.469,1,Apr 04 2018 01: +0,1522800000
300.818,3,Apr 05 2018 01: +0,1522886400
305.481,1,Apr 06 2018 01: +0,1522972800
236.877,1,Apr 07 2018 01: +0,1523059200
305.897,1,Apr 08 2018 01: +0,1523145600
269.681,3,Apr 09 2018 01: +0,1523232000
370.049,1,Apr 10 2018 01: +0,1523318400
251.705,1,Apr 11 2018 01: +0,1523404800
341.503,3,Apr 12 2018 01: +0,1523491200
282.463,3,Apr 15 2018 01: +0,1523750400
278.22,3,Apr 16 2018 01: +0,1523836800
377.057,1,Apr 17 2018 01: +0,1523923200
281.242,1,Apr 18 2018 01: +0,1524009600
296.797,1,Apr 19 2018 01: +0,1524096000
295.765,4,Apr 20 2018 01: +0,1524182400
297.673,1,Apr 21 2018 01: +0,1524268800
301.916,1,Apr 22 2018 01: +0,1524355200
382.737,1,Apr 23 2018 01: +0,1524441600
244.628,1,Apr 24 2018 01: +0,1524528000
383.703,2,Apr 26 2018 01: +0,1524700800
282.466,3,Apr 27 2018 01: +0,1524787200
260.914,1,Apr 28 2018 01: +0,1524873600
261.295,1,Apr 29 2018 01: +0,1524960000
312.6,2,May 01 2018 01: +0,1525132800
337.721,1,May 02 2018 01: +0,1525219200
285.375,1,May 03 2018 01: +0,1525305600
295.568,1,May 04 2018 01: +0,1525392000
253.031,2,May 06 2018 01: +0,1525564800
292.787,2,May 08 2018 01: +0,1525737600
313.188,2,May 09 2018 01: +0,1525824000
279.771,1,May 11 2018 01: +0,1525996800
272.016,1,May 12 2018 01: +0,1526083200
278.341,2,May 13 2018 01: +0,1526169600
291.013,1,May 14 2018 01: +0,1526256000
300.114,2,May 15 2018 01: +0,1526342400
330.961,1,May 16 2018 01: +0,1526428800
316.958,1,May 17 2018 01: +0,1526515200
261.281,3,May 18 2018 01: +0,1526601600
349.873,2,May 19 2018 01: +0,1526688000
272.788,2,May 20 2018 01: +0,1526774400
254.893,1,May 21 2018 01: +0,1526860800
307.078,1,May 22 2018 01: +0,1526947200
318.846,2,May 23 2018 01: +0,1527033600
347.415,1,May 24 2018 01: +0,1527120000
276.007,3,May 25 2018 01: +0,1527206400
307.743,3,May 26 2018 01: +0,1527292800
260.639,2,May 27 2018 01: +0,1527379200
297.819,2,May 28 2018 01: +0,1527465600
288.8,1,May 30 2018 01: +0,1527638400
245.884,6,May 31 2018 01: +0,1527724800
246.998,2,Jun 03 2018 01: +0,1527984000
260.603,2,Jun 04 2018 01: +0,1528070400
238.175,4,Jun 05 2018 01: +0,1528156800
221.895,1,Jun 06 2018 01: +0,1528243200
289.513,2,Jun 07 2018 01: +0,1528329600
258.627,2,Jun 09 2018 01: +0,1528502400
254.33,2,Jun 10 2018 01: +0,1528588800
236.71,1,Jun 12 2018 01: +0,1528761600
231.895,3,Jun 13 2018 01: +0,1528848000
214.205,2,Jun 14 2018 01: +0,1528934400
251.05,1,Jun 15 2018 01: +0,1529020800
249.258,2,Jun 16 2018 01: +0,1529107200
193.558,1,Jun 17 2018 01: +0,1529193600
217.298,2,Jun 18 2018 01: +0,1529280000
238.22,1,Jun 19 2018 01: +0,1529366400
251.272,2,Jun 20 2018 01: +0,1529452800
204.096,1,Jun 21 2018 01: +0,1529539200
216.563,4,Jun 22 2018 01: +0,1529625600
234.125,2,Jun 23 2018 01: +0,1529712000
348.416,2,Jun 24 2018 01: +0,1529798400
430.779,1,Jun 25 2018 01: +0,1529884800
245.341,2,Jun 26 2018 01: +0,1529971200
237.038,3,Jun 27 2018 01: +0,1530057600
224.189,3,Jun 28 2018 01: +0,1530144000
288.59,4,Jun 29 2018 01: +0,1530230400
239.493,4,Jun 30 2018 01: +0,1530316800
210.259,1,Jul 01 2018 01: +0,1530403200
251.941,3,Jul 03 2018 01: +0,1530576000
215.114,2,Jul 04 2018 01: +0,1530662400
200.77,2,Jul 05 2018 01: +0,1530748800
217.213,3,Jul 06 2018 01: +0,1530835200
267.909,4,Jul 07 2018 01: +0,1530921600
245.235,3,Jul 08 2018 01: +0,1531008000
228.673,2,Jul 09 2018 01: +0,1531094400
231.988,1,Jul 10 2018 01: +0,1531180800
235.906,2,Jul 11 2018 01: +0,1531267200
246.191,3,Jul 12 2018 01: +0,1531353600
246.506,2,Jul 13 2018 01: +0,1531440000
269.404,1,Jul 14 2018 01: +0,1531526400
270.63,2,Jul 15 2018 01: +0,1531612800
300.511,1,Jul 16 2018 01: +0,1531699200
222.567,1,Jul 17 2018 01: +0,1531785600
334.654,2,Jul 18 2018 01: +0,1531872000
251.047,2,Jul 19 2018 01: +0,1531958400
258.934,3,Jul 22 2018 01: +0,1532217600
250.282,4,Jul 23 2018 01: +0,1532304000
290.288,1,Jul 24 2018 01: +0,1532390400
300.02,1,Jul 25 2018 01: +0,1532476800
303.152,1,Jul 26 2018 01: +0,1532563200
322.657,1,Jul 27 2018 01: +0,1532649600
247.366,1,Jul 29 2018 01: +0,1532822400
260.564,1,Jul 30 2018 01: +0,1532908800
259.195,2,Jul 31 2018 01: +0,1532995200
247.773,3,Aug 01 2018 01: +0,1533081600
289.522,1,Aug 02 2018 01: +0,1533168000
284.76,2,Aug 03 2018 01: +0,1533254400
430.142,1,Aug 04 2018 01: +0,1533340800
258.831,2,Aug 05 2018 01: +0,1533427200
329.849,1,Aug 06 2018 01: +0,1533513600
232.38,2,Aug 07 2018 01: +0,1533600000
291.447,3,Aug 10 2018 01: +0,1533859200
237.812,1,Aug 11 2018 01: +0,1533945600
311.335,1,Aug 12 2018 01: +0,1534032000
245.298,1,Aug 13 2018 01: +0,1534118400
313.901,2,Aug 14 2018 01: +0,1534204800
234.388,3,Aug 15 2018 01: +0,1534291200
281.185,2,Aug 16 2018 01: +0,1534377600
233.18,1,Aug 17 2018 01: +0,1534464000
254.216,2,Aug 18 2018 01: +0,1534550400
251.016,3,Aug 19 2018 01: +0,1534636800
347.159,1,Aug 20 2018 01: +0,1534723200
270.465,2,Aug 21 2018 01: +0,1534809600
220.855,1,Aug 22 2018 01: +0,1534896000
246.343,2,Aug 23 2018 01: +0,1534982400
228.469,1,Aug 24 2018 01: +0,1535068800
261.453,1,Aug 25 2018 01: +0,1535155200
227.353,4,Aug 26 2018 01: +0,1535241600
249.034,2,Aug 27 2018 01: +0,1535328000
211.665,1,Aug 28 2018 01: +0,1535414400
217.908,1,Aug 29 2018 01: +0,1535500800
252.958,2,Aug 30 2018 01: +0,1535587200
277.365,1,Aug 31 2018 01: +0,1535673600
256.006,1,Sep 01 2018 01: +0,1535760000
252.438,1,Sep 02 2018 01: +0,1535846400
219.904,1,Sep 03 2018 01: +0,1535932800
255.189,1,Sep 04 2018 01: +0,1536019200
197.529,1,Sep 05 2018 01: +0,1536105600
243.206,1,Sep 07 2018 01: +0,1536278400
254.83,2,Sep 08 2018 01: +0,1536364800
219.811,1,Sep 09 2018 01: +0,1536451200
236.391,1,Sep 10 2018 01: +0,1536537600
239.091,1,Sep 11 2018 01: +0,1536624000
225.252,2,Sep 12 2018 01: +0,1536710400
221.278,3,Sep 13 2018 01: +0,1536796800
317.789,2,Sep 14 2018 01: +0,1536883200
207.827,1,Sep 15 2018 01: +0,1536969600
241.415,3,Sep 16 2018 01: +0,1537056000
251.529,2,Sep 19 2018 01: +0,1537315200
291.723,3,Sep 20 2018 01: +0,1537401600
222.355,1,Sep 21 2018 01: +0,1537488000
232.547,2,Sep 22 2018 01: +0,1537574400
296.943,4,Sep 23 2018 01: +0,1537660800
407.129,1,Sep 24 2018 01: +0,1537747200
236.019,5,Sep 26 2018 01: +0,1537920000
254.521,1,Sep 27 2018 01: +0,1538006400
253.333,2,Sep 28 2018 01: +0,1538092800
256.927,2,Sep 30 2018 01: +0,1538265600
249.251,2,Oct 01 2018 01: +0,1538352000
254.219,3,Oct 02 2018 01: +0,1538438400
224.836,4,Oct 03 2018 01: +0,1538524800
250.886,3,Oct 04 2018 01: +0,1538611200
292.923,2,Oct 05 2018 01: +0,1538697600
311.309,2,Oct 07 2018 01: +0,1538870400
255.612,2,Oct 08 2018 01: +0,1538956800
219.165,4,Oct 09 2018 01: +0,1539043200
240.365,1,Oct 10 2018 01: +0,1539129600
260.908,2,Oct 11 2018 01: +0,1539216000
282.748,2,Oct 12 2018 01: +0,1539302400
302.852,3,Oct 13 2018 01: +0,1539388800
259.812,4,Oct 15 2018 01: +0,1539561600
263.054,2,Oct 16 2018 01: +0,1539648000
269.846,3,Oct 17 2018 01: +0,1539734400
238.382,2,Oct 18 2018 01: +0,1539820800
270.738,1,Oct 19 2018 01: +0,1539907200
317.73,3,Oct 21 2018 01: +0,1540080000
273.02,1,Oct 24 2018 01: +0,1540339200
259.47,2,Oct 25 2018 01: +0,1540425600
240.928,3,Oct 26 2018 01: +0,1540512000
250.46,4,Oct 27 2018 01: +0,1540598400
246.127,2,Oct 28 2018 01: +0,1540684800
328.186,1,Oct 29 2018 01: +0,1540774800
272.981,1,Oct 30 2018 01: +0,1540861200
249.384,2,Nov 02 2018 01: +0,1541120400
238.722,1,Nov 04 2018 01: +0,1541293200
232.528,2,Nov 07 2018 01: +0,1541552400
237.351,2,Nov 08 2018 01: +0,1541638800
272.807,2,Nov 09 2018 01: +0,1541725200
225.312,1,Nov 10 2018 01: +0,1541811600
228.817,3,Nov 11 2018 01: +0,1541898000
307.857,1,Nov 12 2018 01: +0,1541984400
262.973,3,Nov 13 2018 01: +0,1542070800
242.259,3,Nov 14 2018 01: +0,1542157200
