price,quantity,date,unix timestamp
877.259,1,Feb 16 2018 01: +0,1518742800
825.543,1,Feb 20 2018 01: +0,1519088400
714.838,1,Feb 21 2018 01: +0,1519174800
711.431,1,Feb 24 2018 01: +0,1519434000
711.372,1,Feb 26 2018 01: +0,1519606800
868.926,1,Mar 01 2018 01: +0,1519866000
818.074,1,Mar 12 2018 01: +0,1520816400
806.498,1,Mar 13 2018 01: +0,1520902800
802.368,1,Mar 15 2018 01: +0,1521075600
717.36,1,Apr 01 2018 01: +0,1522540800
557.125,1,Apr 04 2018 01: +0,1522800000
524.173,1,Apr 05 2018 01: +0,1522886400
867.396,1,Apr 17 2018 01: +0,1523923200
591.438,1,Apr 20 2018 01: +0,1524182400
588.635,1,Apr 22 2018 01: +0,1524355200
772.997,1,Apr 23 2018 01: +0,1524441600
708.621,1,Apr 26 2018 01: +0,1524700800
645.283,2,May 06 2018 01: +0,1525564800
682.416,1,May 08 2018 01: +0,1525737600
795.524,1,May 12 2018 01: +0,1526083200
627.525,1,May 14 2018 01: +0,1526256000
628.691,2,May 20 2018 01: +0,1526774400
626.127,1,May 27 2018 01: +0,1527379200
622.505,1,May 29 2018 01: +0,1527552000
642.276,1,Jun 05 2018 01: +0,1528156800
626.359,1,Jun 10 2018 01: +0,1528588800
682.808,1,Jun 14 2018 01: +0,1528934400
615.976,1,Jun 19 2018 01: +0,1529366400
692.865,1,Jun 21 2018 01: +0,1529539200
964.951,1,Jun 25 2018 01: +0,1529884800
722.659,1,Jun 28 2018 01: +0,1530144000
725.604,1,Jun 29 2018 01: +0,1530230400
629.895,2,Jul 08 2018 01: +0,1531008000
657.23,1,Jul 10 2018 01: +0,1531180800
636.161,1,Jul 15 2018 01: +0,1531612800
702.488,1,Jul 26 2018 01: +0,1532563200
889.57,1,Jul 31 2018 01: +0,1532995200
604.457,1,Aug 06 2018 01: +0,1533513600
594.009,1,Aug 08 2018 01: +0,1533686400
621.061,1,Aug 09 2018 01: +0,1533772800
586.87,1,Aug 12 2018 01: +0,1534032000
532.699,1,Aug 13 2018 01: +0,1534118400
513.208,2,Aug 14 2018 01: +0,1534204800
378.969,1,Aug 15 2018 01: +0,1534291200
619.273,2,Aug 17 2018 01: +0,1534464000
595.567,1,Aug 19 2018 01: +0,1534636800
510.127,1,Aug 21 2018 01: +0,1534809600
479.974,2,Aug 23 2018 01: +0,1534982400
508.659,3,Aug 25 2018 01: +0,1535155200
512.496,1,Aug 30 2018 01: +0,1535587200
503.833,2,Aug 31 2018 01: +0,1535673600
523.028,2,Sep 01 2018 01: +0,1535760000
524.56,1,Sep 04 2018 01: +0,1536019200
545.476,3,Sep 05 2018 01: +0,1536105600
528.539,1,Sep 07 2018 01: +0,1536278400
587.215,1,Sep 09 2018 01: +0,1536451200
549.012,2,Sep 12 2018 01: +0,1536710400
619.552,1,Sep 15 2018 01: +0,1536969600
588.119,1,Sep 19 2018 01: +0,1537315200
633.414,1,Sep 21 2018 01: +0,1537488000
570.859,1,Sep 22 2018 01: +0,1537574400
593.781,1,Oct 04 2018 01: +0,1538611200
703.852,1,Oct 11 2018 01: +0,1539216000
550.078,1,Oct 16 2018 01: +0,1539648000
698.488,2,Oct 19 2018 01: +0,1539907200
713.449,1,Oct 28 2018 01: +0,1540684800
650.746,1,Nov 04 2018 01: +0,1541293200
558.554,1,Nov 05 2018 01: +0,1541379600
563.782,1,Nov 17 2018 01: +0,1542416400
554.295,2,Nov 19 2018 01: +0,1542589200
561.364,1,Nov 21 2018 01: +0,1542762000
680.431,1,Dec 05 2018 01: +0,1543971600
537.707,1,Dec 10 2018 01: +0,1544403600
501.665,1,Dec 11 2018 01: +0,1544490000
579.026,1,Dec 13 2018 01: +0,1544662800
497.131,1,Dec 14 2018 01: +0,1544749200
500.297,1,Dec 17 2018 01: +0,1545008400
519.453,1,Dec 21 2018 01: +0,1545354000
607.997,1,Dec 25 2018 01: +0,1545699600
579.998,1,Jan 02 2019 01: +0,1546390800
586.667,1,Jan 23 2019 01: +0,1548205200
604.068,1,Jan 31 2019 01: +0,1548896400
589.869,1,Feb 01 2019 01: +0,1548982800
586.13,1,Feb 02 2019 01: +0,1549069200
570.749,1,Feb 05 2019 01: +0,1549328400
