price,quantity,date,unix timestamp
528.445,9,Dec 04 2020 01: +0,1607043600
564.15,5,Dec 05 2020 01: +0,1607130000
661.797,3,Dec 06 2020 01: +0,1607216400
574.887,2,Dec 07 2020 01: +0,1607302800
656.178,5,Dec 08 2020 01: +0,1607389200
682.326,1,Dec 10 2020 01: +0,1607562000
697.427,2,Dec 11 2020 01: +0,1607648400
891.057,5,Dec 15 2020 01: +0,1607994000
904.497,1,Dec 16 2020 01: +0,1608080400
932.889,1,Dec 18 2020 01: +0,1608253200
951.249,1,Dec 19 2020 01: +0,1608339600
1047.176,1,Dec 20 2020 01: +0,1608426000
1061.316,4,Dec 21 2020 01: +0,1608512400
1390.097,1,Dec 25 2020 01: +0,1608858000
1072.016,1,Dec 27 2020 01: +0,1609030800
1059.195,1,Dec 28 2020 01: +0,1609117200
1200.488,2,Dec 31 2020 01: +0,1609376400
1351.956,1,Jan 01 2021 01: +0,1609462800
931.297,1,Jan 02 2021 01: +0,1609549200
992.814,2,Jan 03 2021 01: +0,1609635600
968.429,2,Jan 05 2021 01: +0,1609808400
971.87,1,Jan 06 2021 01: +0,1609894800
1137.148,1,Jan 07 2021 01: +0,1609981200
1136.763,2,Jan 08 2021 01: +0,1610067600
1151.998,3,Jan 10 2021 01: +0,1610240400
1240.759,1,Jan 12 2021 01: +0,1610413200
1216.763,1,Jan 13 2021 01: +0,1610499600
1211.808,1,Jan 15 2021 01: +0,1610672400
1213.529,1,Jan 16 2021 01: +0,1610758800
1036.365,1,Jan 17 2021 01: +0,1610845200
1351.791,1,Jan 19 2021 01: +0,1611018000
1200.451,2,Jan 24 2021 01: +0,1611450000
1208.466,1,Jan 27 2021 01: +0,1611709200
1319.44,2,Jan 29 2021 01: +0,1611882000
1282.118,1,Feb 04 2021 01: +0,1612400400
1299.737,1,Feb 06 2021 01: +0,1612573200
1192.069,1,Feb 07 2021 01: +0,1612659600
1388.823,1,Feb 08 2021 01: +0,1612746000
1321.731,1,Feb 14 2021 01: +0,1613264400
1063.901,1,Feb 15 2021 01: +0,1613350800
1128.264,2,Feb 20 2021 01: +0,1613782800
1100.934,1,Feb 24 2021 01: +0,1614128400
1088.518,1,Feb 25 2021 01: +0,1614214800
1094.763,1,Feb 26 2021 01: +0,1614301200
1087.046,1,Feb 27 2021 01: +0,1614387600
1199.401,1,Mar 04 2021 01: +0,1614819600
1117.924,1,Mar 05 2021 01: +0,1614906000
1135.262,1,Mar 08 2021 01: +0,1615165200
1178.175,1,Mar 09 2021 01: +0,1615251600
1141.308,1,Mar 10 2021 01: +0,1615338000
1153.923,1,Mar 18 2021 01: +0,1616029200
1288.379,1,Mar 26 2021 01: +0,1616720400
1191.129,1,Mar 28 2021 01: +0,1616893200
1492.294,1,Mar 30 2021 01: +0,1617062400
148.337,1,Mar 31 2021 01: +0,1617148800
1266.36,1,Apr 04 2021 01: +0,1617494400
1272.92,1,Apr 08 2021 01: +0,1617840000
1251.843,1,Apr 10 2021 01: +0,1618012800
1006.901,3,Apr 12 2021 01: +0,1618185600
1148.943,1,Apr 14 2021 01: +0,1618358400
1481.202,1,Apr 16 2021 01: +0,1618531200
1203.818,1,Apr 17 2021 01: +0,1618617600
1225.87,1,Apr 18 2021 01: +0,1618704000
1228.352,1,Apr 21 2021 01: +0,1618963200
1229.237,1,Apr 22 2021 01: +0,1619049600
1228.418,1,Apr 24 2021 01: +0,1619222400
1229.179,1,Apr 26 2021 01: +0,1619395200
1232.488,1,Apr 28 2021 01: +0,1619568000
1344.143,2,May 03 2021 01: +0,1620000000
1348.808,5,May 04 2021 01: +0,1620086400
1231.453,1,May 05 2021 01: +0,1620172800
1351.592,1,May 07 2021 01: +0,1620345600
1382.044,2,May 08 2021 01: +0,1620432000
1269.917,1,May 13 2021 01: +0,1620864000
1497.522,1,May 14 2021 01: +0,1620950400
1265.599,1,May 21 2021 01: +0,1621555200
1371.171,2,May 23 2021 01: +0,1621728000
1366.791,2,May 24 2021 01: +0,1621814400
1326.777,1,May 25 2021 01: +0,1621900800
738.237,1,May 26 2021 01: +0,1621987200
1179.606,1,May 31 2021 01: +0,1622419200
1270.43,1,Jun 01 2021 01: +0,1622505600
1168.018,1,Jun 02 2021 01: +0,1622592000
1302.801,2,Jun 04 2021 01: +0,1622764800
1340.847,1,Jun 09 2021 01: +0,1623196800
1296.833,2,Jun 12 2021 01: +0,1623456000
1493.073,1,Jun 16 2021 01: +0,1623801600
1246.566,1,Jun 18 2021 01: +0,1623974400
1207.639,1,Jun 21 2021 01: +0,1624233600
1200.683,1,Jun 22 2021 01: +0,1624320000
1092.282,1,Jun 25 2021 01: +0,1624579200
1121.688,1,Jun 27 2021 01: +0,1624752000
1249.358,2,Jun 30 2021 01: +0,1625011200
1123.863,1,Jul 02 2021 01: +0,1625184000
978.926,1,Jul 05 2021 01: +0,1625443200
1036.448,2,Jul 08 2021 01: +0,1625702400
842.823,1,Jul 11 2021 01: +0,1625961600
1121.547,1,Jul 12 2021 01: +0,1626048000
970.952,1,Jul 15 2021 01: +0,1626307200
1014.659,2,Jul 16 2021 01: +0,1626393600
910.267,1,Jul 17 2021 01: +0,1626480000
903.686,1,Jul 18 2021 01: +0,1626566400
838.005,2,Jul 19 2021 01: +0,1626652800
1300.097,1,Jul 20 2021 01: +0,1626739200
1317.736,1,Jul 21 2021 01: +0,1626825600
940.909,1,Aug 03 2021 01: +0,1627948800
946.939,1,Aug 04 2021 01: +0,1628035200
966.998,1,Aug 10 2021 01: +0,1628553600
878.937,2,Aug 20 2021 01: +0,1629417600
881.262,1,Aug 21 2021 01: +0,1629504000
826.252,3,Aug 25 2021 01: +0,1629849600
849.688,1,Aug 26 2021 01: +0,1629936000
874.76,1,Aug 27 2021 01: +0,1630022400
837.711,2,Aug 28 2021 01: +0,1630108800
83.536,1,Aug 29 2021 01: +0,1630195200
832.161,1,Sep 02 2021 01: +0,1630540800
880.931,1,Sep 04 2021 01: +0,1630713600
892.296,2,Sep 09 2021 01: +0,1631145600
1087.908,3,Sep 10 2021 01: +0,1631232000
860.865,1,Sep 12 2021 01: +0,1631404800
813.165,2,Sep 15 2021 01: +0,1631664000
818.694,1,Sep 19 2021 01: +0,1632009600
911.015,1,Sep 21 2021 01: +0,1632182400
530.383,1,Sep 24 2021 01: +0,1632441600
649.488,1,Oct 01 2021 01: +0,1633046400
667.797,2,Oct 03 2021 01: +0,1633219200
662.517,3,Oct 05 2021 01: +0,1633392000
607.972,1,Oct 07 2021 01: +0,1633564800
633.78,1,Oct 08 2021 01: +0,1633651200
659.339,2,Oct 15 2021 01: +0,1634256000
85.316,1,Oct 17 2021 01: +0,1634428800
642.316,1,Oct 18 2021 01: +0,1634515200
632.58,1,Oct 19 2021 01: +0,1634601600
609.155,1,Oct 21 2021 01: +0,1634774400
595.556,1,Oct 24 2021 01: +0,1635033600
651.672,1,Oct 27 2021 01: +0,1635292800
659.258,3,Oct 28 2021 01: +0,1635379200
646.849,1,Nov 01 2021 01: +0,1635728400
671.164,2,Nov 02 2021 01: +0,1635814800
744.999,3,Nov 03 2021 01: +0,1635901200
665.527,1,Nov 05 2021 01: +0,1636074000
646.849,1,Nov 08 2021 01: +0,1636333200
626.145,1,Nov 10 2021 01: +0,1636506000
621.19,1,Nov 14 2021 01: +0,1636851600
627.042,2,Nov 16 2021 01: +0,1637024400
642.697,1,Nov 17 2021 01: +0,1637110800
615.433,1,Nov 18 2021 01: +0,1637197200
612.117,1,Nov 25 2021 01: +0,1637802000
1074.509,1,Nov 29 2021 01: +0,1638147600
689.44,1,Dec 09 2021 01: +0,1639011600
667.528,1,Dec 11 2021 01: +0,1639184400
672.002,1,Dec 15 2021 01: +0,1639530000
907.218,1,Dec 20 2021 01: +0,1639962000
676.627,1,Dec 27 2021 01: +0,1640566800
695.677,1,Dec 29 2021 01: +0,1640739600
699.954,1,Dec 31 2021 01: +0,1640912400
690.656,1,Jan 04 2022 01: +0,1641258000
709.528,2,Jan 05 2022 01: +0,1641344400
765.56,2,Jan 07 2022 01: +0,1641517200
