price,quantity,date,unix timestamp
144.298,1,Dec 20 2013 01: +0,1387501200
144.755,1,Jan 01 2014 01: +0,1388538000
134.726,1,Jan 16 2014 01: +0,1389834000
168.222,1,Jan 19 2014 01: +0,1390093200
178.116,1,Mar 31 2014 01: +0,1396224000
95.125,1,Apr 26 2014 01: +0,1398470400
140.28,1,May 15 2014 01: +0,1400112000
145.797,1,Jun 05 2014 01: +0,1401926400
111.929,1,Jun 16 2014 01: +0,1402876800
107.539,1,Jun 17 2014 01: +0,1402963200
156.154,1,Jul 06 2014 01: +0,1404604800
95.125,1,Jul 11 2014 01: +0,1405036800
125.243,1,Jul 16 2014 01: +0,1405468800
108.99,1,Jul 20 2014 01: +0,1405814400
107.532,1,Jul 21 2014 01: +0,1405900800
121.289,1,Jul 28 2014 01: +0,1406505600
164.835,1,Aug 01 2014 01: +0,1406851200
130.893,1,Aug 29 2014 01: +0,1409270400
107.085,2,Sep 06 2014 01: +0,1409961600
115.781,2,Sep 07 2014 01: +0,1410048000
122.636,1,Sep 10 2014 01: +0,1410307200
123.183,1,Sep 16 2014 01: +0,1410825600
122.934,1,Sep 17 2014 01: +0,1410912000
99.108,1,Sep 18 2014 01: +0,1410998400
107.542,1,Sep 22 2014 01: +0,1411344000
109.256,2,Sep 24 2014 01: +0,1411516800
108.205,1,Sep 26 2014 01: +0,1411689600
120.716,1,Sep 28 2014 01: +0,1411862400
125.003,1,Oct 02 2014 01: +0,1412208000
108.226,1,Oct 03 2014 01: +0,1412294400
124.13,1,Oct 06 2014 01: +0,1412553600
123.773,1,Oct 07 2014 01: +0,1412640000
120.241,1,Oct 08 2014 01: +0,1412726400
120.345,1,Oct 27 2014 01: +0,1414371600
105.732,1,Nov 06 2014 01: +0,1415235600
112.876,1,Nov 07 2014 01: +0,1415322000
89.787,1,Nov 16 2014 01: +0,1416099600
80.085,1,Nov 23 2014 01: +0,1416704400
72.436,2,Nov 25 2014 01: +0,1416877200
97.606,1,Nov 26 2014 01: +0,1416963600
86.65,2,Nov 29 2014 01: +0,1417222800
78.578,1,Nov 30 2014 01: +0,1417309200
93.577,1,Dec 01 2014 01: +0,1417395600
88.128,2,Dec 05 2014 01: +0,1417741200
101.172,1,Dec 06 2014 01: +0,1417827600
80.854,1,Dec 10 2014 01: +0,1418173200
87.283,1,Dec 11 2014 01: +0,1418259600
104.637,1,Dec 12 2014 01: +0,1418346000
90.154,1,Dec 17 2014 01: +0,1418778000
83.916,2,Dec 19 2014 01: +0,1418950800
104.85,2,Dec 20 2014 01: +0,1419037200
107.681,1,Dec 22 2014 01: +0,1419210000
92.896,1,Dec 23 2014 01: +0,1419296400
100.735,2,Dec 24 2014 01: +0,1419382800
131.268,2,Dec 28 2014 01: +0,1419728400
110.746,1,Dec 30 2014 01: +0,1419901200
105.117,1,Jan 01 2015 01: +0,1420074000
109.715,2,Jan 02 2015 01: +0,1420160400
107.63,1,Jan 05 2015 01: +0,1420419600
103.098,1,Jan 07 2015 01: +0,1420592400
102.32,1,Jan 12 2015 01: +0,1421024400
88.139,3,Jan 13 2015 01: +0,1421110800
93.163,2,Jan 15 2015 01: +0,1421283600
99.261,1,Jan 18 2015 01: +0,1421542800
87.853,1,Jan 19 2015 01: +0,1421629200
98.443,1,Jan 20 2015 01: +0,1421715600
77.341,2,Jan 24 2015 01: +0,1422061200
98.006,1,Jan 25 2015 01: +0,1422147600
86.462,1,Jan 27 2015 01: +0,1422320400
85.862,1,Jan 29 2015 01: +0,1422493200
95.125,1,Jan 30 2015 01: +0,1422579600
95.774,2,Jan 31 2015 01: +0,1422666000
80.849,1,Feb 01 2015 01: +0,1422752400
87.401,2,Feb 02 2015 01: +0,1422838800
90.102,2,Feb 03 2015 01: +0,1422925200
92.417,1,Feb 05 2015 01: +0,1423098000
88.147,2,Feb 06 2015 01: +0,1423184400
100.094,1,Feb 08 2015 01: +0,1423357200
75.756,1,Feb 11 2015 01: +0,1423616400
92.602,1,Feb 14 2015 01: +0,1423875600
94.253,1,Feb 15 2015 01: +0,1423962000
89.477,2,Feb 16 2015 01: +0,1424048400
95.869,2,Feb 20 2015 01: +0,1424394000
90.203,2,Feb 25 2015 01: +0,1424826000
101.715,2,Feb 26 2015 01: +0,1424912400
99.272,1,Mar 02 2015 01: +0,1425258000
70.996,1,Mar 07 2015 01: +0,1425690000
80.49,3,Mar 09 2015 01: +0,1425862800
82.605,2,Mar 10 2015 01: +0,1425949200
81.13,3,Mar 14 2015 01: +0,1426294800
77.58,1,Mar 15 2015 01: +0,1426381200
75.563,1,Mar 16 2015 01: +0,1426467600
83.055,2,Mar 18 2015 01: +0,1426640400
85.886,4,Mar 19 2015 01: +0,1426726800
85.832,2,Mar 22 2015 01: +0,1426986000
82.635,1,Mar 24 2015 01: +0,1427158800
81.867,2,Mar 25 2015 01: +0,1427245200
85.622,1,Mar 26 2015 01: +0,1427331600
73.552,5,Mar 27 2015 01: +0,1427418000
