price,quantity,date,unix timestamp
195.395,2,Feb 21 2016 01: +0,1456016400
200.576,1,Feb 24 2016 01: +0,1456275600
206.792,1,Feb 27 2016 01: +0,1456534800
234.579,1,Feb 29 2016 01: +0,1456707600
209.225,1,Mar 05 2016 01: +0,1457139600
153.909,1,Mar 09 2016 01: +0,1457485200
158.3,1,Mar 12 2016 01: +0,1457744400
190.239,1,Mar 18 2016 01: +0,1458262800
193.866,1,Mar 21 2016 01: +0,1458522000
247.325,1,Mar 24 2016 01: +0,1458781200
143.321,1,Apr 01 2016 01: +0,1459468800
152.869,3,Apr 05 2016 01: +0,1459814400
166.137,2,Apr 08 2016 01: +0,1460073600
126.689,1,Apr 16 2016 01: +0,1460764800
124.268,1,Apr 22 2016 01: +0,1461283200
176.335,1,Apr 23 2016 01: +0,1461369600
174.715,1,Apr 27 2016 01: +0,1461715200
131.239,1,Apr 29 2016 01: +0,1461888000
177.288,1,Apr 30 2016 01: +0,1461974400
126.227,1,May 04 2016 01: +0,1462320000
132.257,1,May 08 2016 01: +0,1462665600
152.198,1,May 15 2016 01: +0,1463270400
162.146,1,May 17 2016 01: +0,1463443200
182.668,1,May 22 2016 01: +0,1463875200
143.854,1,May 27 2016 01: +0,1464307200
137.925,1,Jun 18 2016 01: +0,1466208000
116.477,1,Jun 19 2016 01: +0,1466294400
114.357,1,Jun 28 2016 01: +0,1467072000
91.477,1,Jul 03 2016 01: +0,1467504000
90.079,1,Jul 08 2016 01: +0,1467936000
88.181,1,Jul 24 2016 01: +0,1469318400
100.509,1,Jul 31 2016 01: +0,1469923200
99.195,1,Aug 17 2016 01: +0,1471392000
97.408,1,Aug 22 2016 01: +0,1471824000
114.15,1,Sep 18 2016 01: +0,1474156800
85.261,1,Sep 25 2016 01: +0,1474761600
111.627,1,Nov 05 2016 01: +0,1478307600
108.004,1,Nov 11 2016 01: +0,1478826000
155.449,1,Nov 25 2016 01: +0,1480035600
173.388,1,Nov 26 2016 01: +0,1480122000
195.081,1,Nov 27 2016 01: +0,1480208400
109.154,1,Dec 03 2016 01: +0,1480726800
61.572,1,Dec 09 2016 01: +0,1481245200
99.413,2,Dec 12 2016 01: +0,1481504400
154.682,1,Jan 08 2017 01: +0,1483837200
66.232,1,Jan 10 2017 01: +0,1484010000
76.141,1,Feb 10 2017 01: +0,1486688400
124.081,1,Feb 11 2017 01: +0,1486774800
132.153,1,Feb 18 2017 01: +0,1487379600
122.595,1,Mar 10 2017 01: +0,1489107600
119.932,1,Mar 23 2017 01: +0,1490230800
78.002,1,Mar 24 2017 01: +0,1490317200
87.254,2,Mar 29 2017 01: +0,1490745600
117.577,1,May 12 2017 01: +0,1494547200
123.24,1,May 26 2017 01: +0,1495756800
157.489,1,Jul 28 2017 01: +0,1501200000
92.526,2,Aug 18 2017 01: +0,1503014400
108.323,1,Aug 30 2017 01: +0,1504051200
100.217,1,Nov 07 2017 01: +0,1510016400
88.703,1,Nov 24 2017 01: +0,1511485200
106.197,1,Dec 26 2017 01: +0,1514250000
104.637,1,Jan 18 2018 01: +0,1516237200
99.858,1,Jan 21 2018 01: +0,1516496400
83.177,1,Apr 15 2018 01: +0,1523750400
118.324,1,May 20 2018 01: +0,1526774400
82.684,1,May 21 2018 01: +0,1526860800
82.535,1,Jul 02 2018 01: +0,1530489600
98.846,1,Aug 06 2018 01: +0,1533513600
85.32,1,Aug 26 2018 01: +0,1535241600
99.26,1,Aug 31 2018 01: +0,1535673600
78.295,1,Sep 21 2018 01: +0,1537488000
74.935,1,Nov 08 2018 01: +0,1541638800
88.615,1,Nov 14 2018 01: +0,1542157200
84.027,1,Nov 15 2018 01: +0,1542243600
119.932,1,Dec 03 2018 01: +0,1543798800
124.076,1,Dec 04 2018 01: +0,1543885200
86.031,1,Dec 12 2018 01: +0,1544576400
115.841,1,Feb 23 2019 01: +0,1550883600
116.174,1,Mar 10 2019 01: +0,1552179600
124.072,1,Mar 14 2019 01: +0,1552525200
117.703,1,Mar 30 2019 01: +0,1553907600
128.689,1,Apr 10 2019 01: +0,1554854400
85.236,1,May 06 2019 01: +0,1557100800
97.274,2,May 15 2019 01: +0,1557878400
103.401,1,May 29 2019 01: +0,1559088000
112.001,1,May 31 2019 01: +0,1559260800
93.524,1,Jun 10 2019 01: +0,1560124800
102.733,1,Jul 03 2019 01: +0,1562112000
127.823,1,Jul 18 2019 01: +0,1563408000
134.995,1,Jul 27 2019 01: +0,1564185600
96.589,1,Aug 05 2019 01: +0,1564963200
116.92,1,Aug 07 2019 01: +0,1565136000
94.33,1,Aug 13 2019 01: +0,1565654400
111.667,1,Aug 18 2019 01: +0,1566086400
95.96,1,Aug 19 2019 01: +0,1566172800
115.73,2,Aug 25 2019 01: +0,1566691200
94.572,1,Aug 27 2019 01: +0,1566864000
117.653,1,Sep 10 2019 01: +0,1568073600
123.932,2,Sep 25 2019 01: +0,1569369600
96.982,1,Sep 26 2019 01: +0,1569456000
114.58,1,Sep 27 2019 01: +0,1569542400
113.948,1,Sep 29 2019 01: +0,1569715200
99.062,1,Oct 01 2019 01: +0,1569888000
127.887,2,Oct 02 2019 01: +0,1569974400
117.889,1,Oct 06 2019 01: +0,1570320000
97.455,1,Oct 08 2019 01: +0,1570492800
116.127,1,Oct 09 2019 01: +0,1570579200
116.845,2,Oct 11 2019 01: +0,1570752000
99.261,1,Oct 13 2019 01: +0,1570924800
108.521,2,Oct 14 2019 01: +0,1571011200
103.802,1,Oct 20 2019 01: +0,1571529600
51.73,2,Oct 31 2019 01: +0,1572483600
132.118,1,Nov 18 2019 01: +0,1574038800
95.985,1,Nov 19 2019 01: +0,1574125200
113.165,2,Nov 21 2019 01: +0,1574298000
132.298,1,Dec 03 2019 01: +0,1575334800
124.15,1,Dec 16 2019 01: +0,1576458000
99.27,1,Dec 20 2019 01: +0,1576803600
123.671,1,Dec 22 2019 01: +0,1576976400
124.15,1,Dec 30 2019 01: +0,1577667600
133.368,1,Jan 05 2020 01: +0,1578186000
104.9,1,Jan 17 2020 01: +0,1579222800
123.286,2,Jan 18 2020 01: +0,1579309200
133.185,2,Jan 19 2020 01: +0,1579395600
121.552,2,Jan 20 2020 01: +0,1579482000
109.106,1,Feb 04 2020 01: +0,1580778000
109.158,1,Feb 05 2020 01: +0,1580864400
116.227,1,Feb 07 2020 01: +0,1581037200
132.155,1,Feb 16 2020 01: +0,1581814800
102.263,1,Mar 07 2020 01: +0,1583542800
113.953,2,Mar 21 2020 01: +0,1584752400
129.223,1,Mar 25 2020 01: +0,1585098000
120.089,1,Apr 05 2020 01: +0,1586044800
104.611,1,Apr 08 2020 01: +0,1586304000
148.338,1,May 19 2020 01: +0,1589846400
215.073,1,Jun 08 2020 01: +0,1591574400
109.741,1,Jun 25 2020 01: +0,1593043200
110.295,1,Jun 26 2020 01: +0,1593129600
134.996,1,Aug 08 2020 01: +0,1596844800
117.919,2,Aug 12 2020 01: +0,1597190400
132.647,1,Aug 16 2020 01: +0,1597536000
143.025,1,Aug 17 2020 01: +0,1597622400
140.908,1,Sep 05 2020 01: +0,1599264000
108.169,1,Sep 06 2020 01: +0,1599350400
138.51,1,Sep 10 2020 01: +0,1599696000
111.726,1,Sep 19 2020 01: +0,1600473600
139.833,1,Sep 20 2020 01: +0,1600560000
119.095,1,Oct 13 2020 01: +0,1602547200
112.817,1,Oct 14 2020 01: +0,1602633600
110.833,1,Oct 31 2020 01: +0,1604106000
112.989,1,Nov 26 2020 01: +0,1606352400
107.539,1,Dec 03 2020 01: +0,1606957200
135.686,1,Dec 07 2020 01: +0,1607302800
126.652,1,Dec 31 2020 01: +0,1609376400
123.662,1,Jan 02 2021 01: +0,1609549200
106.896,1,Jan 03 2021 01: +0,1609635600
145.258,1,Jan 04 2021 01: +0,1609722000
150.082,1,Jan 11 2021 01: +0,1610326800
109.931,1,Jan 12 2021 01: +0,1610413200
177.336,1,Jan 18 2021 01: +0,1610931600
135.762,1,Jan 28 2021 01: +0,1611795600
115.176,1,Feb 04 2021 01: +0,1612400400
110.344,1,Feb 07 2021 01: +0,1612659600
128.235,1,Feb 18 2021 01: +0,1613610000
139.549,1,Mar 02 2021 01: +0,1614646800
144.594,1,Apr 01 2021 01: +0,1617235200
144.437,1,Apr 02 2021 01: +0,1617321600
131.178,1,Apr 03 2021 01: +0,1617408000
113.331,1,Apr 14 2021 01: +0,1618358400
106.366,1,Apr 17 2021 01: +0,1618617600
135.761,1,Apr 19 2021 01: +0,1618790400
137.658,1,Apr 25 2021 01: +0,1619308800
131.953,1,Apr 29 2021 01: +0,1619654400
144.788,1,Apr 30 2021 01: +0,1619740800
149.617,1,May 09 2021 01: +0,1620518400
155.208,1,May 11 2021 01: +0,1620691200
123.805,1,May 19 2021 01: +0,1621382400
121.302,1,May 24 2021 01: +0,1621814400
147.644,2,May 25 2021 01: +0,1621900800
148.899,1,Jun 16 2021 01: +0,1623801600
121.993,1,Jun 26 2021 01: +0,1624665600
164.525,1,Dec 20 2021 01: +0,1639962000
113.976,1,Jan 27 2022 01: +0,1643245200
137.793,1,Feb 28 2022 01: +0,1646010000
136.4,2,Apr 04 2022 01: +0,1649030400
128.417,1,Apr 05 2022 01: +0,1649116800
102.784,1,Jun 14 2022 01: +0,1655164800
82.378,1,Jul 03 2022 01: +0,1656806400
90.996,1,Jul 14 2022 01: +0,1657756800
99.803,2,Jul 22 2022 01: +0,1658448000
115.532,1,Jul 23 2022 01: +0,1658534400
132.811,1,Jul 30 2022 01: +0,1659139200
94.612,1,Aug 30 2022 01: +0,1661817600
138.99,1,Oct 11 2022 01: +0,1665446400
93.471,1,Oct 16 2022 01: +0,1665878400
94.928,1,Oct 20 2022 01: +0,1666224000
97.659,1,Oct 30 2022 01: +0,1667088000
124.081,1,Nov 05 2022 01: +0,1667610000
126.785,1,Nov 06 2022 01: +0,1667696400
105.589,1,Dec 05 2022 01: +0,1670202000
98.664,1,Dec 08 2022 01: +0,1670461200
131.479,1,Jan 14 2023 01: +0,1673658000
137.075,1,Jan 18 2023 01: +0,1674003600
151.211,1,Apr 06 2023 19: +0,1680804000
177.798,1,Apr 14 2023 20: +0,1681498800
140.856,1,Apr 15 2023 04: +0,1681527600
