price,quantity,date,unix timestamp
90.327,1,Sep 23 2021 01: +0,1632355200
152.193,1,Sep 24 2021 01: +0,1632441600
92.991,1,Oct 20 2021 01: +0,1634688000
79.922,1,Oct 24 2021 01: +0,1635033600
91.899,2,Oct 25 2021 01: +0,1635120000
134.292,1,Oct 31 2021 01: +0,1635638400
114.149,1,Nov 10 2021 01: +0,1636506000
113.5,1,Nov 13 2021 01: +0,1636765200
87.432,1,Nov 25 2021 01: +0,1637802000
119.674,1,Nov 26 2021 01: +0,1637888400
85.28,1,Dec 05 2021 01: +0,1638666000
116.491,1,Dec 08 2021 01: +0,1638925200
109.256,2,Dec 24 2021 01: +0,1640307600
123.29,1,Dec 25 2021 01: +0,1640394000
100.827,1,Dec 27 2021 01: +0,1640566800
117.836,2,Dec 29 2021 01: +0,1640739600
96.996,1,Dec 30 2021 01: +0,1640826000
142.836,1,Jan 11 2022 01: +0,1641862800
119.585,1,Jan 15 2022 01: +0,1642208400
111.074,1,Jan 20 2022 01: +0,1642640400
146.501,1,Jan 22 2022 01: +0,1642813200
82.73,1,Jan 27 2022 01: +0,1643245200
142.214,1,Feb 14 2022 01: +0,1644800400
95.642,1,Feb 18 2022 01: +0,1645146000
96.051,1,Feb 19 2022 01: +0,1645232400
144.745,1,Feb 20 2022 01: +0,1645318800
103.471,1,Feb 22 2022 01: +0,1645491600
135.258,1,Feb 23 2022 01: +0,1645578000
121.592,2,Feb 24 2022 01: +0,1645664400
108.442,1,Feb 28 2022 01: +0,1646010000
94.174,1,Mar 03 2022 01: +0,1646269200
122.937,2,Mar 05 2022 01: +0,1646442000
137.187,1,Mar 06 2022 01: +0,1646528400
137.2,1,Mar 07 2022 01: +0,1646614800
110.407,1,Mar 09 2022 01: +0,1646787600
109.194,1,Mar 10 2022 01: +0,1646874000
138.32,1,Mar 11 2022 01: +0,1646960400
137.161,1,Mar 12 2022 01: +0,1647046800
128.055,2,Mar 30 2022 01: +0,1648598400
101.11,1,Mar 31 2022 01: +0,1648684800
112.97,1,Apr 06 2022 01: +0,1649203200
133.814,1,Apr 07 2022 01: +0,1649289600
140.258,2,Apr 08 2022 01: +0,1649376000
132.471,1,Apr 18 2022 01: +0,1650240000
129.924,1,Apr 26 2022 01: +0,1650931200
142.682,1,Apr 27 2022 01: +0,1651017600
119.281,4,May 16 2022 01: +0,1652659200
103.154,1,May 18 2022 01: +0,1652832000
129.254,1,May 19 2022 01: +0,1652918400
132.965,1,May 30 2022 01: +0,1653868800
106.457,1,Jun 10 2022 01: +0,1654819200
105.534,1,Jul 21 2022 01: +0,1658361600
112.479,1,Jul 22 2022 01: +0,1658448000
135.284,1,Jul 25 2022 01: +0,1658707200
119.591,1,Aug 17 2022 01: +0,1660694400
127.491,1,Aug 18 2022 01: +0,1660780800
106.705,1,Aug 19 2022 01: +0,1660867200
101.155,1,Aug 28 2022 01: +0,1661644800
107.517,1,Sep 04 2022 01: +0,1662249600
124.081,1,Sep 13 2022 01: +0,1663027200
99.914,1,Sep 30 2022 01: +0,1664496000
96.292,1,Oct 31 2022 01: +0,1667178000
95.952,1,Nov 05 2022 01: +0,1667610000
130.586,1,Nov 06 2022 01: +0,1667696400
125.918,1,Nov 07 2022 01: +0,1667782800
95.042,1,Nov 12 2022 01: +0,1668214800
102.553,1,Nov 29 2022 01: +0,1669683600
96.073,1,Dec 07 2022 01: +0,1670374800
129.018,1,Dec 18 2022 01: +0,1671325200
96.961,1,Dec 20 2022 01: +0,1671498000
96.434,1,Dec 23 2022 01: +0,1671757200
136.153,1,Dec 27 2022 01: +0,1672102800
97.648,1,Jan 01 2023 01: +0,1672534800
103.38,1,Feb 01 2023 01: +0,1675213200
104.637,1,Feb 04 2023 01: +0,1675472400
125.004,1,Feb 10 2023 01: +0,1675990800
142.571,1,Feb 19 2023 17: +0,1676826000
150.453,1,Feb 28 2023 21: +0,1677618000
153.628,1,Mar 05 2023 19: +0,1678042800
128.788,1,Mar 16 2023 02: +0,1678932000
181.279,1,Mar 17 2023 22: +0,1679090400
131.742,1,Mar 22 2023 19: +0,1679511600
172.438,1,Mar 24 2023 15: +0,1679670000
179.455,1,Mar 27 2023 15: +0,1679925600
185.173,1,Mar 28 2023 01: +0,1679961600
136.011,1,Mar 31 2023 09: +0,1680249600
186.495,1,Mar 31 2023 12: +0,1680260400
201.981,1,Apr 09 2023 22: +0,1681074000
287.977,1,Apr 13 2023 14: +0,1681390800
263.984,1,Apr 25 2023 01: +0,1682380800
259.042,1,May 16 2023 23: +0,1684274400
145.699,1,May 24 2023 09: +0,1684915200
172.834,1,May 26 2023 13: +0,1685102400
211.101,1,May 30 2023 18: +0,1685466000
171.707,1,Jun 08 2023 15: +0,1686232800
193.534,1,Jun 23 2023 01: +0,1687478400
145.541,1,Jul 04 2023 17: +0,1688486400
126.034,1,Jul 10 2023 17: +0,1689004800
169.526,1,Jul 14 2023 15: +0,1689343200
150.923,1,Jul 16 2023 19: +0,1689530400
172.822,1,Jul 25 2023 12: +0,1690282800
141.693,1,Jul 27 2023 21: +0,1690488000
141.353,1,Jul 27 2023 23: +0,1690495200
175.426,1,Aug 08 2023 13: +0,1691496000
136.886,1,Aug 09 2023 16: +0,1691593200
182.477,1,Aug 11 2023 14: +0,1691758800
181.601,1,Aug 12 2023 09: +0,1691827200
142.067,1,Aug 14 2023 12: +0,1692010800
182.768,1,Aug 14 2023 20: +0,1692039600
124.794,1,Aug 27 2023 06: +0,1693112400
161.65,1,Sep 02 2023 19: +0,1693677600
172.604,1,Sep 02 2023 21: +0,1693684800
179.857,1,Sep 02 2023 22: +0,1693688400
177.833,1,Sep 03 2023 11: +0,1693735200
155.808,1,Sep 08 2023 00: +0,1694127600
154.089,1,Sep 14 2023 07: +0,1694671200
190.186,1,Sep 15 2023 04: +0,1694746800
161.099,1,Sep 21 2023 16: +0,1695308400
201.729,1,Sep 23 2023 01: +0,1695427200
193.501,1,Sep 29 2023 12: +0,1695985200
193.581,1,Oct 03 2023 08: +0,1696316400
197.367,1,Oct 06 2023 04: +0,1696561200
201.838,1,Oct 06 2023 13: +0,1696593600
168.473,1,Oct 06 2023 15: +0,1696600800
197.375,1,Oct 13 2023 10: +0,1697187600
229.199,1,Oct 14 2023 08: +0,1697266800
186.224,1,Oct 16 2023 03: +0,1697421600
163.058,1,Oct 16 2023 23: +0,1697493600
173.62,1,Oct 27 2023 10: +0,1698397200
194.854,1,Nov 01 2023 19: +0,1698865200
166.928,1,Nov 04 2023 02: +0,1699063200
155.032,1,Nov 05 2023 15: +0,1699196400
206.829,1,Nov 06 2023 02: +0,1699236000
166.062,1,Nov 08 2023 11: +0,1699441200
147.105,1,Nov 10 2023 01: +0,1699578000
184.502,1,Nov 14 2023 15: +0,1699974000
199.344,1,Nov 21 2023 20: +0,1700596800
196.289,1,Nov 22 2023 19: +0,1700679600
199.189,1,Nov 26 2023 00: +0,1700956800
173.533,1,Dec 04 2023 16: +0,1701705600
140.456,1,Dec 05 2023 18: +0,1701799200
153.733,1,Dec 25 2023 00: +0,1703462400
170.272,1,Dec 25 2023 21: +0,1703538000
148.24,1,Jan 01 2024 15: +0,1704121200
142.552,1,Jan 15 2024 07: +0,1705302000
130.575,1,Jan 19 2024 09: +0,1705654800
157.44,1,Jan 20 2024 15: +0,1705762800
140.079,1,Feb 17 2024 09: +0,1708160400
156.986,1,Feb 20 2024 10: +0,1708423200
189.347,1,Feb 22 2024 03: +0,1708570800
143.546,1,Feb 27 2024 18: +0,1709056800
131.289,1,Mar 03 2024 17: +0,1709485200
153.603,1,Mar 03 2024 19: +0,1709492400
163.821,1,Mar 08 2024 18: +0,1709920800
172.289,1,Mar 09 2024 20: +0,1710014400
135.937,1,Mar 12 2024 07: +0,1710226800
171.527,1,Mar 16 2024 10: +0,1710583200
98.63,1,Mar 17 2024 21: +0,1710709200
