price,quantity,date,unix timestamp
67.549,2,Sep 24 2021 01: +0,1632441600
86.239,1,Sep 26 2021 01: +0,1632614400
64.743,1,Sep 30 2021 01: +0,1632960000
75.536,2,Oct 01 2021 01: +0,1633046400
75.643,2,Oct 02 2021 01: +0,1633132800
70.316,1,Oct 04 2021 01: +0,1633305600
68.444,1,Oct 06 2021 01: +0,1633478400
86.255,2,Oct 07 2021 01: +0,1633564800
94.931,1,Oct 08 2021 01: +0,1633651200
78.244,1,Oct 11 2021 01: +0,1633910400
98.625,1,Oct 12 2021 01: +0,1633996800
76.46,1,Oct 13 2021 01: +0,1634083200
63.747,1,Oct 14 2021 01: +0,1634169600
82.636,1,Oct 15 2021 01: +0,1634256000
93.439,2,Oct 19 2021 01: +0,1634601600
82.513,2,Oct 24 2021 01: +0,1635033600
82.227,2,Oct 25 2021 01: +0,1635120000
70.619,1,Oct 26 2021 01: +0,1635206400
80.604,4,Nov 02 2021 01: +0,1635814800
93.049,1,Nov 03 2021 01: +0,1635901200
92.185,1,Nov 04 2021 01: +0,1635987600
83.139,2,Nov 06 2021 01: +0,1636160400
77.765,1,Nov 07 2021 01: +0,1636246800
82.66,1,Nov 08 2021 01: +0,1636333200
91.237,1,Nov 09 2021 01: +0,1636419600
71.794,2,Nov 10 2021 01: +0,1636506000
89.284,1,Nov 11 2021 01: +0,1636592400
90.771,1,Nov 12 2021 01: +0,1636678800
72.104,1,Nov 16 2021 01: +0,1637024400
71.24,1,Nov 18 2021 01: +0,1637197200
83.858,2,Nov 19 2021 01: +0,1637283600
82.748,2,Nov 22 2021 01: +0,1637542800
94.265,1,Nov 24 2021 01: +0,1637715600
64.778,1,Nov 26 2021 01: +0,1637888400
45.767,1,Nov 27 2021 01: +0,1637974800
92.18,1,Nov 28 2021 01: +0,1638061200
90.701,1,Nov 29 2021 01: +0,1638147600
89.128,1,Dec 02 2021 01: +0,1638406800
91.74,1,Dec 05 2021 01: +0,1638666000
91.776,1,Dec 06 2021 01: +0,1638752400
103.502,1,Dec 07 2021 01: +0,1638838800
77.559,2,Dec 10 2021 01: +0,1639098000
96.672,2,Dec 11 2021 01: +0,1639184400
95.127,1,Dec 12 2021 01: +0,1639270800
82.277,2,Dec 13 2021 01: +0,1639357200
91.299,3,Dec 16 2021 01: +0,1639616400
75.377,2,Dec 18 2021 01: +0,1639789200
75.254,1,Dec 19 2021 01: +0,1639875600
75.7,1,Dec 21 2021 01: +0,1640048400
90.479,2,Dec 23 2021 01: +0,1640221200
92.668,1,Dec 24 2021 01: +0,1640307600
93.153,1,Dec 25 2021 01: +0,1640394000
96.67,1,Dec 27 2021 01: +0,1640566800
12.915,1,Dec 28 2021 01: +0,1640653200
98.68,1,Dec 29 2021 01: +0,1640739600
99.261,1,Jan 02 2022 01: +0,1641085200
82.262,1,Jan 12 2022 01: +0,1641949200
82.044,1,Jan 17 2022 01: +0,1642381200
103.215,1,Jan 18 2022 01: +0,1642467600
113.515,1,Jan 19 2022 01: +0,1642554000
81.677,1,Jan 21 2022 01: +0,1642726800
83.574,1,Jan 23 2022 01: +0,1642899600
75.141,1,Jan 24 2022 01: +0,1642986000
95.09,2,Jan 27 2022 01: +0,1643245200
77.789,1,Jan 29 2022 01: +0,1643418000
94.009,1,Jan 30 2022 01: +0,1643504400
79.892,1,Feb 02 2022 01: +0,1643763600
78.08,1,Feb 03 2022 01: +0,1643850000
97.638,1,Feb 04 2022 01: +0,1643936400
98.187,1,Feb 05 2022 01: +0,1644022800
77.556,1,Feb 07 2022 01: +0,1644195600
87.26,1,Feb 08 2022 01: +0,1644282000
89.986,1,Feb 09 2022 01: +0,1644368400
98.035,3,Feb 10 2022 01: +0,1644454800
93.859,1,Feb 15 2022 01: +0,1644886800
76.315,1,Feb 16 2022 01: +0,1644973200
88.084,2,Feb 18 2022 01: +0,1645146000
79.185,1,Feb 19 2022 01: +0,1645232400
92.727,2,Feb 23 2022 01: +0,1645578000
96.783,1,Feb 24 2022 01: +0,1645664400
93.496,1,Feb 25 2022 01: +0,1645750800
81.947,2,Mar 02 2022 01: +0,1646182800
89.894,3,Mar 03 2022 01: +0,1646269200
90.751,1,Mar 04 2022 01: +0,1646355600
93.722,2,Mar 06 2022 01: +0,1646528400
83.193,1,Mar 10 2022 01: +0,1646874000
107.317,1,Mar 11 2022 01: +0,1646960400
84.017,1,Mar 13 2022 01: +0,1647133200
102.604,2,Mar 15 2022 01: +0,1647306000
64.621,3,Mar 19 2022 01: +0,1647651600
126.51,1,Mar 21 2022 01: +0,1647824400
93.072,1,Mar 22 2022 01: +0,1647910800
113.392,1,Mar 29 2022 01: +0,1648512000
94.852,1,Apr 01 2022 01: +0,1648771200
87.411,1,Apr 03 2022 01: +0,1648944000
111.983,2,Apr 08 2022 01: +0,1649376000
112.582,1,Apr 09 2022 01: +0,1649462400
124.566,1,Apr 10 2022 01: +0,1649548800
119.56,1,Apr 13 2022 01: +0,1649808000
95.822,1,Apr 14 2022 01: +0,1649894400
120.245,1,Apr 17 2022 01: +0,1650153600
90.154,1,Apr 23 2022 01: +0,1650672000
99.78,1,Apr 25 2022 01: +0,1650844800
113.746,1,Apr 27 2022 01: +0,1651017600
107.06,1,Apr 30 2022 01: +0,1651276800
81.392,1,May 02 2022 01: +0,1651449600
80.63,1,May 04 2022 01: +0,1651622400
103.806,1,May 07 2022 01: +0,1651881600
78.581,1,May 10 2022 01: +0,1652140800
101.756,1,May 11 2022 01: +0,1652227200
100.23,2,May 13 2022 01: +0,1652400000
101.787,1,May 15 2022 01: +0,1652572800
98.519,1,May 16 2022 01: +0,1652659200
102.679,1,May 17 2022 01: +0,1652745600
106.405,1,May 20 2022 01: +0,1653004800
100.907,1,May 23 2022 01: +0,1653264000
89.773,1,May 25 2022 01: +0,1653436800
89.682,1,May 26 2022 01: +0,1653523200
93.014,2,May 27 2022 01: +0,1653609600
106.376,1,May 29 2022 01: +0,1653782400
84.257,1,May 31 2022 01: +0,1653955200
106.721,1,Jun 02 2022 01: +0,1654128000
103.388,2,Jun 03 2022 01: +0,1654214400
95.125,1,Jun 09 2022 01: +0,1654732800
94.474,1,Jun 14 2022 01: +0,1655164800
94.105,1,Jun 16 2022 01: +0,1655337600
98.484,2,Jun 17 2022 01: +0,1655424000
83.239,1,Jun 18 2022 01: +0,1655510400
101.271,1,Jun 19 2022 01: +0,1655596800
82.051,1,Jun 21 2022 01: +0,1655769600
89.082,2,Jun 23 2022 01: +0,1655942400
92.759,1,Jun 24 2022 01: +0,1656028800
69.327,1,Jun 25 2022 01: +0,1656115200
78.351,2,Jun 26 2022 01: +0,1656201600
85.385,1,Jun 27 2022 01: +0,1656288000
85.809,2,Jun 28 2022 01: +0,1656374400
78.052,1,Jul 01 2022 01: +0,1656633600
81.102,1,Jul 03 2022 01: +0,1656806400
90.814,1,Jul 04 2022 01: +0,1656892800
84.14,3,Jul 07 2022 01: +0,1657152000
101.451,2,Jul 08 2022 01: +0,1657238400
79.136,1,Jul 09 2022 01: +0,1657324800
79.106,1,Jul 14 2022 01: +0,1657756800
85.766,4,Jul 21 2022 01: +0,1658361600
88.091,4,Jul 22 2022 01: +0,1658448000
76.547,1,Jul 23 2022 01: +0,1658534400
78.598,1,Jul 24 2022 01: +0,1658620800
82.726,1,Jul 26 2022 01: +0,1658793600
90.403,1,Jul 28 2022 01: +0,1658966400
108.649,1,Aug 01 2022 01: +0,1659312000
88.756,1,Aug 03 2022 01: +0,1659484800
109.516,1,Aug 05 2022 01: +0,1659657600
109.527,1,Aug 06 2022 01: +0,1659744000
102.355,1,Aug 08 2022 01: +0,1659916800
99.541,1,Aug 13 2022 01: +0,1660348800
89.045,1,Aug 17 2022 01: +0,1660694400
92.088,2,Aug 23 2022 01: +0,1661212800
104.491,2,Aug 25 2022 01: +0,1661385600
80.583,1,Aug 28 2022 01: +0,1661644800
86.351,1,Aug 30 2022 01: +0,1661817600
100.485,1,Aug 31 2022 01: +0,1661904000
88.317,1,Sep 04 2022 01: +0,1662249600
88.16,1,Sep 05 2022 01: +0,1662336000
97.608,1,Sep 07 2022 01: +0,1662508800
98.792,1,Sep 08 2022 01: +0,1662595200
98.527,1,Sep 09 2022 01: +0,1662681600
101.885,1,Sep 18 2022 01: +0,1663459200
93.959,1,Sep 19 2022 01: +0,1663545600
73.602,1,Sep 21 2022 01: +0,1663718400
89.147,2,Sep 23 2022 01: +0,1663891200
92.735,1,Sep 28 2022 01: +0,1664323200
79.83,1,Sep 30 2022 01: +0,1664496000
92.737,1,Oct 01 2022 01: +0,1664582400
100.482,1,Oct 02 2022 01: +0,1664668800
82.568,1,Oct 04 2022 01: +0,1664841600
83.947,1,Oct 09 2022 01: +0,1665273600
83.797,1,Oct 10 2022 01: +0,1665360000
100.822,1,Oct 12 2022 01: +0,1665532800
94.621,1,Oct 13 2022 01: +0,1665619200
90.125,3,Oct 15 2022 01: +0,1665792000
95.119,1,Oct 17 2022 01: +0,1665964800
93.023,1,Oct 19 2022 01: +0,1666137600
113.199,1,Oct 20 2022 01: +0,1666224000
80.74,1,Oct 21 2022 01: +0,1666310400
99.059,1,Oct 23 2022 01: +0,1666483200
86.895,1,Oct 26 2022 01: +0,1666742400
102.728,1,Oct 27 2022 01: +0,1666828800
93.261,2,Oct 28 2022 01: +0,1666915200
84.612,1,Nov 01 2022 01: +0,1667264400
79.382,1,Nov 03 2022 01: +0,1667437200
79.119,1,Nov 04 2022 01: +0,1667523600
103.981,1,Nov 05 2022 01: +0,1667610000
84.256,1,Nov 08 2022 01: +0,1667869200
84.468,1,Nov 09 2022 01: +0,1667955600
101.917,1,Nov 10 2022 01: +0,1668042000
67.843,1,Nov 11 2022 01: +0,1668128400
101.49,1,Nov 14 2022 01: +0,1668387600
86.737,1,Nov 18 2022 01: +0,1668733200
86.425,1,Nov 19 2022 01: +0,1668819600
100.067,1,Nov 21 2022 01: +0,1668992400
98.916,1,Nov 25 2022 01: +0,1669338000
90.298,1,Nov 26 2022 01: +0,1669424400
100.584,1,Nov 27 2022 01: +0,1669510800
82.451,1,Dec 02 2022 01: +0,1669942800
101.319,1,Dec 04 2022 01: +0,1670115600
101.172,1,Dec 15 2022 01: +0,1671066000
84.414,1,Dec 17 2022 01: +0,1671238800
97.233,1,Dec 18 2022 01: +0,1671325200
89.967,2,Dec 20 2022 01: +0,1671498000
106.316,2,Dec 21 2022 01: +0,1671584400
91.311,2,Dec 22 2022 01: +0,1671670800
78.697,1,Dec 23 2022 01: +0,1671757200
114.987,1,Dec 29 2022 01: +0,1672275600
89.683,1,Jan 14 2023 01: +0,1673658000
120.676,1,Jan 16 2023 01: +0,1673830800
119.924,1,Jan 17 2023 01: +0,1673917200
91.32,1,Jan 18 2023 01: +0,1674003600
103.879,1,Jan 20 2023 01: +0,1674176400
116.585,1,Jan 28 2023 01: +0,1674867600
94.871,1,Jan 30 2023 01: +0,1675040400
103.763,1,Feb 03 2023 01: +0,1675386000
98.897,2,Feb 10 2023 01: +0,1675990800
108.078,1,Feb 11 2023 01: +0,1676077200
103.531,1,Feb 15 2023 16: +0,1676476800
113.71,1,Feb 16 2023 04: +0,1676520000
92.056,1,Feb 16 2023 14: +0,1676556000
108.845,1,Feb 16 2023 15: +0,1676559600
106.646,1,Feb 19 2023 08: +0,1676793600
95.737,1,Feb 20 2023 18: +0,1676916000
112.48,1,Feb 21 2023 23: +0,1677020400
95.125,1,Feb 22 2023 12: +0,1677067200
95.139,1,Feb 23 2023 12: +0,1677153600
