price,quantity,date,unix timestamp
154.59,2,May 27 2015 01: +0,1432684800
327.538,2,May 28 2015 01: +0,1432771200
330.869,1,May 29 2015 01: +0,1432857600
317.749,2,Jun 01 2015 01: +0,1433116800
304.896,1,Jun 03 2015 01: +0,1433289600
320.64,1,Jun 04 2015 01: +0,1433376000
330.869,1,Jun 08 2015 01: +0,1433721600
301.099,1,Jun 11 2015 01: +0,1433980800
252.159,3,Jun 13 2015 01: +0,1434153600
301.486,1,Jun 15 2015 01: +0,1434326400
223.339,1,Jun 18 2015 01: +0,1434585600
285.375,1,Jun 19 2015 01: +0,1434672000
337.148,1,Jun 21 2015 01: +0,1434844800
337.147,1,Jun 22 2015 01: +0,1434931200
254.915,1,Jun 26 2015 01: +0,1435276800
198.519,3,Jun 27 2015 01: +0,1435363200
243.637,2,Jun 28 2015 01: +0,1435449600
212.284,2,Jun 29 2015 01: +0,1435536000
241.071,2,Jun 30 2015 01: +0,1435622400
248.794,3,Jul 02 2015 01: +0,1435795200
248.159,1,Jul 04 2015 01: +0,1435968000
177.334,1,Jul 06 2015 01: +0,1436140800
261.999,1,Jul 07 2015 01: +0,1436227200
259.07,1,Jul 08 2015 01: +0,1436313600
259.357,2,Jul 11 2015 01: +0,1436572800
248.796,1,Jul 14 2015 01: +0,1436832000
245.677,1,Jul 15 2015 01: +0,1436918400
253.566,2,Jul 16 2015 01: +0,1437004800
205.139,1,Jul 18 2015 01: +0,1437177600
200.382,1,Jul 27 2015 01: +0,1437955200
196.81,1,Jul 29 2015 01: +0,1438128000
216.719,2,Jul 30 2015 01: +0,1438214400
232.47,2,Aug 01 2015 01: +0,1438387200
236.575,1,Aug 02 2015 01: +0,1438473600
229.904,2,Aug 04 2015 01: +0,1438646400
198.212,2,Aug 06 2015 01: +0,1438819200
229.153,1,Aug 08 2015 01: +0,1438992000
176.384,1,Aug 09 2015 01: +0,1439078400
204.44,2,Aug 10 2015 01: +0,1439164800
205.667,1,Aug 11 2015 01: +0,1439251200
185.177,2,Aug 13 2015 01: +0,1439424000
207.533,1,Aug 14 2015 01: +0,1439510400
211.037,1,Aug 15 2015 01: +0,1439596800
179.877,2,Aug 16 2015 01: +0,1439683200
166.691,1,Aug 18 2015 01: +0,1439856000
186.842,1,Aug 19 2015 01: +0,1439942400
175.526,5,Aug 21 2015 01: +0,1440115200
176.895,2,Aug 25 2015 01: +0,1440460800
181.138,2,Aug 26 2015 01: +0,1440547200
177.36,2,Aug 27 2015 01: +0,1440633600
181.962,2,Aug 28 2015 01: +0,1440720000
182.66,2,Aug 29 2015 01: +0,1440806400
232.097,1,Aug 30 2015 01: +0,1440892800
142.732,1,Sep 01 2015 01: +0,1441065600
170.723,2,Sep 02 2015 01: +0,1441152000
169.666,1,Sep 03 2015 01: +0,1441238400
173.71,1,Sep 04 2015 01: +0,1441324800
183.28,4,Sep 05 2015 01: +0,1441411200
189.882,2,Sep 06 2015 01: +0,1441497600
205.345,2,Sep 07 2015 01: +0,1441584000
231.172,2,Sep 10 2015 01: +0,1441843200
188.175,2,Sep 12 2015 01: +0,1442016000
187.804,3,Sep 15 2015 01: +0,1442275200
205.137,2,Sep 16 2015 01: +0,1442361600
2.068,1,Sep 18 2015 01: +0,1442534400
168.698,1,Sep 19 2015 01: +0,1442620800
179.072,1,Sep 20 2015 01: +0,1442707200
174.889,1,Sep 22 2015 01: +0,1442880000
170.298,1,Sep 23 2015 01: +0,1442966400
162.947,1,Sep 24 2015 01: +0,1443052800
164.419,4,Sep 25 2015 01: +0,1443139200
184.672,1,Sep 27 2015 01: +0,1443312000
165.486,1,Sep 28 2015 01: +0,1443398400
166.182,3,Sep 29 2015 01: +0,1443484800
178.454,1,Sep 30 2015 01: +0,1443571200
178.513,1,Oct 01 2015 01: +0,1443657600
174.955,1,Oct 02 2015 01: +0,1443744000
167.795,2,Oct 03 2015 01: +0,1443830400
213.713,2,Oct 04 2015 01: +0,1443916800
163.202,1,Oct 05 2015 01: +0,1444003200
139.023,1,Oct 06 2015 01: +0,1444089600
149.5,3,Oct 08 2015 01: +0,1444262400
156.009,3,Oct 09 2015 01: +0,1444348800
150.437,3,Oct 13 2015 01: +0,1444694400
155.837,2,Oct 14 2015 01: +0,1444780800
177.387,2,Oct 15 2015 01: +0,1444867200
165.295,1,Oct 16 2015 01: +0,1444953600
154.877,1,Oct 17 2015 01: +0,1445040000
152.688,3,Oct 19 2015 01: +0,1445212800
157.874,2,Oct 20 2015 01: +0,1445299200
169.807,1,Oct 22 2015 01: +0,1445472000
126.879,1,Oct 23 2015 01: +0,1445558400
170.203,1,Oct 24 2015 01: +0,1445644800
136.818,1,Oct 27 2015 01: +0,1445907600
151.659,2,Oct 29 2015 01: +0,1446080400
149.493,2,Oct 30 2015 01: +0,1446166800
150.554,1,Oct 31 2015 01: +0,1446253200
153.598,2,Nov 01 2015 01: +0,1446339600
159.313,2,Nov 02 2015 01: +0,1446426000
163.514,2,Nov 03 2015 01: +0,1446512400
161.63,1,Nov 05 2015 01: +0,1446685200
156.943,4,Nov 06 2015 01: +0,1446771600
168.539,1,Nov 07 2015 01: +0,1446858000
174.547,2,Nov 09 2015 01: +0,1447030800
157.163,1,Nov 10 2015 01: +0,1447117200
146.488,2,Nov 12 2015 01: +0,1447290000
137.274,1,Nov 13 2015 01: +0,1447376400
146.565,3,Nov 14 2015 01: +0,1447462800
148.074,1,Nov 15 2015 01: +0,1447549200
140.934,2,Nov 16 2015 01: +0,1447635600
141.711,1,Nov 17 2015 01: +0,1447722000
149.494,1,Nov 19 2015 01: +0,1447894800
141.929,3,Nov 20 2015 01: +0,1447981200
151.69,3,Nov 21 2015 01: +0,1448067600
152.608,1,Nov 22 2015 01: +0,1448154000
151.218,1,Nov 23 2015 01: +0,1448240400
155.638,2,Nov 24 2015 01: +0,1448326800
141.248,2,Nov 26 2015 01: +0,1448499600
145.133,1,Nov 27 2015 01: +0,1448586000
152.625,2,Nov 28 2015 01: +0,1448672400
141.965,3,Nov 29 2015 01: +0,1448758800
134.254,1,Dec 01 2015 01: +0,1448931600
129.368,3,Dec 02 2015 01: +0,1449018000
135.764,1,Dec 03 2015 01: +0,1449104400
140.998,1,Dec 04 2015 01: +0,1449190800
142.155,3,Dec 06 2015 01: +0,1449363600
159.903,1,Dec 07 2015 01: +0,1449450000
158.246,1,Dec 08 2015 01: +0,1449536400
116.969,2,Dec 11 2015 01: +0,1449795600
135.025,2,Dec 12 2015 01: +0,1449882000
136.877,1,Dec 13 2015 01: +0,1449968400
131.633,2,Dec 14 2015 01: +0,1450054800
144.341,2,Dec 15 2015 01: +0,1450141200
143.475,3,Dec 16 2015 01: +0,1450227600
137.22,2,Dec 22 2015 01: +0,1450746000
147.286,2,Dec 23 2015 01: +0,1450832400
134.859,1,Dec 24 2015 01: +0,1450918800
103.951,1,Dec 25 2015 01: +0,1451005200
147.444,2,Dec 26 2015 01: +0,1451091600
143.226,3,Dec 27 2015 01: +0,1451178000
146.924,4,Dec 28 2015 01: +0,1451264400
136.087,1,Dec 29 2015 01: +0,1451350800
154.717,4,Dec 30 2015 01: +0,1451437200
155.376,1,Dec 31 2015 01: +0,1451523600
161.322,1,Jan 01 2016 01: +0,1451610000
169.075,3,Jan 02 2016 01: +0,1451696400
165.389,3,Jan 03 2016 01: +0,1451782800
138.527,1,Jan 05 2016 01: +0,1451955600
143.097,2,Jan 06 2016 01: +0,1452042000
147.919,2,Jan 09 2016 01: +0,1452301200
151.352,1,Jan 10 2016 01: +0,1452387600
148.304,1,Jan 11 2016 01: +0,1452474000
147.914,1,Jan 12 2016 01: +0,1452560400
144.25,1,Jan 13 2016 01: +0,1452646800
133.57,2,Jan 14 2016 01: +0,1452733200
134.704,2,Jan 15 2016 01: +0,1452819600
146.534,1,Jan 17 2016 01: +0,1452992400
145.827,1,Jan 18 2016 01: +0,1453078800
148.89,2,Jan 19 2016 01: +0,1453165200
149.293,2,Jan 21 2016 01: +0,1453338000
161.15,1,Jan 22 2016 01: +0,1453424400
149.536,1,Jan 25 2016 01: +0,1453683600
117.295,1,Jan 26 2016 01: +0,1453770000
73.749,3,Jan 29 2016 01: +0,1454029200
150.701,3,Jan 30 2016 01: +0,1454115600
160.699,1,Jan 31 2016 01: +0,1454202000
129.891,1,Feb 02 2016 01: +0,1454374800
134.541,2,Feb 03 2016 01: +0,1454461200
93.78,1,Feb 04 2016 01: +0,1454547600
144.179,1,Feb 05 2016 01: +0,1454634000
153.703,3,Feb 06 2016 01: +0,1454720400
150.579,1,Feb 07 2016 01: +0,1454806800
133.315,1,Feb 08 2016 01: +0,1454893200
145.314,1,Feb 09 2016 01: +0,1454979600
121.48,3,Feb 10 2016 01: +0,1455066000
121.805,1,Feb 12 2016 01: +0,1455238800
121.115,3,Feb 13 2016 01: +0,1455325200
121.256,2,Feb 14 2016 01: +0,1455411600
127.484,2,Feb 15 2016 01: +0,1455498000
151.394,2,Feb 16 2016 01: +0,1455584400
157.982,1,Feb 19 2016 01: +0,1455843600
109.394,1,Feb 21 2016 01: +0,1456016400
153.876,1,Feb 22 2016 01: +0,1456102800
119.372,3,Feb 23 2016 01: +0,1456189200
144.755,1,Feb 24 2016 01: +0,1456275600
148.051,2,Feb 25 2016 01: +0,1456362000
138.524,3,Feb 26 2016 01: +0,1456448400
132.804,2,Feb 27 2016 01: +0,1456534800
145.026,1,Feb 28 2016 01: +0,1456621200
145.061,1,Feb 29 2016 01: +0,1456707600
130.664,3,Mar 01 2016 01: +0,1456794000
156.108,2,Mar 02 2016 01: +0,1456880400
162.322,1,Mar 04 2016 01: +0,1457053200
138.2,3,Mar 08 2016 01: +0,1457398800
71.341,1,Mar 09 2016 01: +0,1457485200
154.168,1,Mar 10 2016 01: +0,1457571600
147.088,1,Mar 12 2016 01: +0,1457744400
110.307,1,Mar 13 2016 01: +0,1457830800
124.068,1,Mar 16 2016 01: +0,1458090000
132.341,1,Mar 17 2016 01: +0,1458176400
123.749,2,Mar 19 2016 01: +0,1458349200
141.085,2,Mar 21 2016 01: +0,1458522000
123.319,2,Mar 22 2016 01: +0,1458608400
153.018,2,Mar 23 2016 01: +0,1458694800
156.395,2,Mar 24 2016 01: +0,1458781200
165.441,1,Mar 26 2016 01: +0,1458954000
166.804,2,Mar 27 2016 01: +0,1459040400
155.518,1,Mar 29 2016 01: +0,1459209600
162.007,1,Mar 30 2016 01: +0,1459296000
172.052,1,Mar 31 2016 01: +0,1459382400
159.09,1,Apr 01 2016 01: +0,1459468800
131.161,2,Apr 04 2016 01: +0,1459728000
