price,quantity,date,unix timestamp
82.635,1,Sep 10 2013 01: +0,1378771200
166.469,1,Oct 13 2013 01: +0,1381622400
166.469,1,Nov 07 2013 01: +0,1383786000
165.762,1,Dec 04 2013 01: +0,1386118800
142.687,1,Dec 26 2013 01: +0,1388019600
169.777,1,Dec 28 2013 01: +0,1388192400
195.403,1,Jan 03 2014 01: +0,1388710800
57.075,1,Feb 21 2014 01: +0,1392944400
266.35,1,Feb 27 2014 01: +0,1393462800
142.687,1,Mar 01 2014 01: +0,1393635600
229.929,1,Mar 20 2014 01: +0,1395277200
148.085,1,Mar 25 2014 01: +0,1395709200
172.69,1,May 06 2014 01: +0,1399334400
138.179,1,May 09 2014 01: +0,1399593600
175.286,1,May 10 2014 01: +0,1399680000
156.366,1,May 15 2014 01: +0,1400112000
148.064,1,May 20 2014 01: +0,1400544000
135.51,1,May 22 2014 01: +0,1400716800
130.245,2,Jun 06 2014 01: +0,1402012800
142.687,1,Jun 07 2014 01: +0,1402099200
151.111,1,Jun 11 2014 01: +0,1402444800
111.463,1,Jun 13 2014 01: +0,1402617600
140.616,1,Jun 14 2014 01: +0,1402704000
128.718,1,Jun 16 2014 01: +0,1402876800
127.691,1,Jun 17 2014 01: +0,1402963200
124.061,1,Jun 21 2014 01: +0,1403308800
103.521,1,Jun 25 2014 01: +0,1403654400
129.87,1,Jul 16 2014 01: +0,1405468800
104.637,1,Jul 20 2014 01: +0,1405814400
112.677,1,Jul 24 2014 01: +0,1406160000
132.632,1,Jul 31 2014 01: +0,1406764800
157.477,1,Aug 06 2014 01: +0,1407283200
91.038,1,Aug 11 2014 01: +0,1407715200
151.284,1,Aug 21 2014 01: +0,1408579200
142.674,1,Aug 22 2014 01: +0,1408665600
140.623,1,Aug 25 2014 01: +0,1408924800
175.269,1,Aug 30 2014 01: +0,1409356800
163.582,1,Sep 01 2014 01: +0,1409529600
159.793,2,Sep 02 2014 01: +0,1409616000
155.054,1,Sep 04 2014 01: +0,1409788800
140.826,1,Sep 12 2014 01: +0,1410480000
144.753,2,Sep 19 2014 01: +0,1411084800
171.225,1,Sep 21 2014 01: +0,1411257600
