price,quantity,date,unix timestamp
109.981,1,Dec 03 2013 01: +0,1386032400
117.773,1,Dec 12 2013 01: +0,1386810000
132.354,1,Dec 14 2013 01: +0,1386982800
79.154,1,Dec 20 2013 01: +0,1387501200
123.944,1,Dec 21 2013 01: +0,1387587600
23.781,1,Dec 28 2013 01: +0,1388192400
80.47,1,Jan 02 2014 01: +0,1388624400
124.233,1,Jan 07 2014 01: +0,1389056400
78.786,2,Jan 12 2014 01: +0,1389488400
117.588,1,Jan 13 2014 01: +0,1389574800
107.235,1,Jan 15 2014 01: +0,1389747600
103.628,1,Jan 17 2014 01: +0,1389920400
103.165,1,Jan 21 2014 01: +0,1390266000
103.596,1,Jan 22 2014 01: +0,1390352400
82.717,1,Jan 23 2014 01: +0,1390438800
79.061,1,Feb 05 2014 01: +0,1391562000
81.079,1,Mar 15 2014 01: +0,1394845200
103.461,1,Mar 19 2014 01: +0,1395190800
102.692,1,Mar 21 2014 01: +0,1395363600
85.149,1,Mar 27 2014 01: +0,1395882000
104.654,1,Mar 28 2014 01: +0,1395968400
82.676,1,Mar 29 2014 01: +0,1396054800
104.952,1,Apr 07 2014 01: +0,1396828800
104.456,1,Apr 24 2014 01: +0,1398297600
65.737,1,Apr 26 2014 01: +0,1398470400
110.229,1,Apr 30 2014 01: +0,1398816000
74.236,1,May 03 2014 01: +0,1399075200
97.721,1,May 16 2014 01: +0,1400198400
84.926,1,May 22 2014 01: +0,1400716800
79.905,1,May 25 2014 01: +0,1400976000
76.1,1,Jun 15 2014 01: +0,1402790400
76.118,1,Jun 16 2014 01: +0,1402876800
57.935,1,Jun 18 2014 01: +0,1403049600
64.683,2,Jun 19 2014 01: +0,1403136000
67.255,2,Jul 06 2014 01: +0,1404604800
75.256,1,Jul 10 2014 01: +0,1404950400
74.983,1,Jul 14 2014 01: +0,1405296000
74.45,1,Jul 28 2014 01: +0,1406505600
79.074,1,Aug 05 2014 01: +0,1407196800
64.511,2,Aug 06 2014 01: +0,1407283200
57.902,1,Aug 10 2014 01: +0,1407628800
63.304,1,Aug 20 2014 01: +0,1408492800
70.649,1,Aug 31 2014 01: +0,1409443200
68.846,1,Sep 07 2014 01: +0,1410048000
65.338,1,Sep 08 2014 01: +0,1410134400
74.446,1,Sep 10 2014 01: +0,1410307200
63.584,1,Sep 11 2014 01: +0,1410393600
57.073,2,Sep 15 2014 01: +0,1410739200
73.296,1,Sep 20 2014 01: +0,1411171200
64.137,2,Sep 22 2014 01: +0,1411344000
62.772,1,Sep 27 2014 01: +0,1411776000
65.582,1,Oct 05 2014 01: +0,1412467200
52.205,1,Oct 09 2014 01: +0,1412812800
62.89,1,Oct 10 2014 01: +0,1412899200
54.959,2,Oct 12 2014 01: +0,1413072000
47.562,1,Oct 15 2014 01: +0,1413331200
55.41,2,Oct 16 2014 01: +0,1413417600
58.328,2,Oct 18 2014 01: +0,1413590400
57.535,2,Oct 19 2014 01: +0,1413676800
62.478,1,Oct 28 2014 01: +0,1414458000
48.646,1,Oct 31 2014 01: +0,1414717200
59.408,1,Nov 03 2014 01: +0,1414976400
40.649,1,Nov 20 2014 01: +0,1416445200
51.996,1,Nov 22 2014 01: +0,1416618000
46.807,1,Nov 28 2014 01: +0,1417136400
47.563,1,Nov 30 2014 01: +0,1417309200
4.098,1,Dec 04 2014 01: +0,1417654800
44.159,1,Dec 08 2014 01: +0,1418000400
45.902,1,Dec 10 2014 01: +0,1418173200
43.028,1,Dec 12 2014 01: +0,1418346000
48.291,1,Dec 13 2014 01: +0,1418432400
46.079,1,Dec 14 2014 01: +0,1418518800
51.917,1,Dec 16 2014 01: +0,1418691600
49.63,1,Dec 17 2014 01: +0,1418778000
46.68,1,Dec 19 2014 01: +0,1418950800
48.183,1,Dec 20 2014 01: +0,1419037200
52.087,1,Dec 22 2014 01: +0,1419210000
47.022,1,Dec 24 2014 01: +0,1419382800
57.981,2,Dec 25 2014 01: +0,1419469200
47.414,1,Dec 28 2014 01: +0,1419728400
55.41,1,Dec 31 2014 01: +0,1419987600
61.213,3,Jan 01 2015 01: +0,1420074000
51.369,1,Jan 04 2015 01: +0,1420333200
49.863,2,Jan 05 2015 01: +0,1420419600
61.12,1,Jan 08 2015 01: +0,1420678800
57.082,2,Jan 09 2015 01: +0,1420765200
43.086,1,Jan 10 2015 01: +0,1420851600
56.223,1,Jan 13 2015 01: +0,1421110800
75.43,1,Jan 14 2015 01: +0,1421197200
57.066,1,Jan 20 2015 01: +0,1421715600
52.613,1,Feb 02 2015 01: +0,1422838800
47.562,1,Feb 08 2015 01: +0,1423357200
47.566,1,Feb 12 2015 01: +0,1423702800
49.483,1,Feb 14 2015 01: +0,1423875600
47.934,1,Feb 19 2015 01: +0,1424307600
51.909,1,Feb 20 2015 01: +0,1424394000
45.557,3,Feb 23 2015 01: +0,1424653200
44.154,2,Feb 25 2015 01: +0,1424826000
46.567,2,Feb 27 2015 01: +0,1424998800
46.892,1,Feb 28 2015 01: +0,1425085200
0.056,1,Mar 01 2015 01: +0,1425171600
46.387,1,Mar 02 2015 01: +0,1425258000
44.205,2,Mar 04 2015 01: +0,1425430800
37.893,1,Mar 05 2015 01: +0,1425517200
37.693,2,Mar 06 2015 01: +0,1425603600
44.597,2,Mar 07 2015 01: +0,1425690000
44.94,1,Mar 08 2015 01: +0,1425776400
43.074,1,Mar 12 2015 01: +0,1426122000
42.5,1,Mar 13 2015 01: +0,1426208400
43.609,1,Mar 15 2015 01: +0,1426381200
43.609,1,Mar 16 2015 01: +0,1426467600
44.462,3,Mar 17 2015 01: +0,1426554000
50.002,1,Mar 23 2015 01: +0,1427072400
43.368,2,Mar 25 2015 01: +0,1427245200
47.79,1,Mar 28 2015 01: +0,1427504400
41.607,1,Mar 30 2015 01: +0,1427673600
47.676,2,Apr 01 2015 01: +0,1427846400
47.478,3,Apr 02 2015 01: +0,1427932800
48.493,2,Apr 03 2015 01: +0,1428019200
47.983,1,Apr 04 2015 01: +0,1428105600
40.904,1,Apr 05 2015 01: +0,1428192000
