price,quantity,date,unix timestamp
331.762,1,Feb 14 2015 01: +0,1423875600
0.05,1,Feb 28 2015 01: +0,1425085200
323.551,1,Apr 04 2015 01: +0,1428105600
319.96,1,Apr 17 2015 01: +0,1429228800
295.854,1,Apr 23 2015 01: +0,1429747200
281.38,1,Apr 27 2015 01: +0,1430092800
325.002,1,Apr 28 2015 01: +0,1430179200
326.439,1,Apr 29 2015 01: +0,1430265600
320.834,1,May 02 2015 01: +0,1430524800
310.182,1,May 06 2015 01: +0,1430870400
332.555,2,May 10 2015 01: +0,1431216000
330.877,1,May 12 2015 01: +0,1431388800
337.288,1,May 15 2015 01: +0,1431648000
330.873,1,May 16 2015 01: +0,1431734400
322.358,1,May 28 2015 01: +0,1432771200
318.01,1,May 29 2015 01: +0,1432857600
330.083,1,May 30 2015 01: +0,1432944000
330.869,1,May 31 2015 01: +0,1433030400
336.203,1,Jun 10 2015 01: +0,1433894400
330.444,1,Jun 12 2015 01: +0,1434067200
337.869,1,Jun 13 2015 01: +0,1434153600
333.698,1,Jun 14 2015 01: +0,1434240000
337.147,1,Jun 21 2015 01: +0,1434844800
225.33,1,Jun 24 2015 01: +0,1435104000
330.873,1,Jun 28 2015 01: +0,1435449600
331.523,1,Jun 29 2015 01: +0,1435536000
315.298,1,Jul 03 2015 01: +0,1435881600
132.357,1,Jul 14 2015 01: +0,1436832000
309.387,1,Jul 15 2015 01: +0,1436918400
306.906,1,Jul 16 2015 01: +0,1437004800
330.866,1,Jul 20 2015 01: +0,1437350400
323.425,1,Jul 29 2015 01: +0,1438128000
288.889,1,Aug 07 2015 01: +0,1438905600
281.239,1,Aug 08 2015 01: +0,1438992000
295.466,1,Aug 16 2015 01: +0,1439683200
300.673,2,Aug 17 2015 01: +0,1439769600
287.461,1,Aug 22 2015 01: +0,1440201600
330.869,1,Sep 06 2015 01: +0,1441497600
276.623,1,Sep 18 2015 01: +0,1442534400
330.865,1,Sep 19 2015 01: +0,1442620800
331.365,1,Sep 22 2015 01: +0,1442880000
270.775,1,Sep 26 2015 01: +0,1443225600
314.491,1,Sep 29 2015 01: +0,1443484800
289.965,1,Oct 05 2015 01: +0,1444003200
330.869,1,Oct 06 2015 01: +0,1444089600
316.336,2,Oct 31 2015 01: +0,1446253200
318.667,1,Nov 01 2015 01: +0,1446339600
323.623,1,Nov 06 2015 01: +0,1446771600
319.165,1,Nov 22 2015 01: +0,1448154000
312.886,1,Dec 10 2015 01: +0,1449709200
328.189,1,Dec 18 2015 01: +0,1450400400
320.397,1,Jan 03 2016 01: +0,1451782800
320.368,1,Jan 05 2016 01: +0,1451955600
329.711,1,Feb 19 2016 01: +0,1455843600
285.912,1,Feb 27 2016 01: +0,1456534800
317.122,1,Mar 12 2016 01: +0,1457744400
320.587,1,Mar 17 2016 01: +0,1458176400
332.325,1,Mar 20 2016 01: +0,1458435600
330.869,1,Apr 07 2016 01: +0,1459987200
330.869,1,May 02 2016 01: +0,1462147200
302.141,1,Jun 03 2016 01: +0,1464912000
330.869,1,Jun 24 2016 01: +0,1466726400
330.869,1,Jun 25 2016 01: +0,1466812800
330.216,1,Jul 01 2016 01: +0,1467331200
330.869,1,Jul 10 2016 01: +0,1468108800
334.666,1,Jul 19 2016 01: +0,1468886400
331.754,1,Aug 01 2016 01: +0,1470009600
318.453,1,Aug 04 2016 01: +0,1470268800
330.863,1,Aug 06 2016 01: +0,1470441600
330.869,1,Aug 08 2016 01: +0,1470614400
350.688,1,Aug 20 2016 01: +0,1471651200
330.869,1,Sep 11 2016 01: +0,1473552000
332.341,1,Oct 09 2016 01: +0,1475971200
334.542,1,Oct 14 2016 01: +0,1476403200
328.181,1,Oct 23 2016 01: +0,1477180800
314.326,1,Oct 25 2016 01: +0,1477353600
329.082,1,Nov 05 2016 01: +0,1478307600
343.624,1,Nov 06 2016 01: +0,1478394000
323.962,1,Nov 10 2016 01: +0,1478739600
330.869,1,Nov 11 2016 01: +0,1478826000
330.869,1,Nov 15 2016 01: +0,1479171600
313.876,1,Nov 25 2016 01: +0,1480035600
322.047,2,Dec 17 2016 01: +0,1481936400
308.372,1,Dec 21 2016 01: +0,1482282000
309.527,2,Dec 22 2016 01: +0,1482368400
311.29,1,Dec 29 2016 01: +0,1482973200
311.579,2,Jan 25 2017 01: +0,1485306000
310.115,1,Jan 27 2017 01: +0,1485478800
330.869,1,Feb 10 2017 01: +0,1486688400
304.78,1,Feb 20 2017 01: +0,1487552400
314.872,1,Feb 24 2017 01: +0,1487898000
317.597,1,May 01 2017 01: +0,1493596800
484.386,2,May 03 2017 01: +0,1493769600
542.127,1,May 05 2017 01: +0,1493942400
523.459,1,May 10 2017 01: +0,1494374400
482.732,2,May 11 2017 01: +0,1494460800
533.378,1,May 14 2017 01: +0,1494720000
523.948,1,May 15 2017 01: +0,1494806400
525.263,1,May 16 2017 01: +0,1494892800
462.509,1,May 17 2017 01: +0,1494979200
458.838,1,May 19 2017 01: +0,1495152000
526.263,2,May 20 2017 01: +0,1495238400
520.3,1,May 24 2017 01: +0,1495584000
516.411,1,May 25 2017 01: +0,1495670400
512.847,1,May 26 2017 01: +0,1495756800
509.654,1,Jun 02 2017 01: +0,1496361600
496.883,1,Jun 05 2017 01: +0,1496620800
516.466,2,Jun 07 2017 01: +0,1496793600
551.749,1,Jun 09 2017 01: +0,1496966400
533.494,1,Jun 13 2017 01: +0,1497312000
418.622,1,Jun 14 2017 01: +0,1497398400
539.159,1,Jun 15 2017 01: +0,1497484800
447.086,3,Jun 16 2017 01: +0,1497571200
418.727,2,Jun 17 2017 01: +0,1497657600
503.204,1,Jun 19 2017 01: +0,1497830400
529.614,1,Jun 20 2017 01: +0,1497916800
496.371,1,Jun 22 2017 01: +0,1498089600
413.611,1,Jun 24 2017 01: +0,1498262400
497.602,1,Jun 26 2017 01: +0,1498435200
413.165,1,Jun 27 2017 01: +0,1498521600
416.57,1,Jun 30 2017 01: +0,1498780800
488.144,1,Jul 04 2017 01: +0,1499126400
488.826,1,Jul 05 2017 01: +0,1499212800
517.404,1,Jul 07 2017 01: +0,1499385600
536.637,1,Jul 09 2017 01: +0,1499558400
514.421,1,Jul 11 2017 01: +0,1499731200
525.197,1,Jul 12 2017 01: +0,1499817600
516.392,1,Jul 13 2017 01: +0,1499904000
432.603,1,Jul 22 2017 01: +0,1500681600
491.209,1,Jul 23 2017 01: +0,1500768000
524.286,1,Jul 24 2017 01: +0,1500854400
508.719,1,Jul 28 2017 01: +0,1501200000
426.676,1,Jul 31 2017 01: +0,1501459200
425.173,1,Aug 01 2017 01: +0,1501545600
527.372,1,Aug 04 2017 01: +0,1501804800
527.347,1,Aug 06 2017 01: +0,1501977600
521.765,1,Aug 07 2017 01: +0,1502064000
523.187,1,Aug 09 2017 01: +0,1502236800
435.932,1,Aug 10 2017 01: +0,1502323200
529.428,2,Aug 11 2017 01: +0,1502409600
532.268,1,Aug 12 2017 01: +0,1502496000
527.184,1,Aug 15 2017 01: +0,1502755200
520.692,1,Aug 16 2017 01: +0,1502841600
522.242,1,Aug 18 2017 01: +0,1503014400
551.443,1,Aug 19 2017 01: +0,1503100800
452.929,1,Aug 20 2017 01: +0,1503187200
534.544,1,Aug 22 2017 01: +0,1503360000
517.435,2,Aug 27 2017 01: +0,1503792000
521.089,2,Aug 29 2017 01: +0,1503964800
526.276,1,Aug 31 2017 01: +0,1504137600
527.928,1,Sep 02 2017 01: +0,1504310400
528.922,1,Sep 05 2017 01: +0,1504569600
534.604,1,Sep 07 2017 01: +0,1504742400
501.884,1,Sep 08 2017 01: +0,1504828800
537.09,2,Sep 11 2017 01: +0,1505088000
488.368,2,Sep 13 2017 01: +0,1505260800
475.617,1,Sep 18 2017 01: +0,1505692800
496.418,1,Sep 23 2017 01: +0,1506124800
531.214,1,Sep 25 2017 01: +0,1506297600
437.888,1,Sep 27 2017 01: +0,1506470400
450.815,1,Sep 29 2017 01: +0,1506643200
456.594,1,Oct 01 2017 01: +0,1506816000
477.467,2,Oct 03 2017 01: +0,1506988800
430.13,1,Oct 05 2017 01: +0,1507161600
504.46,1,Oct 07 2017 01: +0,1507334400
