price,quantity,date,unix timestamp
330.869,1,May 06 2015 01: +0,1430870400
135.177,1,Oct 30 2015 01: +0,1446166800
319.429,1,Nov 15 2015 01: +0,1447549200
299.279,1,Jul 31 2016 01: +0,1469923200
310.189,1,Jan 20 2017 01: +0,1484874000
306.102,1,Mar 10 2017 01: +0,1489107600
537.662,1,Jul 17 2017 01: +0,1500249600
537.663,1,Jul 24 2017 01: +0,1500854400
440.665,1,Apr 13 2018 01: +0,1523577600
491.384,1,Apr 21 2018 01: +0,1524268800
460.007,1,Jun 06 2018 01: +0,1528243200
348.074,1,Dec 08 2018 01: +0,1544230800
395.506,1,Feb 20 2020 01: +0,1582160400
579.322,1,Mar 17 2020 01: +0,1584406800
359.8,1,Jun 09 2020 01: +0,1591660800
529.093,1,Jun 11 2020 01: +0,1591833600
535.16,1,Jul 16 2020 01: +0,1594857600
541.831,1,Mar 20 2021 01: +0,1616202000
621.625,2,Apr 17 2021 01: +0,1618617600
483.937,1,May 03 2021 01: +0,1620000000
711.905,1,May 06 2021 01: +0,1620259200
810.389,1,Jun 08 2021 01: +0,1623110400
505.94,1,Nov 20 2021 01: +0,1637370000
507.853,1,Jun 28 2022 01: +0,1656374400
761.09,1,Oct 26 2022 01: +0,1666742400
951.733,1,Dec 06 2022 01: +0,1670288400
819.728,1,Feb 03 2023 01: +0,1675386000
