price,quantity,date,unix timestamp
75.976,1,Aug 18 2013 01: +0,1376784000
133.224,1,Aug 28 2013 01: +0,1377648000
220.403,1,Sep 02 2013 01: +0,1378080000
142.687,1,Sep 07 2013 01: +0,1378512000
70.301,1,Sep 08 2013 01: +0,1378598400
144.755,1,Sep 10 2013 01: +0,1378771200
138.692,1,Sep 12 2013 01: +0,1378944000
142.687,1,Sep 13 2013 01: +0,1379030400
162.836,1,Oct 08 2013 01: +0,1381190400
173.706,1,Oct 11 2013 01: +0,1381449600
9.512,1,Oct 23 2013 01: +0,1382486400
95.022,1,Oct 28 2013 01: +0,1382922000
203.831,2,Oct 29 2013 01: +0,1383008400
184.617,1,Oct 31 2013 01: +0,1383181200
202.062,1,Nov 02 2013 01: +0,1383354000
244.628,1,Nov 12 2013 01: +0,1384218000
294.738,1,Nov 23 2013 01: +0,1385168400
180.737,1,Nov 26 2013 01: +0,1385427600
320.222,1,Dec 05 2013 01: +0,1386205200
149.065,1,Dec 06 2013 01: +0,1386291600
239.037,1,Dec 21 2013 01: +0,1387587600
244.26,1,Jan 02 2014 01: +0,1388624400
194.915,1,Jan 06 2014 01: +0,1388970000
237.812,1,Jan 07 2014 01: +0,1389056400
212.792,1,Jan 18 2014 01: +0,1390006800
168.032,1,Jan 23 2014 01: +0,1390438800
169.182,1,Jan 26 2014 01: +0,1390698000
248.392,1,Jan 28 2014 01: +0,1390870800
245.425,1,Feb 05 2014 01: +0,1391562000
247.738,1,Feb 23 2014 01: +0,1393117200
201.089,2,Feb 25 2014 01: +0,1393290000
223.204,1,Feb 26 2014 01: +0,1393376400
179.275,2,Mar 05 2014 01: +0,1393981200
173.358,1,Mar 07 2014 01: +0,1394154000
256.994,1,Mar 09 2014 01: +0,1394326800
254.92,1,Mar 15 2014 01: +0,1394845200
262.656,1,Mar 16 2014 01: +0,1394931600
171.225,1,Mar 23 2014 01: +0,1395536400
210.737,1,Mar 25 2014 01: +0,1395709200
207.542,2,Mar 27 2014 01: +0,1395882000
179.269,2,Mar 28 2014 01: +0,1395968400
301.142,1,Mar 31 2014 01: +0,1396224000
319.826,1,Apr 02 2014 01: +0,1396396800
205.374,1,Apr 04 2014 01: +0,1396569600
260.262,1,Apr 06 2014 01: +0,1396742400
221.889,1,Apr 08 2014 01: +0,1396915200
240.608,1,Apr 11 2014 01: +0,1397174400
238.529,1,Apr 12 2014 01: +0,1397260800
330.869,1,Apr 13 2014 01: +0,1397347200
206.148,1,Apr 17 2014 01: +0,1397692800
199.762,1,Apr 19 2014 01: +0,1397865600
318.453,1,Apr 23 2014 01: +0,1398211200
343.062,1,Apr 24 2014 01: +0,1398297600
262.947,1,Apr 27 2014 01: +0,1398556800
229.061,1,May 01 2014 01: +0,1398902400
266.022,2,May 02 2014 01: +0,1398988800
285.672,1,May 04 2014 01: +0,1399161600
259.066,1,May 09 2014 01: +0,1399593600
260.566,1,May 11 2014 01: +0,1399766400
200.929,1,May 15 2014 01: +0,1400112000
206.777,1,May 16 2014 01: +0,1400198400
206.833,2,May 20 2014 01: +0,1400544000
214.957,1,May 24 2014 01: +0,1400889600
213.957,1,May 25 2014 01: +0,1400976000
213.402,1,May 27 2014 01: +0,1401148800
185.758,1,Jun 01 2014 01: +0,1401580800
229.124,2,Jun 03 2014 01: +0,1401753600
234.049,1,Jun 12 2014 01: +0,1402531200
297.782,1,Jun 13 2014 01: +0,1402617600
169.019,1,Jun 16 2014 01: +0,1402876800
211.305,1,Jun 17 2014 01: +0,1402963200
200.573,1,Jun 25 2014 01: +0,1403654400
225.311,1,Jun 26 2014 01: +0,1403740800
232.105,1,Jul 05 2014 01: +0,1404518400
221.021,1,Jul 07 2014 01: +0,1404691200
179.564,2,Jul 09 2014 01: +0,1404864000
205.812,2,Jul 13 2014 01: +0,1405209600
242.465,2,Jul 14 2014 01: +0,1405296000
237.812,1,Jul 15 2014 01: +0,1405382400
237.812,1,Jul 23 2014 01: +0,1406073600
216.521,1,Jul 29 2014 01: +0,1406592000
236.597,1,Aug 01 2014 01: +0,1406851200
237.004,1,Aug 03 2014 01: +0,1407024000
0.377,1,Aug 04 2014 01: +0,1407110400
221.277,1,Aug 05 2014 01: +0,1407196800
267.168,2,Aug 10 2014 01: +0,1407628800
190.79,1,Aug 14 2014 01: +0,1407974400
226.563,1,Aug 17 2014 01: +0,1408233600
249.235,1,Aug 21 2014 01: +0,1408579200
185.752,3,Aug 23 2014 01: +0,1408752000
237.812,1,Aug 25 2014 01: +0,1408924800
218.155,1,Aug 26 2014 01: +0,1409011200
225.791,1,Aug 28 2014 01: +0,1409184000
237.202,2,Aug 29 2014 01: +0,1409270400
231.608,1,Sep 01 2014 01: +0,1409529600
243.689,2,Sep 08 2014 01: +0,1410134400
248.164,1,Sep 10 2014 01: +0,1410307200
233.864,2,Sep 13 2014 01: +0,1410566400
260.559,1,Sep 18 2014 01: +0,1410998400
246.431,1,Sep 19 2014 01: +0,1411084800
239.893,1,Sep 24 2014 01: +0,1411516800
296.939,1,Sep 25 2014 01: +0,1411603200
227.158,1,Sep 28 2014 01: +0,1411862400
210.003,1,Sep 30 2014 01: +0,1412035200
255.457,1,Oct 01 2014 01: +0,1412121600
260.377,1,Oct 04 2014 01: +0,1412380800
248.152,1,Oct 08 2014 01: +0,1412726400
264.257,2,Oct 11 2014 01: +0,1412985600
241.237,1,Oct 18 2014 01: +0,1413590400
276.031,1,Oct 26 2014 01: +0,1414281600
192.812,1,Oct 28 2014 01: +0,1414458000
209.261,1,Oct 29 2014 01: +0,1414544400
185.973,1,Nov 01 2014 01: +0,1414803600
205.697,1,Nov 02 2014 01: +0,1414890000
206.636,1,Nov 04 2014 01: +0,1415062800
181.989,2,Nov 07 2014 01: +0,1415322000
226.778,2,Nov 08 2014 01: +0,1415408400
165.442,1,Nov 10 2014 01: +0,1415581200
206.777,1,Nov 11 2014 01: +0,1415667600
206.243,1,Nov 13 2014 01: +0,1415840400
185.52,1,Nov 15 2014 01: +0,1416013200
149.054,2,Nov 18 2014 01: +0,1416272400
149.03,1,Nov 20 2014 01: +0,1416445200
168.297,1,Nov 21 2014 01: +0,1416531600
177.098,1,Nov 22 2014 01: +0,1416618000
224.337,2,Nov 23 2014 01: +0,1416704400
161.215,1,Nov 25 2014 01: +0,1416877200
161.224,1,Nov 26 2014 01: +0,1416963600
161.299,1,Nov 27 2014 01: +0,1417050000
154.061,1,Nov 30 2014 01: +0,1417309200
148.071,1,Dec 01 2014 01: +0,1417395600
144.775,1,Dec 02 2014 01: +0,1417482000
141.855,2,Dec 03 2014 01: +0,1417568400
144.0,2,Dec 04 2014 01: +0,1417654800
147.063,1,Dec 05 2014 01: +0,1417741200
161.771,2,Dec 06 2014 01: +0,1417827600
152.928,1,Dec 08 2014 01: +0,1418000400
148.161,2,Dec 16 2014 01: +0,1418691600
147.64,2,Dec 17 2014 01: +0,1418778000
141.565,2,Dec 18 2014 01: +0,1418864400
169.195,2,Dec 19 2014 01: +0,1418950800
172.673,1,Dec 20 2014 01: +0,1419037200
172.05,1,Dec 21 2014 01: +0,1419123600
188.528,2,Dec 22 2014 01: +0,1419210000
185.611,2,Dec 23 2014 01: +0,1419296400
184.339,1,Dec 24 2014 01: +0,1419382800
181.326,1,Dec 25 2014 01: +0,1419469200
185.345,1,Dec 26 2014 01: +0,1419555600
248.167,1,Dec 28 2014 01: +0,1419728400
220.247,1,Dec 31 2014 01: +0,1419987600
228.128,1,Jan 02 2015 01: +0,1420160400
