price,quantity,date,unix timestamp
668.875,1,Oct 01 2018 01: +0,1538352000
391.253,1,Nov 17 2018 01: +0,1542416400
479.76,1,Nov 27 2018 01: +0,1543280400
499.317,1,Dec 13 2018 01: +0,1544662800
320.133,1,Dec 15 2018 01: +0,1544835600
324.629,1,Dec 26 2018 01: +0,1545786000
319.541,1,Dec 28 2018 01: +0,1545958800
297.544,1,Dec 31 2018 01: +0,1546218000
399.524,1,Jan 17 2019 01: +0,1547686800
315.276,1,Jan 19 2019 01: +0,1547859600
314.913,1,Jan 20 2019 01: +0,1547946000
314.326,1,Jan 21 2019 01: +0,1548032400
414.869,1,Jan 22 2019 01: +0,1548118800
373.546,1,Jan 24 2019 01: +0,1548291600
287.039,1,Jan 26 2019 01: +0,1548464400
298.121,1,Feb 05 2019 01: +0,1549328400
342.048,1,Feb 06 2019 01: +0,1549414800
291.995,1,Feb 08 2019 01: +0,1549587600
305.526,1,Feb 09 2019 01: +0,1549674000
312.229,1,Feb 14 2019 01: +0,1550106000
276.003,1,Feb 18 2019 01: +0,1550451600
299.008,1,Feb 20 2019 01: +0,1550624400
295.018,2,Feb 22 2019 01: +0,1550797200
313.509,1,Feb 23 2019 01: +0,1550883600
314.954,2,Feb 24 2019 01: +0,1550970000
273.964,1,Feb 28 2019 01: +0,1551315600
376.498,1,Mar 01 2019 01: +0,1551402000
340.568,2,Mar 04 2019 01: +0,1551661200
285.373,1,Mar 09 2019 01: +0,1552093200
285.162,1,Mar 14 2019 01: +0,1552525200
262.611,1,Mar 18 2019 01: +0,1552870800
346.464,1,Mar 23 2019 01: +0,1553302800
283.022,1,Mar 26 2019 01: +0,1553562000
262.222,1,Mar 30 2019 01: +0,1553907600
307.68,3,Mar 31 2019 01: +0,1553994000
298.28,1,Apr 05 2019 01: +0,1554422400
258.235,1,Apr 12 2019 01: +0,1555027200
319.342,2,Apr 15 2019 01: +0,1555286400
325.856,1,Apr 22 2019 01: +0,1555891200
274.935,1,May 12 2019 01: +0,1557619200
286.364,1,May 15 2019 01: +0,1557878400
315.79,1,May 16 2019 01: +0,1557964800
289.998,1,May 20 2019 01: +0,1558310400
244.097,1,May 23 2019 01: +0,1558569600
343.146,1,Jun 01 2019 01: +0,1559347200
342.863,1,Jun 06 2019 01: +0,1559779200
337.183,1,Jun 07 2019 01: +0,1559865600
350.696,1,Jun 09 2019 01: +0,1560038400
341.712,1,Jun 19 2019 01: +0,1560902400
279.799,1,Jun 26 2019 01: +0,1561507200
291.7,1,Jun 30 2019 01: +0,1561852800
355.693,1,Jul 04 2019 01: +0,1562198400
339.578,1,Jul 09 2019 01: +0,1562630400
294.829,1,Jul 21 2019 01: +0,1563667200
312.121,1,Jul 26 2019 01: +0,1564099200
309.65,1,Aug 10 2019 01: +0,1565395200
293.005,1,Aug 12 2019 01: +0,1565568000
301.186,1,Aug 19 2019 01: +0,1566172800
287.428,1,Aug 26 2019 01: +0,1566777600
339.595,1,Aug 27 2019 01: +0,1566864000
294.677,1,Aug 28 2019 01: +0,1566950400
289.461,1,Sep 04 2019 01: +0,1567555200
279.816,1,Sep 15 2019 01: +0,1568505600
278.443,1,Oct 05 2019 01: +0,1570233600
339.149,1,Oct 06 2019 01: +0,1570320000
249.583,1,Oct 10 2019 01: +0,1570665600
332.042,2,Oct 13 2019 01: +0,1570924800
271.441,1,Oct 20 2019 01: +0,1571529600
339.951,1,Oct 26 2019 01: +0,1572048000
287.436,2,Nov 07 2019 01: +0,1573088400
326.746,1,Nov 08 2019 01: +0,1573174800
332.942,1,Nov 09 2019 01: +0,1573261200
335.357,1,Nov 11 2019 01: +0,1573434000
260.23,1,Nov 13 2019 01: +0,1573606800
273.425,1,Nov 18 2019 01: +0,1574038800
237.836,1,Nov 21 2019 01: +0,1574298000
252.558,1,Nov 22 2019 01: +0,1574384400
315.252,1,Nov 23 2019 01: +0,1574470800
323.413,1,Nov 28 2019 01: +0,1574902800
238.646,1,Dec 05 2019 01: +0,1575507600
237.018,1,Dec 06 2019 01: +0,1575594000
304.323,1,Dec 08 2019 01: +0,1575766800
269.998,1,Dec 12 2019 01: +0,1576112400
271.398,1,Dec 14 2019 01: +0,1576285200
234.251,1,Dec 16 2019 01: +0,1576458000
264.695,1,Dec 18 2019 01: +0,1576630800
249.285,4,Dec 20 2019 01: +0,1576803600
254.57,2,Dec 23 2019 01: +0,1577062800
229.127,1,Dec 24 2019 01: +0,1577149200
276.309,1,Dec 25 2019 01: +0,1577235600
312.889,1,Dec 28 2019 01: +0,1577494800
219.002,1,Dec 29 2019 01: +0,1577581200
288.563,1,Dec 30 2019 01: +0,1577667600
288.245,1,Jan 01 2020 01: +0,1577840400
271.6,3,Jan 07 2020 01: +0,1578358800
289.623,1,Jan 14 2020 01: +0,1578963600
291.049,1,Jan 20 2020 01: +0,1579482000
304.4,1,Jan 21 2020 01: +0,1579568400
409.141,1,Jan 23 2020 01: +0,1579741200
266.999,1,Jan 25 2020 01: +0,1579914000
367.564,1,Jan 31 2020 01: +0,1580432400
367.637,1,Feb 08 2020 01: +0,1581123600
272.79,1,Feb 10 2020 01: +0,1581296400
258.804,2,Feb 23 2020 01: +0,1582419600
252.936,1,Mar 02 2020 01: +0,1583110800
285.116,1,Mar 04 2020 01: +0,1583283600
253.455,1,Mar 06 2020 01: +0,1583456400
273.377,1,Mar 07 2020 01: +0,1583542800
347.978,2,Mar 11 2020 01: +0,1583888400
250.245,1,Mar 28 2020 01: +0,1585357200
248.164,1,Mar 29 2020 01: +0,1585443600
229.152,1,Apr 01 2020 01: +0,1585699200
252.28,1,Apr 03 2020 01: +0,1585872000
268.863,1,Apr 06 2020 01: +0,1586131200
268.831,1,Apr 07 2020 01: +0,1586217600
244.004,1,Apr 09 2020 01: +0,1586390400
284.238,1,Apr 10 2020 01: +0,1586476800
262.549,2,Apr 13 2020 01: +0,1586736000
285.011,1,Apr 14 2020 01: +0,1586822400
319.165,1,Apr 15 2020 01: +0,1586908800
319.176,1,Apr 16 2020 01: +0,1586995200
318.453,1,Apr 17 2020 01: +0,1587081600
320.472,1,Apr 18 2020 01: +0,1587168000
309.354,1,Apr 28 2020 01: +0,1588032000
261.298,1,May 05 2020 01: +0,1588636800
262.524,1,May 07 2020 01: +0,1588809600
251.473,1,May 13 2020 01: +0,1589328000
284.827,2,May 16 2020 01: +0,1589587200
242.256,3,Jun 06 2020 01: +0,1591401600
288.561,1,Jun 10 2020 01: +0,1591747200
242.144,2,Jun 12 2020 01: +0,1591920000
297.609,1,Jun 17 2020 01: +0,1592352000
268.757,1,Jun 26 2020 01: +0,1593129600
272.98,1,Jun 30 2020 01: +0,1593475200
324.632,1,Jul 02 2020 01: +0,1593648000
306.918,3,Jul 03 2020 01: +0,1593734400
313.929,1,Jul 14 2020 01: +0,1594684800
306.128,1,Jul 18 2020 01: +0,1595030400
283.214,1,Jul 19 2020 01: +0,1595116800
268.832,1,Jul 20 2020 01: +0,1595203200
326.609,1,Jul 23 2020 01: +0,1595462400
263.965,1,Jul 27 2020 01: +0,1595808000
252.081,1,Jul 31 2020 01: +0,1596153600
328.065,1,Aug 06 2020 01: +0,1596672000
270.529,1,Aug 11 2020 01: +0,1597104000
254.362,2,Aug 13 2020 01: +0,1597276800
247.828,1,Aug 16 2020 01: +0,1597536000
261.481,1,Aug 19 2020 01: +0,1597795200
284.691,1,Aug 21 2020 01: +0,1597968000
298.816,1,Aug 22 2020 01: +0,1598054400
259.36,1,Aug 25 2020 01: +0,1598313600
255.34,2,Aug 26 2020 01: +0,1598400000
328.909,1,Sep 02 2020 01: +0,1599004800
230.443,1,Sep 05 2020 01: +0,1599264000
252.044,2,Sep 06 2020 01: +0,1599350400
327.56,1,Sep 12 2020 01: +0,1599868800
279.692,1,Sep 16 2020 01: +0,1600214400
290.001,1,Sep 27 2020 01: +0,1601164800
291.915,1,Oct 02 2020 01: +0,1601596800
243.52,1,Oct 03 2020 01: +0,1601683200
296.12,1,Oct 08 2020 01: +0,1602115200
281.236,1,Oct 10 2020 01: +0,1602288000
299.273,1,Oct 12 2020 01: +0,1602460800
254.703,1,Oct 15 2020 01: +0,1602720000
261.833,1,Oct 19 2020 01: +0,1603065600
246.216,1,Oct 21 2020 01: +0,1603238400
248.152,1,Oct 23 2020 01: +0,1603411200
260.559,1,Oct 26 2020 01: +0,1603674000
297.13,1,Oct 28 2020 01: +0,1603846800
251.618,2,Nov 06 2020 01: +0,1604624400
317.411,1,Nov 16 2020 01: +0,1605488400
248.781,1,Nov 27 2020 01: +0,1606438800
242.353,1,Nov 29 2020 01: +0,1606611600
311.038,1,Dec 02 2020 01: +0,1606870800
244.006,3,Dec 04 2020 01: +0,1607043600
218.498,1,Dec 07 2020 01: +0,1607302800
253.209,2,Dec 15 2020 01: +0,1607994000
296.867,1,Dec 21 2020 01: +0,1608512400
302.439,1,Dec 23 2020 01: +0,1608685200
235.744,1,Dec 24 2020 01: +0,1608771600
239.864,1,Dec 26 2020 01: +0,1608944400
355.254,1,Jan 01 2021 01: +0,1609462800
248.731,1,Jan 03 2021 01: +0,1609635600
250.799,1,Jan 04 2021 01: +0,1609722000
298.08,1,Jan 06 2021 01: +0,1609894800
316.807,1,Jan 08 2021 01: +0,1610067600
306.691,2,Jan 15 2021 01: +0,1610672400
330.873,1,Jan 16 2021 01: +0,1610758800
270.996,2,Jan 17 2021 01: +0,1610845200
306.054,1,Jan 19 2021 01: +0,1611018000
230.304,1,Jan 20 2021 01: +0,1611104400
255.481,1,Jan 21 2021 01: +0,1611190800
292.03,2,Jan 23 2021 01: +0,1611363600
292.695,2,Jan 28 2021 01: +0,1611795600
336.494,1,Jan 30 2021 01: +0,1611968400
255.737,1,Feb 02 2021 01: +0,1612227600
336.949,1,Feb 03 2021 01: +0,1612314000
266.346,1,Feb 07 2021 01: +0,1612659600
264.703,1,Feb 10 2021 01: +0,1612918800
219.126,1,Feb 15 2021 01: +0,1613350800
300.95,1,Feb 17 2021 01: +0,1613523600
308.667,1,Feb 25 2021 01: +0,1614214800
248.309,1,Mar 05 2021 01: +0,1614906000
287.43,2,Mar 07 2021 01: +0,1615078800
281.031,2,Mar 11 2021 01: +0,1615424400
334.773,1,Mar 14 2021 01: +0,1615683600
258.905,1,Mar 15 2021 01: +0,1615770000
283.003,2,Mar 19 2021 01: +0,1616115600
330.869,1,Mar 22 2021 01: +0,1616374800
320.61,3,Mar 23 2021 01: +0,1616461200
303.409,2,Mar 24 2021 01: +0,1616547600
277.285,1,Mar 25 2021 01: +0,1616634000
297.131,1,Mar 28 2021 01: +0,1616893200
326.51,1,Mar 29 2021 01: +0,1616976000
275.343,1,Mar 30 2021 01: +0,1617062400
328.702,1,Apr 01 2021 01: +0,1617235200
285.375,1,Apr 02 2021 01: +0,1617321600
289.945,3,Apr 05 2021 01: +0,1617580800
293.535,1,Apr 07 2021 01: +0,1617753600
306.054,1,Apr 09 2021 01: +0,1617926400
315.063,1,Apr 10 2021 01: +0,1618012800
321.788,1,Apr 11 2021 01: +0,1618099200
268.418,1,Apr 15 2021 01: +0,1618444800
290.986,2,Apr 16 2021 01: +0,1618531200
229.416,1,Apr 24 2021 01: +0,1619222400
335.748,1,Apr 30 2021 01: +0,1619740800
343.096,1,May 01 2021 01: +0,1619827200
279.047,1,May 11 2021 01: +0,1620691200
288.766,1,May 13 2021 01: +0,1620864000
367.083,1,May 15 2021 01: +0,1621036800
360.313,1,May 20 2021 01: +0,1621468800
331.746,2,May 22 2021 01: +0,1621641600
292.106,1,May 24 2021 01: +0,1621814400
361.809,1,May 27 2021 01: +0,1622073600
351.515,1,May 31 2021 01: +0,1622419200
362.441,1,Jun 05 2021 01: +0,1622851200
316.919,1,Jun 06 2021 01: +0,1622937600
338.073,1,Jun 09 2021 01: +0,1623196800
288.284,1,Jun 15 2021 01: +0,1623715200
363.009,1,Jun 18 2021 01: +0,1623974400
361.267,2,Jun 21 2021 01: +0,1624233600
239.351,1,Jul 09 2021 01: +0,1625788800
248.152,1,Jul 10 2021 01: +0,1625875200
302.512,1,Jul 16 2021 01: +0,1626393600
304.4,1,Jul 17 2021 01: +0,1626480000
249.38,2,Jul 23 2021 01: +0,1626998400
303.645,1,Jul 24 2021 01: +0,1627084800
298.096,1,Jul 27 2021 01: +0,1627344000
312.671,1,Jul 31 2021 01: +0,1627689600
269.518,1,Aug 02 2021 01: +0,1627862400
348.57,1,Aug 04 2021 01: +0,1628035200
273.604,1,Aug 09 2021 01: +0,1628467200
289.625,2,Aug 13 2021 01: +0,1628812800
382.303,1,Aug 18 2021 01: +0,1629244800
307.152,2,Aug 20 2021 01: +0,1629417600
344.749,1,Aug 23 2021 01: +0,1629676800
406.526,1,Sep 02 2021 01: +0,1630540800
303.284,1,Sep 10 2021 01: +0,1631232000
282.977,1,Sep 18 2021 01: +0,1631923200
302.902,1,Sep 20 2021 01: +0,1632096000
326.251,1,Sep 30 2021 01: +0,1632960000
256.936,1,Oct 03 2021 01: +0,1633219200
336.642,1,Oct 05 2021 01: +0,1633392000
330.846,1,Oct 06 2021 01: +0,1633478400
258.05,1,Oct 08 2021 01: +0,1633651200
267.051,1,Oct 13 2021 01: +0,1634083200
332.102,1,Oct 22 2021 01: +0,1634860800
265.704,1,Oct 25 2021 01: +0,1635120000
272.975,1,Oct 29 2021 01: +0,1635465600
309.672,1,Oct 31 2021 01: +0,1635638400
270.626,1,Nov 02 2021 01: +0,1635814800
318.473,1,Nov 04 2021 01: +0,1635987600
305.194,1,Nov 07 2021 01: +0,1636246800
344.971,1,Nov 18 2021 01: +0,1637197200
279.535,1,Nov 21 2021 01: +0,1637456400
277.194,1,Nov 28 2021 01: +0,1638061200
289.522,1,Dec 01 2021 01: +0,1638320400
299.122,1,Dec 07 2021 01: +0,1638838800
299.346,3,Dec 08 2021 01: +0,1638925200
301.182,1,Dec 10 2021 01: +0,1639098000
293.754,1,Dec 11 2021 01: +0,1639184400
296.541,1,Dec 13 2021 01: +0,1639357200
356.718,1,Dec 16 2021 01: +0,1639616400
358.174,1,Dec 18 2021 01: +0,1639789200
366.702,1,Dec 19 2021 01: +0,1639875600
362.273,1,Dec 23 2021 01: +0,1640221200
357.347,1,Dec 24 2021 01: +0,1640307600
333.673,1,Dec 25 2021 01: +0,1640394000
362.683,1,Dec 28 2021 01: +0,1640653200
365.879,1,Jan 04 2022 01: +0,1641258000
324.661,2,Jan 08 2022 01: +0,1641603600
287.327,1,Jan 09 2022 01: +0,1641690000
336.312,1,Jan 22 2022 01: +0,1642813200
334.47,1,Jan 23 2022 01: +0,1642899600
354.932,1,Jan 25 2022 01: +0,1643072400
360.926,1,Jan 29 2022 01: +0,1643418000
366.385,1,Jan 31 2022 01: +0,1643590800
398.447,1,Feb 08 2022 01: +0,1644282000
316.551,1,Feb 10 2022 01: +0,1644454800
320.96,1,Feb 16 2022 01: +0,1644973200
361.828,1,Feb 23 2022 01: +0,1645578000
