price,quantity,date,unix timestamp
86.323,1,Oct 09 2018 01: +0,1539043200
92.414,1,Oct 10 2018 01: +0,1539129600
95.125,1,Oct 13 2018 01: +0,1539388800
124.547,1,Oct 24 2018 01: +0,1540339200
76.257,1,Oct 26 2018 01: +0,1540512000
121.976,1,Nov 02 2018 01: +0,1541120400
96.903,2,Nov 17 2018 01: +0,1542416400
82.924,1,Nov 21 2018 01: +0,1542762000
91.824,1,Nov 27 2018 01: +0,1543280400
107.916,1,Dec 01 2018 01: +0,1543626000
133.1,1,Dec 04 2018 01: +0,1543885200
74.818,1,Dec 10 2018 01: +0,1544403600
72.489,1,Dec 29 2018 01: +0,1546045200
72.553,1,Dec 31 2018 01: +0,1546218000
91.243,2,Jan 01 2019 01: +0,1546304400
70.277,1,Jan 16 2019 01: +0,1547600400
96.357,1,Jan 30 2019 01: +0,1548810000
98.781,1,Feb 28 2019 01: +0,1551315600
78.581,1,Mar 08 2019 01: +0,1552006800
76.43,1,Mar 14 2019 01: +0,1552525200
76.626,1,Mar 17 2019 01: +0,1552784400
84.157,1,Mar 18 2019 01: +0,1552870800
100.106,1,Mar 19 2019 01: +0,1552957200
77.239,1,Mar 27 2019 01: +0,1553648400
77.712,1,Mar 28 2019 01: +0,1553734800
90.766,1,Apr 06 2019 01: +0,1554508800
94.753,1,Apr 12 2019 01: +0,1555027200
87.459,2,Apr 13 2019 01: +0,1555113600
89.393,1,Apr 19 2019 01: +0,1555632000
89.132,1,Apr 21 2019 01: +0,1555804800
78.13,2,Apr 22 2019 01: +0,1555891200
74.454,1,Apr 23 2019 01: +0,1555977600
82.73,1,Apr 29 2019 01: +0,1556496000
86.82,1,May 03 2019 01: +0,1556841600
87.68,1,May 18 2019 01: +0,1558137600
81.816,1,May 26 2019 01: +0,1558828800
73.403,1,May 27 2019 01: +0,1558915200
81.418,1,May 29 2019 01: +0,1559088000
88.962,1,Jun 02 2019 01: +0,1559433600
74.876,1,Jun 07 2019 01: +0,1559865600
69.441,1,Jun 12 2019 01: +0,1560297600
88.962,1,Jun 13 2019 01: +0,1560384000
68.366,1,Jun 16 2019 01: +0,1560643200
88.884,1,Jun 19 2019 01: +0,1560902400
79.115,1,Jun 20 2019 01: +0,1560988800
84.421,2,Jun 23 2019 01: +0,1561248000
76.174,1,Jun 26 2019 01: +0,1561507200
80.641,3,Jun 27 2019 01: +0,1561593600
75.265,1,Jun 28 2019 01: +0,1561680000
90.468,1,Jul 03 2019 01: +0,1562112000
83.059,1,Jul 05 2019 01: +0,1562284800
78.24,2,Jul 09 2019 01: +0,1562630400
82.715,1,Jul 12 2019 01: +0,1562889600
83.85,2,Jul 13 2019 01: +0,1562976000
73.234,1,Jul 15 2019 01: +0,1563148800
74.148,1,Jul 31 2019 01: +0,1564531200
90.987,1,Aug 01 2019 01: +0,1564617600
84.85,1,Aug 02 2019 01: +0,1564704000
84.31,1,Aug 03 2019 01: +0,1564790400
106.185,1,Aug 06 2019 01: +0,1565049600
94.009,2,Aug 09 2019 01: +0,1565308800
69.069,1,Aug 16 2019 01: +0,1565913600
76.135,1,Aug 17 2019 01: +0,1566000000
103.091,1,Aug 20 2019 01: +0,1566259200
77.754,1,Aug 24 2019 01: +0,1566604800
103.236,1,Aug 29 2019 01: +0,1567036800
78.138,2,Sep 06 2019 01: +0,1567728000
104.168,1,Sep 07 2019 01: +0,1567814400
82.294,1,Sep 10 2019 01: +0,1568073600
102.941,1,Sep 11 2019 01: +0,1568160000
88.219,1,Sep 14 2019 01: +0,1568419200
86.935,1,Sep 15 2019 01: +0,1568505600
85.559,3,Sep 22 2019 01: +0,1569110400
90.308,2,Sep 23 2019 01: +0,1569196800
78.763,1,Sep 28 2019 01: +0,1569628800
97.276,1,Sep 29 2019 01: +0,1569715200
86.846,1,Sep 30 2019 01: +0,1569801600
96.711,1,Oct 02 2019 01: +0,1569974400
98.617,1,Oct 10 2019 01: +0,1570665600
87.807,3,Oct 14 2019 01: +0,1571011200
101.45,1,Oct 18 2019 01: +0,1571356800
95.678,1,Oct 19 2019 01: +0,1571443200
80.004,1,Oct 22 2019 01: +0,1571702400
86.143,2,Oct 24 2019 01: +0,1571875200
91.662,1,Oct 29 2019 01: +0,1572310800
79.05,1,Oct 30 2019 01: +0,1572397200
91.782,1,Oct 31 2019 01: +0,1572483600
