price,quantity,date,unix timestamp
129.982,1,Apr 04 2019 01: +0,1554336000
248.156,1,Apr 10 2019 01: +0,1554854400
185.944,1,Apr 22 2019 01: +0,1555891200
167.92,1,May 26 2019 01: +0,1558828800
218.11,1,May 27 2019 01: +0,1558915200
170.69,1,Sep 11 2019 01: +0,1568160000
326.745,1,Dec 15 2019 01: +0,1576371600
178.049,1,Dec 26 2019 01: +0,1577322000
167.118,1,Jan 06 2020 01: +0,1578272400
210.141,1,Feb 01 2020 01: +0,1580518800
166.877,1,Feb 11 2020 01: +0,1581382800
216.665,1,Feb 14 2020 01: +0,1581642000
245.996,1,Mar 10 2020 01: +0,1583802000
237.766,1,Mar 26 2020 01: +0,1585184400
231.305,1,Apr 11 2020 01: +0,1586563200
231.947,1,Apr 15 2020 01: +0,1586908800
231.876,2,Jun 21 2020 01: +0,1592697600
318.797,2,Jul 03 2020 01: +0,1593734400
192.183,1,Jul 27 2020 01: +0,1595808000
165.425,1,Oct 28 2020 01: +0,1603846800
157.489,1,Nov 24 2020 01: +0,1606179600
200.765,1,Nov 26 2020 01: +0,1606352400
196.751,1,Feb 11 2021 01: +0,1613005200
269.347,1,Mar 01 2021 01: +0,1614560400
262.064,1,Mar 29 2021 01: +0,1616976000
262.934,1,Mar 30 2021 01: +0,1617062400
204.874,1,Mar 31 2021 01: +0,1617148800
263.819,1,Jul 16 2021 01: +0,1626393600
166.229,1,Nov 01 2021 01: +0,1635728400
268.194,1,Nov 02 2021 01: +0,1635814800
215.032,1,Nov 20 2021 01: +0,1637370000
287.806,1,Nov 22 2021 01: +0,1637542800
202.905,1,Dec 12 2021 01: +0,1639270800
199.163,1,Jan 19 2022 01: +0,1642554000
270.536,1,Feb 11 2022 01: +0,1644541200
282.405,1,Mar 23 2022 01: +0,1647997200
303.486,1,Mar 31 2022 01: +0,1648684800
242.568,1,Apr 06 2022 01: +0,1649203200
241.576,1,May 26 2022 01: +0,1653523200
285.361,1,May 27 2022 01: +0,1653609600
294.887,1,Jun 15 2022 01: +0,1655251200
248.152,1,Jun 23 2022 01: +0,1655942400
260.048,2,Jun 24 2022 01: +0,1656028800
243.305,1,Aug 27 2022 01: +0,1661558400
271.979,1,Oct 25 2022 01: +0,1666656000
274.886,1,Oct 26 2022 01: +0,1666742400
229.185,1,Jan 13 2023 01: +0,1673571600
245.312,1,Mar 23 2023 07: +0,1679554800
368.157,1,Mar 24 2023 09: +0,1679648400
